#DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00119217           0
    0.910562    0.022649           0
    0.936212    0.157431           0
    0.961861      0.5525           0
    0.987511     1.19585           0
     1.01316     1.83636           0
     1.03881     2.29375           0
     1.06446     2.55747           0
     1.09011     2.54559           0
     1.11576     2.39028           0
     1.14141     2.23552           0
     1.16706     1.98655           0
     1.19271     1.78011           0
     1.21836     1.56197           0
     1.24401     1.39287           0
     1.26966     1.26022           0
     1.29531     1.13383           0
     1.32096     1.03456           0
     1.34661    0.940577           0
     1.37226     0.87127           0
     1.39791    0.812855           0
     1.42355    0.781701           0
      1.4492    0.744069           0
     1.47485    0.712884           0
      1.5005    0.701256           0
     1.52615    0.682231           0
      1.5518    0.668677           0
     1.57745    0.667412           0
      1.6031     0.67234           0
     1.62875    0.682828           0
      1.6544    0.691522           0
     1.68005    0.716035           0
      1.7057    0.746856           0
     1.73135    0.768974           0
       1.757    0.809602           0
     1.78265    0.847082           0
      1.8083    0.885573           0
     1.83395    0.933883           0
      1.8596    0.977578           0
     1.88525     1.01981           0
      1.9109     1.05355           0
     1.93655     1.08517           0
      1.9622     1.13149           0
     1.98785     1.15672           0
      2.0135     1.17703           0
     2.03915     1.21074           0
      2.0648     1.21825           0
     2.09045     1.21491           0
      2.1161     1.21433           0
     2.14174      1.2023           0
     2.16739     1.18803           0
     2.19304     1.15371           0
     2.21869     1.13524           0
     2.24434     1.10213           0
     2.26999     1.07002           0
     2.29564      1.0417           0
     2.32129     1.00887           0
     2.34694    0.990672           0
     2.37259       0.962           0
     2.39824    0.951091           0
     2.42389    0.925354           0
     2.44954    0.909739           0
     2.47519    0.907985           0
     2.50084     0.41925           0
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00103168 0.000113479
    0.910562    0.023645 0.000704304
    0.936212      0.1629  0.00386711
    0.961861    0.559195  0.00473389
    0.987511     1.19944   0.0025385
     1.01316     1.85191   0.0109944
     1.03881     2.32588   0.0227163
     1.06446     2.56932  0.00838054
     1.09011      2.5433   0.0016238
     1.11576     2.40891   0.0131751
     1.14141     2.21888   0.0117711
     1.16706     1.98328  0.00231153
     1.19271     1.76639  0.00970051
     1.21836     1.56754  0.00393407
     1.24401     1.39114  0.00122229
     1.26966      1.2541  0.00433137
     1.29531     1.12837  0.00385888
     1.32096     1.02446  0.00714449
     1.34661    0.935894  0.00331144
     1.37226    0.866531  0.00335061
     1.39791    0.805193  0.00541812
     1.42355    0.772727  0.00634599
      1.4492    0.735837  0.00582111
     1.47485    0.707238  0.00399206
      1.5005    0.690379  0.00769094
     1.52615    0.667346   0.0105251
      1.5518     0.66864 2.63595e-05
     1.57745    0.667311 7.14259e-05
      1.6031    0.670021  0.00164005
     1.62875    0.684324   0.0010576
      1.6544     0.69509  0.00252324
     1.68005    0.718929  0.00204648
      1.7057    0.749405  0.00180213
     1.73135    0.777742  0.00620031
       1.757     0.81486  0.00371764
     1.78265    0.856693   0.0067954
      1.8083     0.89259  0.00496173
     1.83395    0.943945  0.00711508
      1.8596    0.985231  0.00541131
     1.88525     1.02647  0.00471141
      1.9109     1.05987  0.00446757
     1.93655     1.09695  0.00833104
      1.9622     1.13664  0.00364022
     1.98785     1.16526  0.00603999
      2.0135     1.17803 0.000707703
     2.03915     1.20818  0.00180746
      2.0648     1.21506  0.00225417
     2.09045     1.21864  0.00263496
      2.1161     1.20892   0.0038246
     2.14174     1.19641   0.0041653
     2.16739     1.18243  0.00395649
     2.19304     1.15157  0.00151517
     2.21869     1.12929  0.00420634
     2.24434     1.09437  0.00548436
     2.26999     1.06585  0.00294664
     2.29564     1.03635  0.00378454
     2.32129     1.00404  0.00341864
     2.34694     0.98249  0.00578515
     2.37259    0.958559  0.00243344
     2.39824    0.942719  0.00591996
     2.42389      0.9239  0.00102855
     2.44954    0.909889 0.000105791
     2.47519     0.90436   0.0025633
     2.50084    0.416939  0.00163407
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000962905 9.42181e-05
    0.910562   0.0237028 0.000471897
    0.936212    0.163139  0.00258544
    0.961861    0.553237  0.00579826
    0.987511       1.198  0.00206167
     1.01316     1.84678   0.0084398
     1.03881     2.32872   0.0153213
     1.06446     2.56778  0.00572717
     1.09011     2.54215  0.00143206
     1.11576     2.41566    0.010369
     1.14141     2.21847  0.00785432
     1.16706     1.98219  0.00177941
     1.19271     1.77222  0.00802834
     1.21836     1.56926  0.00297718
     1.24401     1.39599  0.00404552
     1.26966     1.25407  0.00288768
     1.29531     1.12696  0.00281926
     1.32096     1.02608  0.00494299
     1.34661    0.939739   0.0038378
     1.37226    0.870742   0.0041001
     1.39791    0.807453  0.00405618
     1.42355    0.772812  0.00423124
      1.4492    0.729377   0.0065483
     1.47485    0.703612  0.00398109
      1.5005    0.685271  0.00660973
     1.52615    0.666984  0.00702296
      1.5518    0.662678  0.00486797
     1.57745     0.66518  0.00174049
      1.6031    0.669913  0.00109686
     1.62875    0.682797  0.00143253
      1.6544    0.693879  0.00195138
     1.68005    0.718647  0.00138361
      1.7057    0.751085   0.0018238
     1.73135    0.779615  0.00440728
       1.757    0.814177  0.00254028
     1.78265    0.853557  0.00520364
      1.8083    0.895683  0.00416167
     1.83395    0.944057  0.00474427
      1.8596    0.982881  0.00408614
     1.88525     1.02945  0.00397417
      1.9109      1.0618   0.0033692
     1.93655     1.10171  0.00677895
      1.9622     1.14091  0.00424883
     1.98785     1.16529  0.00402673
      2.0135      1.1859  0.00644148
     2.03915     1.21061  0.00231896
      2.0648      1.2168  0.00207074
     2.09045     1.21782     0.00188
      2.1161     1.21174  0.00343333
     2.14174     1.19511  0.00297457
     2.16739     1.17786  0.00457192
     2.19304      1.1497  0.00182668
     2.21869     1.12711  0.00332456
     2.24434     1.09381   0.0036848
     2.26999     1.06498  0.00208793
     2.29564     1.03337  0.00350312
     2.32129     1.00311  0.00240274
     2.34694    0.980517  0.00417972
     2.37259    0.960894  0.00250379
     2.39824    0.940904  0.00421561
     2.42389    0.923902 0.000685704
     2.44954    0.910288 0.000333298
     2.47519    0.902648  0.00220796
     2.50084    0.416651  0.00111447
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000997294 7.66833e-05
    0.910562   0.0241214 0.000506651
    0.936212    0.161599  0.00235327
    0.961861    0.558215  0.00612307
    0.987511     1.19336   0.0043001
     1.01316      1.8509  0.00726572
     1.03881     2.33094   0.0116509
     1.06446     2.55874  0.00893138
     1.09011     2.54322  0.00142004
     1.11576     2.41145  0.00858935
     1.14141     2.21142   0.0084846
     1.16706     1.97543  0.00600441
     1.19271     1.76835   0.0068913
     1.21836     1.56906   0.0022397
     1.24401     1.39704  0.00316649
     1.26966     1.25086  0.00352485
     1.29531     1.12942    0.002999
     1.32096     1.02834  0.00419432
     1.34661     0.94383  0.00456456
     1.37226    0.874163  0.00427018
     1.39791    0.812694  0.00546437
     1.42355    0.774605  0.00353279
      1.4492    0.734114  0.00639937
     1.47485    0.705951  0.00360789
      1.5005     0.68461  0.00499019
     1.52615    0.671713  0.00667207
      1.5518     0.66656    0.004963
     1.57745    0.667253  0.00221978
      1.6031     0.67277   0.0026067
     1.62875    0.683481  0.00122716
      1.6544    0.694713  0.00163211
     1.68005    0.718614   0.0010381
      1.7057    0.749865  0.00172882
     1.73135    0.778557  0.00343013
       1.757    0.814901  0.00200549
     1.78265    0.853034  0.00392889
      1.8083     0.89413  0.00339866
     1.83395    0.941081  0.00439353
      1.8596    0.979972  0.00396726
     1.88525      1.0246  0.00515114
      1.9109     1.05891  0.00355825
     1.93655     1.09759  0.00621068
      1.9622     1.13366   0.0070383
     1.98785     1.16271  0.00375866
      2.0135     1.18359   0.0052268
     2.03915     1.20727   0.0033718
      2.0648      1.2158  0.00177975
     2.09045     1.21668  0.00172304
      2.1161     1.20979  0.00308029
     2.14174     1.19557   0.0022672
     2.16739     1.17919  0.00361793
     2.19304     1.15239  0.00270188
     2.21869     1.12756  0.00252383
     2.24434     1.09793  0.00451177
     2.26999     1.06596  0.00177743
     2.29564      1.0363  0.00365083
     2.32129     1.00979  0.00606156
     2.34694    0.984615  0.00473541
     2.37259    0.964714  0.00380394
     2.39824    0.944579  0.00448625
     2.42389    0.928086   0.0036602
     2.44954    0.913551  0.00283731
     2.47519    0.904841  0.00251976
     2.50084    0.417063 0.000908645
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
