#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.424784    0.424784           0
           2    0.553743    0.489263   0.0455939
           3    0.452016    0.476847   0.0320418
           4    0.473941    0.476121   0.0240396
           5    0.463986    0.473694   0.0193538
           6    0.500074    0.478091   0.0166201
           7    0.622402    0.498707   0.0238169
           8    0.416482    0.488428   0.0229506
           9    0.495733     0.48924   0.0204149
          10    0.482095    0.488526   0.0183859
          11    0.501418    0.489698   0.0167518
          12    0.632936    0.501634   0.0191418
          13    0.501424    0.501618   0.0176693
          14     0.47481    0.499703   0.0165107
          15    0.491133    0.499132   0.0154198
          16    0.584367    0.504459   0.0153487
          17    0.556667     0.50753   0.0147499
          18    0.498574    0.507032   0.0139389
          19     0.47308    0.505245   0.0133193
          20    0.558901    0.507928   0.0129207
          21    0.386468    0.502144   0.0135382
          22    0.474951    0.500908   0.0129791
          23    0.417622    0.497287   0.0129101
          24    0.618174    0.502324   0.0133186
          25    0.557947    0.504549   0.0129703
          26    0.465742    0.503056   0.0125571
          27    0.514825    0.503492   0.0120996
          28    0.497453    0.503277   0.0116693
          29    0.604958    0.506783   0.0117819
          30    0.491112    0.506261   0.0114008
          31    0.445361    0.504296    0.011201
          32    0.605132    0.507447   0.0112855
          33    0.593912    0.510067   0.0112436
          34    0.481761    0.509235   0.0109436
          35    0.460339    0.507838   0.0107198
          36    0.477354    0.506991   0.0104554
          37    0.464811    0.505851   0.0102348
          38    0.399716    0.503058   0.0103395
          39    0.536865    0.503925   0.0101107
          40    0.536381    0.504736  0.00989041
          41    0.484486    0.504242  0.00966151
          42    0.608583    0.506727  0.00974564
          43    0.585039    0.508548  0.00968768
          44    0.466536    0.507593  0.00951444
          45    0.573045    0.509047  0.00941353
          46     0.56008    0.510157  0.00927403
          47    0.521056    0.510389  0.00907961
          48    0.633783    0.512959  0.00924721
          49     0.45767    0.511831  0.00912708
          50    0.599307    0.513581  0.00911067
          51    0.459047    0.512511  0.00899456
          52    0.460533    0.511512  0.00887696
          53    0.634001    0.513823  0.00900529
          54    0.629536    0.515966   0.0090899
          55    0.492094    0.515532  0.00893498
          56    0.636669    0.517695  0.00903349
          57    0.619701    0.519484  0.00905053
          58    0.624428    0.521294  0.00907355
          59    0.459123     0.52024  0.00898074
          60    0.591702    0.521431  0.00890969
          61    0.487037    0.520867  0.00878145
          62    0.562346    0.521536  0.00866526
          63    0.502424    0.521233  0.00853302
          64    0.450405    0.520126  0.00847116
          65    0.486974    0.519616  0.00835617
          66    0.497942    0.519288  0.00823601
          67    0.390958    0.517372  0.00833283
          68    0.506394    0.517211  0.00821185
          69     0.48541     0.51675  0.00810576
          70    0.495154    0.516442  0.00799584
          71    0.514467    0.516414  0.00788327
          72     0.50867    0.516306  0.00777451
          73    0.536029    0.516576  0.00767271
          74    0.386042    0.514812  0.00776915
          75    0.452066    0.513976  0.00771047
          76    0.428775    0.512855  0.00769008
          77    0.455063    0.512104  0.00762675
          78    0.472731    0.511599  0.00754566
          79    0.545299    0.512026  0.00746219
          80    0.567926    0.512725  0.00740156
          81    0.403491    0.511376  0.00743202
          82    0.439449    0.510499  0.00739297
          83    0.504219    0.510423  0.00730428
          84    0.527553    0.510627  0.00722017
          85    0.426058    0.509632  0.00720345
          86    0.498118    0.509498  0.00712094
          87    0.394744    0.508179  0.00716021
          88    0.599206    0.509214  0.00715317
          89    0.467939     0.50875  0.00708781
          90    0.566203    0.509388  0.00703775
          91    0.503287    0.509321  0.00696073
          92    0.604413    0.510355  0.00696138
          93    0.531169    0.510579  0.00689013
          94    0.444984    0.509881  0.00685207
          95     0.54749    0.510277  0.00679137
          96    0.481179    0.509974  0.00672739
          97    0.553095    0.510418  0.00667271
          98     0.56981    0.511024  0.00663208
          99    0.441184    0.510319  0.00660251
         100    0.446283    0.509679  0.00656746
