#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.47996    -5.47996           0
           2    -5.46444     -5.4722  0.00548436
           3    -5.48059      -5.475  0.00431001
           4    -5.46927    -5.47356  0.00346225
           5    -5.47023     -5.4729  0.00283342
           6    -5.46622    -5.47178  0.00257057
           7    -5.44123    -5.46742  0.00460297
           8    -5.48454    -5.46956  0.00449798
           9    -5.46317    -5.46885  0.00405384
          10    -5.46628    -5.46859  0.00365656
          11    -5.47049    -5.46876   0.0033282
          12    -5.44523     -5.4668  0.00358248
          13    -5.46402    -5.46659  0.00331329
          14    -5.46896    -5.46676  0.00308096
          15    -5.47061    -5.46702  0.00288622
          16    -5.44947    -5.46592  0.00290669
          17    -5.46036    -5.46559  0.00275404
          18    -5.46691    -5.46566  0.00260201
          19    -5.47717    -5.46627  0.00253453
          20    -5.46216    -5.46606  0.00241611
          21    -5.49031    -5.46722    0.002562
          22    -5.46355    -5.46705  0.00245096
          23    -5.48015    -5.46762  0.00240964
          24    -5.44712    -5.46677  0.00245603
          25    -5.45277    -5.46621  0.00242079
          26    -5.47275    -5.46646  0.00234072
          27    -5.46023    -5.46623  0.00226537
          28    -5.46414    -5.46615  0.00218569
          29    -5.44532    -5.46544  0.00222526
          30    -5.46865    -5.46554  0.00215367
          31    -5.48095    -5.46604  0.00214078
          32    -5.44601    -5.46541  0.00216349
          33    -5.44855     -5.4649  0.00215743
          34    -5.46722    -5.46497  0.00209505
          35    -5.47987     -5.4654    0.002078
          36    -5.47391    -5.46563  0.00203369
          37    -5.46899    -5.46572  0.00198076
          38    -5.48742    -5.46629  0.00200926
          39    -5.46651     -5.4663  0.00195775
          40    -5.45662    -5.46606   0.0019237
          41    -5.46725    -5.46609    0.001877
          42    -5.44868    -5.46567   0.0018775
          43    -5.45075    -5.46533  0.00186564
          44    -5.47513    -5.46555  0.00183648
          45     -5.4547    -5.46531  0.00181144
          46     -5.4573    -5.46513   0.0017804
          47    -5.46589    -5.46515  0.00174259
          48    -5.44101    -5.46465  0.00177735
          49    -5.47463    -5.46485  0.00175272
          50    -5.44889    -5.46453   0.0017465
          51    -5.47494    -5.46474  0.00172413
          52    -5.48004    -5.46503  0.00171592
          53    -5.44501    -5.46465  0.00172462
          54    -5.43899    -5.46418  0.00175695
          55    -5.47141    -5.46431  0.00172992
          56    -5.43934    -5.46386  0.00175553
          57    -5.43943    -5.46343   0.0017763
          58    -5.44268    -5.46308  0.00178136
          59    -5.46855    -5.46317  0.00175358
          60    -5.44665    -5.46289  0.00174583
          61    -5.47194    -5.46304  0.00172349
          62    -5.45966    -5.46299  0.00169655
          63    -5.47156    -5.46312  0.00167507
          64    -5.47712    -5.46334  0.00166312
          65    -5.46681    -5.46339  0.00163839
          66    -5.46746    -5.46346  0.00161472
          67    -5.48274    -5.46374  0.00161607
          68    -5.46371    -5.46374  0.00159231
          69    -5.47051    -5.46384  0.00157225
          70    -5.47056    -5.46394  0.00155272
          71    -5.46319    -5.46393  0.00153088
          72    -5.46838    -5.46399  0.00151087
          73    -5.46342    -5.46398  0.00149019
          74    -5.48833    -5.46431  0.00150594
          75    -5.48062    -5.46453  0.00150149
          76     -5.4808    -5.46474  0.00149692
          77    -5.47748    -5.46491  0.00148659
          78    -5.47029    -5.46498  0.00146913
          79    -5.46044    -5.46492  0.00145165
          80    -5.45797    -5.46483  0.00143611
          81    -5.49031    -5.46515  0.00145242
          82    -5.48092    -5.46534  0.00144738
          83    -5.46779    -5.46537  0.00143024
          84    -5.46185    -5.46533  0.00141383
          85    -5.48385    -5.46554  0.00141389
          86     -5.4699     -5.4656  0.00139836
          87    -5.48346     -5.4658  0.00139727
          88    -5.45158    -5.46564  0.00139071
          89     -5.4718    -5.46571   0.0013768
          90    -5.45247    -5.46556  0.00136934
          91    -5.46774    -5.46559   0.0013545
          92    -5.44748    -5.46539  0.00135401
          93    -5.45782    -5.46531  0.00134189
          94     -5.4834     -5.4655  0.00134135
          95    -5.45491    -5.46539  0.00133185
          96    -5.47546    -5.46549  0.00132211
          97    -5.45325    -5.46537  0.00131449
          98    -5.45881     -5.4653  0.00130278
          99    -5.47377    -5.46539  0.00129242
         100    -5.48055    -5.46554  0.00128836
