#DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913   0.0026136           0
    0.910562   0.0218262           0
    0.936212    0.171073           0
    0.961861    0.544039           0
    0.987511     1.18263           0
     1.01316       1.811           0
     1.03881     2.34426           0
     1.06446     2.55928           0
     1.09011     2.54342           0
     1.11576      2.4246           0
     1.14141     2.26014           0
     1.16706      1.9688           0
     1.19271     1.73854           0
     1.21836     1.54797           0
     1.24401     1.40143           0
     1.26966     1.22828           0
     1.29531     1.13747           0
     1.32096     1.07922           0
     1.34661    0.937369           0
     1.37226    0.876971           0
     1.39791    0.809235           0
     1.42355    0.791748           0
      1.4492    0.755387           0
     1.47485    0.689592           0
      1.5005    0.675643           0
     1.52615    0.652631           0
      1.5518      0.6723           0
     1.57745    0.661654           0
      1.6031    0.661106           0
     1.62875    0.704079           0
      1.6544    0.727127           0
     1.68005    0.729494           0
      1.7057    0.736218           0
     1.73135    0.776652           0
       1.757    0.806055           0
     1.78265    0.858167           0
      1.8083    0.900552           0
     1.83395    0.940716           0
      1.8596    0.965461           0
     1.88525     1.01762           0
      1.9109     1.03797           0
     1.93655      1.0791           0
      1.9622     1.14344           0
     1.98785     1.15413           0
      2.0135      1.1756           0
     2.03915     1.19069           0
      2.0648     1.20902           0
     2.09045     1.23117           0
      2.1161     1.23046           0
     2.14174     1.22559           0
     2.16739     1.20708           0
     2.19304     1.16841           0
     2.21869     1.12239           0
     2.24434      1.0862           0
     2.26999     1.04876           0
     2.29564     1.02675           0
     2.32129     1.00495           0
     2.34694    0.967438           0
     2.37259    0.964105           0
     2.39824    0.932742           0
     2.42389    0.922329           0
     2.44954    0.905849           0
     2.47519    0.916308           0
     2.50084    0.420404           0
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00162777 0.000697088
    0.910562   0.0200939  0.00122488
    0.936212    0.162429  0.00611205
    0.961861    0.559661   0.0110458
    0.987511     1.23037   0.0337555
     1.01316      1.8635   0.0371262
     1.03881     2.34265  0.00114111
     1.06446     2.60218   0.0303402
     1.09011     2.54949  0.00429453
     1.11576     2.39874    0.018284
     1.14141     2.22234   0.0267285
     1.16706     1.99677   0.0197785
     1.19271     1.74812   0.0067734
     1.21836     1.53707  0.00770565
     1.24401     1.35603   0.0320995
     1.26966     1.23217  0.00274845
     1.29531     1.11753   0.0140962
     1.32096     1.05293   0.0185888
     1.34661    0.913637   0.0167812
     1.37226    0.873806  0.00223823
     1.39791    0.789142   0.0142079
     1.42355    0.778228   0.0095597
      1.4492    0.755379 6.04476e-06
     1.47485    0.693958  0.00308743
      1.5005    0.683601  0.00562725
     1.52615    0.660277  0.00540698
      1.5518    0.672681 0.000268867
     1.57745    0.671258  0.00679056
      1.6031    0.682267    0.014963
     1.62875    0.710962   0.0048669
      1.6544    0.728885  0.00124307
     1.68005    0.716887  0.00891457
      1.7057    0.744777  0.00605219
     1.73135    0.786804  0.00717863
       1.757    0.799157  0.00487734
     1.78265    0.847325  0.00766629
      1.8083    0.904988  0.00313699
     1.83395    0.937577  0.00221945
      1.8596    0.975533  0.00712207
     1.88525     1.00911  0.00601518
      1.9109     1.04832  0.00731848
     1.93655     1.09448   0.0108767
      1.9622     1.13408  0.00661439
     1.98785     1.15934  0.00368825
      2.0135     1.18231  0.00474098
     2.03915     1.19898  0.00586204
      2.0648     1.21948  0.00739677
     2.09045     1.23303  0.00131893
      2.1161     1.23991  0.00668526
     2.14174     1.22301  0.00182111
     2.16739     1.19513  0.00845078
     2.19304     1.15946  0.00633258
     2.21869     1.12268  0.00020632
     2.24434     1.09292  0.00475092
     2.26999     1.05107  0.00163347
     2.29564     1.03186  0.00361832
     2.32129     1.00157   0.0023914
     2.34694      0.9688 0.000963424
     2.37259    0.951472  0.00893315
     2.39824    0.925425   0.0051739
     2.42389    0.909464  0.00909708
     2.44954    0.887678   0.0128493
     2.47519     0.89549   0.0147208
     2.50084    0.411132  0.00655658
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00139086 0.000503374
    0.910562   0.0223747  0.00203341
    0.936212    0.167235  0.00565736
    0.961861    0.563367  0.00796141
    0.987511     1.22398   0.0231002
     1.01316     1.87182   0.0256647
     1.03881     2.35747   0.0121272
     1.06446     2.59264   0.0216744
     1.09011     2.56708   0.0146413
     1.11576     2.38981   0.0142023
     1.14141     2.18315   0.0366233
     1.16706     1.97529   0.0219458
     1.19271     1.73054   0.0150414
     1.21836     1.52981  0.00784456
     1.24401     1.37729   0.0275535
     1.26966     1.24412  0.00992789
     1.29531     1.11762  0.00939778
     1.32096     1.05344   0.0123995
     1.34661    0.929403   0.0170546
     1.37226    0.884274  0.00867677
     1.39791    0.798155   0.0119947
     1.42355    0.781028  0.00677067
      1.4492    0.751746  0.00296646
     1.47485    0.705956   0.0100105
      1.5005    0.692357  0.00807341
     1.52615    0.664635  0.00506494
      1.5518    0.661415   0.0091999
     1.57745    0.663001  0.00812038
      1.6031    0.679256   0.0102738
     1.62875    0.701796  0.00815694
      1.6544    0.721818  0.00582925
     1.68005    0.717579  0.00596978
      1.7057    0.738789  0.00633897
     1.73135    0.779348  0.00774425
       1.757    0.804283   0.0052998
     1.78265    0.843745  0.00588773
      1.8083    0.899578  0.00488733
     1.83395    0.942264  0.00410286
      1.8596     0.98124  0.00665292
     1.88525     1.02269   0.0117923
      1.9109     1.05467  0.00712189
     1.93655     1.08846   0.0087591
      1.9622     1.13157   0.0048632
     1.98785     1.16578  0.00580227
      2.0135     1.18623  0.00449863
     2.03915     1.20196  0.00460079
      2.0648      1.2134  0.00699776
     2.09045     1.22328  0.00800769
      2.1161      1.2353  0.00583273
     2.14174     1.22655   0.0031357
     2.16739     1.18914  0.00745732
     2.19304     1.14921  0.00937343
     2.21869     1.11991  0.00226941
     2.24434     1.08548  0.00684827
     2.26999      1.0488  0.00215009
     2.29564     1.02426  0.00666256
     2.32129    0.996072  0.00476103
     2.34694    0.973116  0.00358175
     2.37259    0.958638  0.00834914
     2.39824    0.932969  0.00705953
     2.42389    0.915665  0.00790056
     2.44954    0.898044   0.0120423
     2.47519    0.903484   0.0117864
     2.50084    0.413838  0.00489777
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00160484 0.000420559
    0.910562   0.0218803  0.00158403
    0.936212    0.162634  0.00582114
    0.961861    0.558651  0.00723395
    0.987511     1.23791   0.0211102
     1.01316     1.89326   0.0267477
     1.03881     2.36415   0.0107791
     1.06446     2.57779   0.0207302
     1.09011     2.54189   0.0244191
     1.11576     2.38384    0.011843
     1.14141     2.17902   0.0276988
     1.16706     1.96697   0.0179665
     1.19271     1.72899   0.0113611
     1.21836      1.5244  0.00752015
     1.24401     1.37514   0.0207488
     1.26966     1.23653  0.00992898
     1.29531     1.11574  0.00723423
     1.32096      1.0538  0.00930497
     1.34661    0.939171   0.0153356
     1.37226    0.885175  0.00655419
     1.39791    0.796616  0.00909423
     1.42355    0.777737  0.00582327
      1.4492    0.753729  0.00281069
     1.47485    0.721699   0.0155642
      1.5005    0.697692  0.00761628
     1.52615    0.670984  0.00668305
      1.5518    0.665404  0.00771632
     1.57745    0.674923    0.011987
      1.6031    0.679675  0.00771389
     1.62875    0.702269  0.00613138
      1.6544    0.721935  0.00437311
     1.68005    0.720742    0.005249
      1.7057    0.733947  0.00633935
     1.73135    0.783792  0.00696764
       1.757    0.807581  0.00489488
     1.78265    0.849226  0.00648317
      1.8083    0.895709  0.00496617
     1.83395    0.938281  0.00462193
      1.8596    0.978523  0.00551668
     1.88525     1.02237  0.00884875
      1.9109       1.057  0.00570953
     1.93655     1.09043  0.00678673
      1.9622     1.12886  0.00433871
     1.98785     1.16284  0.00504201
      2.0135     1.18342  0.00415623
     2.03915     1.19649  0.00585859
      2.0648     1.20146    0.011595
     2.09045     1.21402   0.0100231
      2.1161     1.22052   0.0135298
     2.14174     1.20632   0.0176771
     2.16739     1.18188  0.00841445
     2.19304     1.15301  0.00776459
     2.21869     1.12495  0.00468284
     2.24434     1.08627  0.00518226
     2.26999     1.05721  0.00745806
     2.29564     1.03278  0.00891334
     2.32129    0.996905  0.00364292
     2.34694    0.984902    0.010555
     2.37259    0.961641  0.00678039
     2.39824    0.938282  0.00701425
     2.42389    0.926205   0.0108827
     2.44954    0.908713   0.0129207
     2.47519    0.908659  0.00991111
     2.50084    0.418558  0.00549591
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
