#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66983     1.66983           0
           2     1.64549     1.65766  0.00860639
           3     1.63985     1.65172  0.00751225
           4     1.63425     1.64736  0.00678608
           5     1.65377     1.64864  0.00554873
           6      1.6369     1.64668  0.00495711
           7      1.6345     1.64494  0.00454409
           8      1.6318      1.6433  0.00426266
           9     1.63144     1.64198   0.0039876
          10     1.64248     1.64203  0.00358915
          11     1.62829     1.64078  0.00347332
          12     1.62072     1.63911  0.00356358
          13       1.656     1.64041  0.00351823
          14     1.64801     1.64095  0.00330859
          15     1.64795     1.64142  0.00312077
          16     1.64881     1.64188  0.00295976
          17     1.63062     1.64122  0.00285886
          18     1.63349     1.64079  0.00273205
          19     1.62039     1.63972  0.00279125
          20     1.63741      1.6396  0.00265407
          21     1.65127     1.64016  0.00258522
          22     1.63836     1.64007    0.002469
          23     1.63417     1.63982  0.00237496
          24     1.64783     1.64015  0.00229937
          25     1.65518     1.64075  0.00228461
          26     1.64431     1.64089  0.00220082
          27     1.63477     1.64066  0.00213095
          28     1.62132     1.63997  0.00216395
          29     1.62241     1.63937  0.00217238
          30     1.67563     1.64057  0.00241296
          31     1.66038     1.64121  0.00241819
          32      1.6473      1.6414  0.00235009
          33     1.61311     1.64055  0.00243026
          34      1.6616     1.64117  0.00243637
          35     1.64314     1.64122  0.00236741
          36     1.65481      1.6416  0.00233155
          37      1.6248     1.64115  0.00231231
          38     1.62875     1.64082  0.00227435
          39     1.63699     1.64072  0.00221815
          40     1.63825     1.64066  0.00216356
          41     1.61188     1.63996  0.00222176
          42     1.63984     1.63995  0.00216886
          43     1.66234     1.64047     0.00218
          44     1.64178      1.6405  0.00213066
          45     1.64215     1.64054  0.00208362
          46     1.63593     1.64044  0.00204074
          47     1.63834      1.6404  0.00199781
          48     1.64301     1.64045  0.00195693
          49     1.65163     1.64068  0.00193025
          50     1.62408     1.64035  0.00191997
          51     1.63978     1.64034  0.00188236
          52     1.64383      1.6404  0.00184736
          53     1.65953     1.64076  0.00184743
          54     1.60421     1.64009  0.00193329
          55     1.65432     1.64035  0.00191539
          56     1.64535     1.64043  0.00188326
          57     1.62855     1.64023  0.00186172
          58      1.6456     1.64032  0.00183193
          59     1.64419     1.64038  0.00180205
          60     1.63782     1.64034  0.00177252
          61     1.64706     1.64045  0.00174688
          62     1.65186     1.64064  0.00172837
          63      1.6159     1.64024  0.00174496
          64     1.62844     1.64006  0.00172741
          65     1.62565     1.63984  0.00171499
          66     1.65912     1.64013  0.00171372
          67     1.64122     1.64015  0.00168822
          68     1.63622     1.64009  0.00166438
          69     1.63205     1.63997  0.00164432
          70     1.64053     1.63998  0.00162085
          71     1.67184     1.64043  0.00165896
          72     1.66318     1.64074  0.00166575
          73     1.62582     1.64054  0.00165542
          74     1.64557     1.64061  0.00163445
          75     1.63642     1.64055  0.00161361
          76     1.65255     1.64071  0.00160007
          77     1.62157     1.64046  0.00159847
          78     1.65521     1.64065  0.00158912
          79     1.67952     1.64114   0.0016434
          80     1.63531     1.64107  0.00162448
          81     1.64196     1.64108  0.00160446
          82     1.66603     1.64138  0.00161349
          83      1.6444     1.64142  0.00159446
          84     1.67008     1.64176  0.00161156
          85     1.63376     1.64167  0.00159535
          86     1.64762     1.64174   0.0015783
          87      1.6322     1.64163  0.00156396
          88     1.65204     1.64175  0.00155066
          89     1.63917     1.64172   0.0015335
          90     1.65492     1.64186  0.00152347
          91     1.65575     1.64202  0.00151435
          92     1.63244     1.64191  0.00150147
          93     1.65511     1.64205  0.00149201
          94      1.6399     1.64203  0.00147631
          95     1.66461     1.64227  0.00147978
          96     1.62392     1.64208  0.00147666
          97     1.66193     1.64228  0.00147556
          98       1.655     1.64241   0.0014662
          99     1.64162      1.6424  0.00145141
         100     1.64961     1.64248  0.00143868
