#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47813    -5.47813           0
           2    -5.45253    -5.46533  0.00905154
           3    -5.44796    -5.45954   0.0076659
           4    -5.44359    -5.45555  0.00670654
           5    -5.46198    -5.45684  0.00548693
           6    -5.44581      -5.455   0.0048704
           7    -5.44292    -5.45327  0.00447015
           8    -5.44124    -5.45177  0.00415695
           9    -5.43786    -5.45022  0.00397208
          10    -5.45092    -5.45029  0.00357547
          11    -5.43639    -5.44903  0.00346649
          12    -5.42789    -5.44727  0.00359751
          13    -5.46513    -5.44864  0.00357349
          14    -5.45686    -5.44923  0.00336607
          15    -5.45672    -5.44973  0.00317848
          16    -5.45721     -5.4502  0.00301404
          17      -5.439    -5.44954  0.00290777
          18    -5.44297    -5.44917  0.00276905
          19     -5.4276    -5.44804  0.00284653
          20    -5.44416    -5.44784  0.00271081
          21    -5.45954     -5.4484  0.00263832
          22    -5.44706    -5.44834  0.00251909
          23    -5.44144    -5.44804  0.00242737
          24     -5.4559    -5.44837  0.00234821
          25    -5.46354    -5.44897  0.00233139
          26    -5.45368    -5.44915  0.00224875
          27    -5.44373    -5.44895   0.0021744
          28    -5.42964    -5.44826  0.00220346
          29    -5.42942    -5.44761  0.00222125
          30    -5.48433    -5.44884  0.00246134
          31     -5.4685    -5.44947  0.00246227
          32    -5.45628    -5.44968  0.00239451
          33     -5.4191    -5.44876  0.00249486
          34    -5.46917    -5.44936  0.00249267
          35    -5.45107    -5.44941  0.00242193
          36     -5.4624    -5.44977  0.00238141
          37     -5.4338    -5.44934  0.00235582
          38    -5.43765    -5.44903   0.0023138
          39    -5.44639    -5.44896  0.00225546
          40    -5.44673    -5.44891  0.00219977
          41    -5.41942    -5.44819  0.00226064
          42    -5.44803    -5.44818  0.00220681
          43    -5.47174    -5.44873  0.00222245
          44    -5.44928    -5.44874  0.00217197
          45    -5.45003    -5.44877  0.00212389
          46    -5.44469    -5.44868  0.00207957
          47    -5.44696    -5.44865  0.00203565
          48    -5.45007    -5.44868  0.00199346
          49     -5.4608    -5.44892  0.00196806
          50     -5.4308    -5.44856  0.00196179
          51    -5.44702    -5.44853  0.00192355
          52    -5.45275    -5.44861  0.00188828
          53    -5.46858    -5.44899  0.00188987
          54    -5.41056    -5.44828  0.00198433
          55    -5.46194    -5.44853  0.00196374
          56    -5.45306    -5.44861  0.00193034
          57    -5.43772    -5.44842   0.0019059
          58    -5.45617    -5.44855  0.00187773
          59    -5.45334    -5.44863  0.00184766
          60    -5.44614    -5.44859  0.00181733
          61    -5.45576    -5.44871  0.00179134
          62    -5.45927    -5.44888  0.00177052
          63    -5.42295    -5.44847  0.00178962
          64    -5.43735    -5.44829  0.00177007
          65    -5.43503    -5.44809  0.00175456
          66    -5.46823    -5.44839  0.00175433
          67    -5.44916     -5.4484  0.00172818
          68    -5.44503    -5.44835  0.00170348
          69    -5.44143    -5.44825  0.00168174
          70     -5.4502    -5.44828  0.00165795
          71    -5.48053    -5.44874  0.00169567
          72    -5.47232    -5.44906  0.00170347
          73    -5.43357    -5.44885   0.0016933
          74    -5.45371    -5.44892  0.00167169
          75    -5.44535    -5.44887  0.00165008
          76     -5.4607    -5.44903   0.0016357
          77    -5.42941    -5.44877  0.00163417
          78      -5.463    -5.44895  0.00162336
          79    -5.48957    -5.44947  0.00168226
          80     -5.4439     -5.4494  0.00166267
          81    -5.45109    -5.44942  0.00164227
          82    -5.47485    -5.44973  0.00165126
          83    -5.45324    -5.44977  0.00163191
          84    -5.47995    -5.45013  0.00165155
          85    -5.44145    -5.45003  0.00163527
          86    -5.45633     -5.4501   0.0016179
          87    -5.44155       -5.45  0.00160228
          88    -5.46005    -5.45012  0.00158814
          89    -5.44616    -5.45007  0.00157091
          90    -5.46295    -5.45022  0.00155996
          91    -5.46392    -5.45037  0.00155007
          92    -5.44084    -5.45026  0.00153668
          93    -5.46392    -5.45041  0.00152716
          94    -5.44904     -5.4504  0.00151098
          95    -5.47209    -5.45062  0.00151224
          96     -5.4326    -5.45044  0.00150809
          97    -5.46942    -5.45063  0.00150519
          98    -5.46361    -5.45076  0.00149565
          99    -5.44931    -5.45075  0.00148061
         100    -5.45736    -5.45082  0.00146728
