#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.33574     1.33574           0
           2     1.52851     1.43212   0.0681524
           3     1.48261     1.44895   0.0474676
           4     1.46285     1.45243   0.0357276
           5      1.4763      1.4572   0.0288994
           6     1.46957     1.45926   0.0241562
           7     1.49838     1.46485   0.0213418
           8     1.50541     1.46992   0.0192669
           9      1.5075      1.4741   0.0175728
          10     1.43746     1.47043   0.0161929
          11     1.51556     1.47454   0.0152316
          12      1.6135     1.48612   0.0178288
          13      1.3534     1.47591   0.0191586
          14      1.5022     1.47778    0.017882
          15     1.43616     1.47501   0.0169038
          16     1.45166     1.47355   0.0159102
          17     1.49926     1.47506    0.015046
          18     1.48034     1.47536   0.0142129
          19     1.53095     1.47828   0.0137627
          20     1.49517     1.47913   0.0131005
          21     1.33312     1.47217   0.0142023
          22     1.40386     1.46907    0.013892
          23     1.52753     1.47161   0.0135185
          24     1.39404     1.46838    0.013336
          25     1.43675     1.46711   0.0128625
          26     1.43894     1.46603   0.0124133
          27     1.48514     1.46674   0.0119737
          28     1.48418     1.46736   0.0115622
          29     1.54501     1.47004   0.0114694
          30     1.39537     1.46755   0.0113539
          31     1.38065     1.46475   0.0113284
          32      1.4644     1.46473   0.0109744
          33     1.58937     1.46851   0.0112731
          34     1.45839     1.46821   0.0109454
          35      1.4794     1.46853   0.0106374
          36     1.44339     1.46784   0.0103648
          37     1.47205     1.46795   0.0100853
          38       1.555     1.47024   0.0100767
          39     1.46356     1.47007  0.00981978
          40     1.51786     1.47126   0.0096467
          41     1.65068     1.47564   0.0103565
          42     1.44142     1.47482   0.0101419
          43     1.33972     1.47168   0.0103814
          44     1.49243     1.47215   0.0101561
          45     1.42496     1.47111  0.00998444
          46     1.55981     1.47303  0.00995188
          47     1.44886     1.47252  0.00975342
          48     1.47332     1.47254  0.00955024
          49      1.4065     1.47119  0.00944993
          50     1.60438     1.47385  0.00962908
          51     1.53977     1.47514  0.00952662
          52     1.41456     1.47398  0.00941439
          53     1.35809     1.47179  0.00948729
          54     1.67081     1.47548   0.0100019
          55     1.43417     1.47473  0.00984818
          56     1.48797     1.47496  0.00967516
          57     1.44107     1.47437  0.00952368
          58     1.41569     1.47336  0.00941307
          59     1.44141     1.47282  0.00926908
          60     1.52311     1.47365  0.00915242
          61     1.50897     1.47423  0.00902068
          62     1.47757     1.47429  0.00887534
          63      1.6577      1.4772  0.00919958
          64     1.49042     1.47741  0.00905816
          65     1.53049     1.47822  0.00895555
          66     1.35724     1.47639  0.00900552
          67     1.49214     1.47662  0.00887417
          68     1.48049     1.47668  0.00874385
          69     1.41663     1.47581  0.00866034
          70     1.40647     1.47482  0.00859309
          71     1.38499     1.47355   0.0085647
          72     1.42756     1.47292  0.00846954
          73     1.46141     1.47276  0.00835498
          74     1.48127     1.47287  0.00824287
          75     1.47714     1.47293  0.00813316
          76     1.37527     1.47165  0.00812703
          77     1.45978     1.47149  0.00802294
          78     1.50469     1.47192  0.00793137
          79     1.31704     1.46996  0.00806963
          80     1.48418     1.47013  0.00797071
          81     1.40188     1.46929  0.00791672
          82     1.37761     1.46817  0.00789874
          83      1.4277     1.46769  0.00781861
          84     1.27621     1.46541  0.00805098
          85     1.49203     1.46572  0.00796235
          86      1.3872     1.46481  0.00792194
          87     1.46539     1.46481  0.00783088
          88     1.44752     1.46462  0.00774436
          89     1.51315     1.46516  0.00767652
          90     1.45079       1.465  0.00759288
          91     1.41104     1.46441  0.00753256
          92     1.51006     1.46491  0.00746701
          93     1.42795     1.46451  0.00739729
          94     1.37087     1.46351  0.00738536
          95     1.39852     1.46283  0.00733924
          96     1.59183     1.46417  0.00738479
          97     1.43785      1.4639  0.00731364
          98     1.38043     1.46305  0.00728844
          99     1.49323     1.46335  0.00722119
         100     1.43409     1.46306   0.0071549
