#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11322     1.11322           0
           2     1.09699     1.10511  0.00573759
           3     1.09323     1.10115  0.00500817
           4      1.0895     1.09824  0.00452406
           5     1.10251     1.09909  0.00369915
           6     1.09126     1.09779  0.00330474
           7     1.08967     1.09663   0.0030294
           8     1.08787     1.09553  0.00284177
           9     1.08762     1.09465   0.0026584
          10     1.09499     1.09469  0.00239277
          11     1.08553     1.09385  0.00231555
          12     1.08048     1.09274  0.00237572
          13       1.104     1.09361  0.00234549
          14     1.09868     1.09397  0.00220573
          15     1.09864     1.09428  0.00208051
          16     1.09921     1.09459  0.00197317
          17     1.08708     1.09415  0.00190591
          18       1.089     1.09386  0.00182137
          19     1.08026     1.09314  0.00186084
          20     1.09161     1.09307  0.00176938
          21     1.10085     1.09344  0.00172348
          22     1.09224     1.09338    0.001646
          23     1.08945     1.09321  0.00158331
          24     1.09856     1.09343  0.00153292
          25     1.10345     1.09383  0.00152307
          26      1.0962     1.09393  0.00146721
          27     1.08985     1.09377  0.00142063
          28     1.08088     1.09331  0.00144264
          29     1.08161     1.09291  0.00144825
          30     1.11709     1.09372  0.00160864
          31     1.10692     1.09414  0.00161213
          32      1.0982     1.09427  0.00156673
          33     1.07541      1.0937  0.00162018
          34     1.10773     1.09411  0.00162424
          35     1.09542     1.09415  0.00157827
          36     1.10321      1.0944  0.00155437
          37      1.0832      1.0941  0.00154154
          38     1.08583     1.09388  0.00151624
          39     1.09133     1.09381  0.00147877
          40     1.09216     1.09377  0.00144237
          41     1.07458      1.0933  0.00148117
          42     1.09323      1.0933  0.00144591
          43     1.10823     1.09365  0.00145333
          44     1.09452     1.09367  0.00142044
          45     1.09477     1.09369  0.00138908
          46     1.09062     1.09363  0.00136049
          47     1.09223      1.0936  0.00133187
          48     1.09534     1.09363  0.00130462
          49     1.10109     1.09379  0.00128683
          50     1.08272     1.09356  0.00127998
          51     1.09319     1.09356  0.00125491
          52     1.09589      1.0936  0.00123157
          53     1.10636     1.09384  0.00123162
          54     1.06947     1.09339  0.00128886
          55     1.10288     1.09356  0.00127692
          56      1.0969     1.09362  0.00125551
          57      1.0857     1.09348  0.00124115
          58     1.09707     1.09355  0.00122128
          59     1.09613     1.09359  0.00120137
          60     1.09188     1.09356  0.00118168
          61     1.09804     1.09363  0.00116459
          62     1.10124     1.09376  0.00115225
          63     1.07727      1.0935   0.0011633
          64     1.08563     1.09337  0.00115161
          65     1.08377     1.09322  0.00114333
          66     1.10608     1.09342  0.00114248
          67     1.09414     1.09343  0.00112548
          68     1.09081     1.09339  0.00110958
          69     1.08803     1.09331  0.00109622
          70     1.09369     1.09332  0.00108057
          71     1.11456     1.09362  0.00110598
          72     1.10879     1.09383   0.0011105
          73     1.08388     1.09369  0.00110361
          74     1.09705     1.09374  0.00108963
          75     1.09095      1.0937  0.00107574
          76      1.1017     1.09381  0.00106671
          77     1.08105     1.09364  0.00106565
          78     1.10347     1.09377  0.00105941
          79     1.11968      1.0941   0.0010956
          80      1.0902     1.09405  0.00108299
          81     1.09464     1.09405  0.00106964
          82     1.11069     1.09426  0.00107566
          83     1.09627     1.09428  0.00106297
          84     1.11338     1.09451  0.00107437
          85     1.08917     1.09445  0.00106357
          86     1.09842     1.09449   0.0010522
          87     1.08813     1.09442  0.00104264
          88     1.10136      1.0945  0.00103377
          89     1.09278     1.09448  0.00102234
          90     1.10328     1.09458  0.00101564
          91     1.10384     1.09468  0.00100957
          92     1.08829     1.09461  0.00100098
          93      1.1034      1.0947 0.000994672
          94     1.09326     1.09469 0.000984208
          95     1.10974     1.09485 0.000986521
          96     1.08261     1.09472 0.000984442
          97     1.10796     1.09486 0.000983707
          98     1.10333     1.09494 0.000977466
          99     1.09441     1.09494 0.000967607
         100     1.09974     1.09498 0.000959122
