#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.8083     -3.8083           0
           2    -3.80704    -3.80767 0.000445154
           3    -3.80811    -3.80782 0.000320598
           4    -3.80934     -3.8082 0.000408007
           5    -3.80821     -3.8082 0.000326412
           6    -3.80892    -3.80832 0.000293133
           7    -3.80842    -3.80833 0.000251574
           8    -3.80944    -3.80847 0.000255126
           9    -3.80642    -3.80824 0.000312279
          10    -3.80844    -3.80826 0.000281655
          11     -3.8081    -3.80825 0.000256434
          12    -3.80717    -3.80816 0.000250316
          13    -3.80913    -3.80823 0.000242012
          14    -3.80884    -3.80828 0.000228614
          15    -3.80877    -3.80831 0.000215679
          16     -3.8084    -3.80831 0.000202267
          17    -3.80839    -3.80832 0.000190413
          18    -3.80947    -3.80838 0.000190304
          19    -3.80721    -3.80832 0.000190008
          20    -3.80675    -3.80824 0.000196116
          21    -3.80827    -3.80824 0.000186781
          22    -3.80871    -3.80827 0.000179483
          23    -3.80727    -3.80822  0.00017683
          24    -3.80806    -3.80822 0.000169585
          25    -3.80836    -3.80822 0.000162901
          26    -3.80938    -3.80827  0.00016261
          27    -3.80897    -3.80829  0.00015864
          28    -3.80832    -3.80829 0.000152978
          29      -3.807    -3.80825 0.000154026
          30     -3.8087    -3.80826 0.000149616
          31    -3.80812    -3.80826 0.000144861
          32    -3.80898    -3.80828 0.000142093
          33    -3.80599    -3.80821 0.000153783
          34    -3.80757    -3.80819 0.000150401
          35    -3.80794    -3.80819 0.000146281
          36    -3.80759    -3.80817 0.000143144
          37      -3.809    -3.80819 0.000141027
          38     -3.8089    -3.80821 0.000138553
          39     -3.8094    -3.80824 0.000138309
          40    -3.80848    -3.80825 0.000134981
          41    -3.80754    -3.80823 0.000132784
          42    -3.80819    -3.80823 0.000129626
          43     -3.8094    -3.80826 0.000129442
          44     -3.8075    -3.80824 0.000127644
          45    -3.80788    -3.80823 0.000125061
          46    -3.80877    -3.80824 0.000122886
          47    -3.80861    -3.80825 0.000120526
          48    -3.80707    -3.80823 0.000120511
          49    -3.80917    -3.80824 0.000119569
          50    -3.80672    -3.80821 0.000121001
          51    -3.80724     -3.8082 0.000120136
          52    -3.80893    -3.80821 0.000118644
          53    -3.80905    -3.80822 0.000117456
          54    -3.80635    -3.80819 0.000120279
          55    -3.80762    -3.80818 0.000118546
          56    -3.80771    -3.80817 0.000116722
          57    -3.80917    -3.80819  0.00011597
          58    -3.81057    -3.80823 0.000121039
          59    -3.80915    -3.80825 0.000119995
          60    -3.80832    -3.80825 0.000118002
          61    -3.80871    -3.80825 0.000116307
          62    -3.80741    -3.80824 0.000115235
          63    -3.80705    -3.80822 0.000114957
          64    -3.80891    -3.80823 0.000113657
          65    -3.80937    -3.80825 0.000113253
          66    -3.80911    -3.80826 0.000112287
          67    -3.80794    -3.80826 0.000110714
          68    -3.80881    -3.80827 0.000109387
          69    -3.80938    -3.80828 0.000108991
          70    -3.80967     -3.8083 0.000109223
          71    -3.80869    -3.80831 0.000107824
          72    -3.80914    -3.80832 0.000106946
          73    -3.80775    -3.80831 0.000105767
          74    -3.80813    -3.80831 0.000104365
          75    -3.80892    -3.80832 0.000103291
          76    -3.80816    -3.80832 0.000101953
          77    -3.80784    -3.80831 0.000100818
          78    -3.80779     -3.8083 9.97468e-05
          79    -3.81005    -3.80832 0.000100913
          80    -3.80859    -3.80833  9.9708e-05
          81    -3.80913    -3.80834 9.89623e-05
          82    -3.80881    -3.80834 9.79258e-05
          83    -3.80884    -3.80835   9.693e-05
          84    -3.80987    -3.80837 9.74514e-05
          85     -3.8077    -3.80836 9.66234e-05
          86     -3.8087    -3.80836  9.5582e-05
          87    -3.80936    -3.80838  9.5161e-05
          88    -3.80802    -3.80837 9.41674e-05
          89    -3.80699    -3.80836 9.43817e-05
          90    -3.80803    -3.80835 9.34028e-05
          91    -3.80817    -3.80835 9.23988e-05
          92     -3.8084    -3.80835  9.1396e-05
          93    -3.80882    -3.80836 9.05499e-05
          94    -3.80914    -3.80836  8.9975e-05
          95    -3.80748    -3.80835 8.95057e-05
          96    -3.80869    -3.80836 8.86404e-05
          97    -3.80749    -3.80835 8.81782e-05
          98    -3.80861    -3.80835 8.73192e-05
          99    -3.80769    -3.80835 8.66926e-05
         100    -3.80775    -3.80834 8.60285e-05
