#DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00119217           0
    0.910562    0.025767           0
    0.936212    0.146657           0
    0.961861    0.552461           0
    0.987511      1.2439           0
     1.01316     1.74849           0
     1.03881     2.23479           0
     1.06446     2.45074           0
     1.09011     2.41742           0
     1.11576     2.32633           0
     1.14141     2.25242           0
     1.16706     2.07101           0
     1.19271     1.89703           0
     1.21836     1.76417           0
     1.24401     1.47496           0
     1.26966     1.29094           0
     1.29531     1.13847           0
     1.32096     1.00915           0
     1.34661    0.993764           0
     1.37226    0.880194           0
     1.39791    0.826159           0
     1.42355    0.744545           0
      1.4492    0.701736           0
     1.47485    0.673233           0
      1.5005    0.663459           0
     1.52615    0.630662           0
      1.5518    0.621662           0
     1.57745    0.625838           0
      1.6031    0.652653           0
     1.62875    0.703253           0
      1.6544    0.712368           0
     1.68005    0.740588           0
      1.7057    0.777353           0
     1.73135    0.787337           0
       1.757    0.797598           0
     1.78265    0.839161           0
      1.8083    0.871858           0
     1.83395    0.913769           0
      1.8596    0.951879           0
     1.88525      1.0075           0
      1.9109     1.04591           0
     1.93655      1.0764           0
      1.9622     1.11133           0
     1.98785     1.15187           0
      2.0135     1.16367           0
     2.03915     1.21906           0
      2.0648     1.26731           0
     2.09045     1.36079           0
      2.1161     1.28291           0
     2.14174     1.17423           0
     2.16739     1.15173           0
     2.19304     1.12544           0
     2.21869      1.1199           0
     2.24434     1.06829           0
     2.26999     1.04596           0
     2.29564     1.02847           0
     2.32129    0.984397           0
     2.34694    0.982836           0
     2.37259    0.971766           0
     2.39824     0.95445           0
     2.42389    0.986331           0
     2.44954    0.921265           0
     2.47519    0.890103           0
     2.50084    0.410351           0
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00190288 0.000502552
    0.910562   0.0237966   0.0013933
    0.936212    0.158865  0.00863219
    0.961861     0.54825  0.00297755
    0.987511     1.21326   0.0216618
     1.01316     1.77975   0.0221001
     1.03881     2.28953   0.0387036
     1.06446     2.50501   0.0383735
     1.09011     2.48042   0.0445478
     1.11576     2.37547   0.0347426
     1.14141     2.25628   0.0027284
     1.16706     2.01991   0.0361363
     1.19271     1.81778   0.0560345
     1.21836     1.65607   0.0764407
     1.24401     1.43819   0.0259963
     1.26966     1.25961    0.022153
     1.29531     1.13797 0.000355622
     1.32096     1.04418   0.0247729
     1.34661    0.965567   0.0199387
     1.37226    0.878582  0.00113934
     1.39791    0.817697  0.00598332
     1.42355    0.768146   0.0166888
      1.4492    0.728562   0.0189685
     1.47485    0.681412  0.00578382
      1.5005    0.669551  0.00430783
     1.52615    0.641646  0.00776709
      1.5518    0.646981   0.0179034
     1.57745    0.643746   0.0126628
      1.6031     0.65688  0.00298864
     1.62875    0.703666 0.000291918
      1.6544    0.719747   0.0052181
     1.68005    0.735041  0.00392205
      1.7057    0.756785   0.0145436
     1.73135    0.781995  0.00377778
       1.757    0.801826  0.00298974
     1.78265    0.848664  0.00671949
      1.8083    0.886205   0.0101448
     1.83395    0.927242  0.00952704
      1.8596     0.95867  0.00480189
     1.88525     1.01256  0.00357553
      1.9109     1.04194  0.00280918
     1.93655     1.07775 0.000954633
      1.9622     1.12739   0.0113493
     1.98785       1.153 0.000799977
      2.0135     1.16964  0.00421803
     2.03915     1.20488   0.0100296
      2.0648     1.23816   0.0206091
     2.09045     1.29598   0.0458286
      2.1161     1.25668   0.0185446
     2.14174     1.19991   0.0181557
     2.16739     1.17941   0.0195663
     2.19304     1.14692    0.015194
     2.21869     1.12114 0.000882016
     2.24434     1.07724  0.00633121
     2.26999     1.04736 0.000990427
     2.29564     1.02761 0.000609477
     2.32129    0.994673  0.00726608
     2.34694    0.975137  0.00544404
     2.37259    0.967936  0.00270859
     2.39824    0.943596  0.00767476
     2.42389     0.95433   0.0226282
     2.44954    0.913557  0.00545033
     2.47519    0.903206  0.00926475
     2.50084    0.415378  0.00355435
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00148257 0.000479609
    0.910562    0.021985  0.00174665
    0.936212    0.157171  0.00591853
    0.961861    0.557261  0.00762006
    0.987511     1.23488    0.022803
     1.01316     1.82517   0.0399056
     1.03881      2.3067   0.0293647
     1.06446      2.5517   0.0459134
     1.09011     2.50547   0.0360597
     1.11576      2.3746   0.0231724
     1.14141     2.23236     0.01961
     1.16706     2.02152   0.0241268
     1.19271     1.79775   0.0407791
     1.21836     1.61277   0.0620231
     1.24401     1.39567   0.0388017
     1.26966     1.25176   0.0161001
     1.29531     1.12451   0.0109907
     1.32096     1.03833   0.0171916
     1.34661    0.940346   0.0245101
     1.37226    0.875935   0.0022911
     1.39791    0.801481   0.0138281
     1.42355    0.767001   0.0111651
      1.4492    0.737498   0.0145996
     1.47485     0.68705  0.00600454
      1.5005    0.676887  0.00664283
     1.52615    0.650406  0.00882957
      1.5518    0.655674   0.0138867
     1.57745    0.656118   0.0131644
      1.6031    0.672396   0.0128245
     1.62875    0.708392   0.0038638
      1.6544    0.723379   0.0045711
     1.68005    0.724787  0.00877084
      1.7057    0.755635  0.00974107
     1.73135    0.786982  0.00478795
       1.757    0.798637  0.00327912
     1.78265    0.844604  0.00557295
      1.8083    0.893945  0.00925621
     1.83395    0.929641  0.00664644
      1.8596    0.967648  0.00799932
     1.88525     1.00857  0.00403388
      1.9109     1.04752  0.00492267
     1.93655     1.08845  0.00876348
      1.9622      1.1265  0.00760071
     1.98785     1.15685  0.00319199
      2.0135     1.17609  0.00597607
     2.03915     1.20568  0.00671812
      2.0648     1.23542   0.0139205
     2.09045     1.27562   0.0347823
      2.1161     1.25424   0.0125225
     2.14174     1.20675   0.0133307
     2.16739     1.18066   0.0130844
     2.19304     1.14812    0.010176
     2.21869     1.12175 0.000770761
     2.24434     1.08471  0.00741308
     2.26999     1.04936  0.00176668
     2.29564     1.03073  0.00258295
     2.32129    0.995844  0.00493746
     2.34694    0.973479  0.00387362
     2.37259    0.958236  0.00812254
     2.39824      0.9351  0.00861969
     2.42389    0.935086    0.021782
     2.44954    0.898874   0.0125278
     2.47519    0.893694  0.00992277
     2.50084    0.410872  0.00437621
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00134119 0.000379974
    0.910562   0.0232228   0.0016927
    0.936212    0.162091  0.00615251
    0.961861     0.56064  0.00642095
    0.987511     1.22896   0.0178539
     1.01316     1.84099   0.0329158
     1.03881      2.3268   0.0280751
     1.06446     2.55717   0.0347589
     1.09011     2.52966   0.0342123
     1.11576     2.37394   0.0173887
     1.14141     2.20047   0.0312951
     1.16706     1.99922   0.0264656
     1.19271     1.77217   0.0377686
     1.21836      1.5884   0.0510815
     1.24401     1.40171   0.0295665
     1.26966     1.25582   0.0125778
     1.29531     1.12283  0.00837019
     1.32096     1.04237    0.013358
     1.34661    0.945493   0.0189152
     1.37226    0.883254  0.00656727
     1.39791    0.805156   0.0108484
     1.42355    0.771907  0.00939028
      1.4492    0.739243   0.0110535
     1.47485    0.697775    0.010323
      1.5005    0.685133  0.00870683
     1.52615    0.656142  0.00827839
      1.5518    0.651477   0.0110312
     1.57745     0.65371    0.010091
      1.6031    0.672605  0.00962012
     1.62875     0.70216  0.00612584
      1.6544    0.719455  0.00482701
     1.68005    0.723331  0.00669799
      1.7057     0.74843  0.00960808
     1.73135    0.781345  0.00606032
       1.757    0.802612  0.00423011
     1.78265    0.842599  0.00452594
      1.8083    0.892648   0.0070324
     1.83395     0.93514  0.00689409
      1.8596      0.9739  0.00808132
     1.88525     1.01889  0.00943576
      1.9109     1.05248  0.00566803
     1.93655     1.08544  0.00706955
      1.9622     1.12651  0.00570054
     1.98785      1.1623  0.00529282
      2.0135     1.18059  0.00593567
     2.03915     1.20623  0.00506163
      2.0648     1.22687   0.0127979
     2.09045     1.25766   0.0303706
      2.1161      1.2472   0.0111969
     2.14174     1.21347   0.0115687
     2.16739     1.17979  0.00984234
     2.19304     1.14326  0.00871241
     2.21869      1.1199  0.00170206
     2.24434     1.08118  0.00634283
     2.26999     1.04809  0.00172588
     2.29564     1.02531   0.0050795
     2.32129    0.993154  0.00437493
     2.34694    0.975546  0.00341246
     2.37259     0.96192  0.00687671
     2.39824    0.938339  0.00704715
     2.42389    0.933332    0.016407
     2.44954    0.903849   0.0103368
     2.47519    0.900139  0.00930242
     2.50084    0.412966   0.0037501
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
