#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.49736    -5.49736           0
           2    -5.47813    -5.48775  0.00679797
           3    -5.45253    -5.47601   0.0106019
           4    -5.44796      -5.469    0.010005
           5    -5.44359    -5.46391  0.00920395
           6    -5.46198    -5.46359  0.00767562
           7    -5.44581    -5.46105  0.00698667
           8    -5.44292    -5.45879  0.00647069
           9    -5.44124    -5.45684  0.00603836
          10    -5.43786    -5.45494  0.00572498
          11    -5.45092    -5.45457  0.00521618
          12    -5.43639    -5.45306   0.0049966
          13    -5.42789    -5.45112  0.00497318
          14    -5.46513    -5.45212  0.00471751
          15    -5.45686    -5.45244  0.00441356
          16    -5.45672     -5.4527  0.00414581
          17    -5.45721    -5.45297  0.00391041
          18      -5.439    -5.45219  0.00376937
          19    -5.44297    -5.45171  0.00360213
          20     -5.4276     -5.4505  0.00361807
          21    -5.44416     -5.4502  0.00345837
          22    -5.45954    -5.45063  0.00332712
          23    -5.44706    -5.45047  0.00318606
          24    -5.44144    -5.45009  0.00307545
          25     -5.4559    -5.45033  0.00296119
          26    -5.46354    -5.45083  0.00289057
          27    -5.45368    -5.45094  0.00278544
          28    -5.44373    -5.45068  0.00269782
          29    -5.42964    -5.44996  0.00270063
          30    -5.42942    -5.44927    0.002696
          31    -5.48433     -5.4504  0.00283628
          32     -5.4685    -5.45097  0.00280343
          33    -5.45628    -5.45113   0.0027231
          34     -5.4191    -5.45019  0.00280122
          35    -5.46917    -5.45073  0.00277318
          36    -5.45107    -5.45074  0.00269617
          37     -5.4624    -5.45105  0.00264166
          38     -5.4338     -5.4506  0.00261087
          39    -5.43765    -5.45027  0.00256495
          40    -5.44639    -5.45017  0.00250265
          41    -5.44673    -5.45009  0.00244302
          42    -5.41942    -5.44936   0.0024916
          43    -5.44803    -5.44933  0.00243385
          44    -5.47174    -5.44984  0.00243125
          45    -5.44928    -5.44982  0.00237726
          46    -5.45003    -5.44983  0.00232558
          47    -5.44469    -5.44972  0.00227867
          48    -5.44696    -5.44966  0.00223192
          49    -5.45007    -5.44967  0.00218639
          50     -5.4608    -5.44989  0.00215395
          51     -5.4308    -5.44952    0.002144
          52    -5.44702    -5.44947  0.00210331
          53    -5.45275    -5.44953  0.00206454
          54    -5.46858    -5.44988  0.00205622
          55    -5.41056    -5.44917  0.00213953
          56    -5.46194     -5.4494  0.00211344
          57    -5.45306    -5.44946  0.00207734
          58    -5.43772    -5.44926  0.00205137
          59    -5.45617    -5.44938  0.00201994
          60    -5.45334    -5.44944  0.00198736
          61    -5.44614    -5.44939  0.00195551
          62    -5.45576    -5.44949  0.00192667
          63    -5.45927    -5.44965  0.00190233
          64    -5.42295    -5.44923   0.0019178
          65    -5.43735    -5.44905  0.00189699
          66    -5.43503    -5.44883   0.0018801
          67    -5.46823    -5.44912  0.00187421
          68    -5.44916    -5.44912  0.00184664
          69    -5.44503    -5.44906  0.00182083
          70    -5.44143    -5.44896  0.00179808
          71     -5.4502    -5.44897  0.00177284
          72    -5.48053    -5.44941  0.00180158
          73    -5.47232    -5.44973  0.00180403
          74    -5.43357    -5.44951  0.00179281
          75    -5.45371    -5.44956  0.00176978
          76    -5.44535    -5.44951  0.00174737
          77     -5.4607    -5.44965  0.00173071
          78    -5.42941    -5.44939  0.00172787
          79      -5.463    -5.44957  0.00171455
          80    -5.48957    -5.45007  0.00176454
          81     -5.4439    -5.44999  0.00174439
          82    -5.45109       -5.45  0.00172317
          83    -5.47485     -5.4503  0.00172821
          84    -5.45324    -5.45034  0.00170799
          85    -5.47995    -5.45069  0.00172305
          86    -5.44145    -5.45058  0.00170636
          87    -5.45633    -5.45064  0.00168802
          88    -5.44155    -5.45054    0.001672
          89    -5.46005    -5.45065  0.00165663
          90    -5.44616     -5.4506  0.00163897
          91    -5.46295    -5.45073  0.00162657
          92    -5.46392    -5.45088  0.00161519
          93    -5.44084    -5.45077  0.00160142
          94    -5.46392    -5.45091  0.00159049
          95    -5.44904    -5.45089  0.00157387
          96    -5.47209    -5.45111   0.0015729
          97     -5.4326    -5.45092  0.00156821
          98    -5.46942    -5.45111  0.00156353
          99    -5.46361    -5.45123  0.00155283
         100    -5.44931    -5.45122  0.00153742
         101    -5.45736    -5.45128   0.0015234
         102    -5.46278    -5.45139  0.00151264
         103    -5.47523    -5.45162  0.00151556
         104    -5.44627    -5.45157  0.00150186
         105    -5.46566     -5.4517  0.00149355
         106    -5.44846    -5.45167  0.00147977
         107    -5.44165    -5.45158   0.0014689
         108    -5.47001    -5.45175  0.00146518
         109     -5.4563    -5.45179  0.00145233
         110    -5.46028    -5.45187  0.00144118
         111       -5.42    -5.45158  0.00145651
         112    -5.46708    -5.45172  0.00145006
         113    -5.48543    -5.45202  0.00146759
         114    -5.43417    -5.45186  0.00146304
         115    -5.44753    -5.45182  0.00145081
         116    -5.47349    -5.45201  0.00145028
         117    -5.45539    -5.45204  0.00143817
         118    -5.41044    -5.45169  0.00146856
         119    -5.44084     -5.4516  0.00145905
         120    -5.43699    -5.45147  0.00145195
         121      -5.454     -5.4515   0.0014401
