#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.36185    -6.36185           0
           2    -6.35605    -6.35895  0.00204922
           3     -6.3503    -6.35607  0.00272191
           4    -6.34418     -6.3531  0.00328542
           5    -6.33408    -6.34929  0.00429869
           6    -6.32485    -6.34522  0.00516357
           7    -6.31781     -6.3413  0.00572117
           8    -6.30716    -6.33704   0.0064034
           9    -6.29784    -6.33268   0.0070182
          10    -6.28367    -6.32778  0.00784317
          11    -6.26408    -6.32199  0.00901822
          12    -6.25497     -6.3164  0.00984536
          13    -6.24815    -6.31115    0.010394
          14    -6.24243    -6.30624   0.0107484
          15    -6.23017    -6.30117   0.0111643
          16    -6.21358     -6.2957   0.0117324
          17    -6.19979    -6.29006   0.0123241
          18    -6.19077    -6.28454   0.0128145
          19    -6.17931      -6.279   0.0132831
          20    -6.17301     -6.2737   0.0136352
          21    -6.16138    -6.26835   0.0139958
          22    -6.15313    -6.26312   0.0143061
          23     -6.1529    -6.25832   0.0144644
          24    -6.14537    -6.25362   0.0146073
          25    -6.14992    -6.24947   0.0146001
          26    -6.14846    -6.24559   0.0145463
          27    -6.14859    -6.24199   0.0144443
          28    -6.12906    -6.23796   0.0144806
          29     -6.1151    -6.23372   0.0145879
          30    -6.11142    -6.22965   0.0146602
          31    -6.12089    -6.22614   0.0146011
          32    -6.11156    -6.22256   0.0145772
          33    -6.09866     -6.2188   0.0146109
          34    -6.09448    -6.21515   0.0146316
          35    -6.09278    -6.21165   0.0146253
          36    -6.07155    -6.20776   0.0147277
          37    -6.06622    -6.20393   0.0148181
          38    -6.05641    -6.20005    0.014928
          39    -6.03999    -6.19595   0.0150989
          40    -6.03556    -6.19194   0.0152445
          41     -6.0202    -6.18775   0.0154374
          42    -6.00094     -6.1833   0.0156976
          43    -6.00699     -6.1792   0.0158589
          44    -6.00712    -6.17529   0.0159734
          45    -6.00134    -6.17142   0.0160794
          46     -6.0059    -6.16783   0.0161275
