#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -6.18602    -6.18602           0
           2    -6.14149    -6.16376   0.0157444
           3    -6.09807    -6.14186    0.020732
           4     -6.0538    -6.11985   0.0246021
           5    -5.98957    -6.09379   0.0305029
           6    -5.92552    -6.06575    0.036077
           7    -5.88121    -6.03938   0.0393949
           8     -5.8175    -6.01165   0.0431428
           9    -5.75992    -5.98368   0.0465407
          10    -5.67873    -5.95318   0.0509061
          11     -5.5668    -5.91806   0.0571259
          12     -5.4996    -5.88319   0.0621035
          13    -5.44921     -5.8498   0.0656884
          14    -5.40939    -5.81835   0.0681138
          15    -5.33936    -5.78641   0.0706626
          16    -5.25242    -5.75304   0.0737075
          17    -5.17294    -5.71892   0.0768657
          18    -5.10641    -5.68489   0.0797727
          19    -5.03859    -5.65087   0.0825083
          20    -5.00151     -5.6184   0.0845302
          21    -4.93887    -5.58605   0.0864769
          22     -4.8914    -5.55447   0.0881222
          23    -4.88762    -5.52548   0.0889326
          24    -4.85397     -5.4975   0.0895203
          25    -4.87443    -5.47257   0.0893415
          26    -4.85214    -5.44871   0.0890351
          27    -4.83968    -5.42615   0.0885487
          28    -4.72451     -5.4011   0.0888613
          29    -4.65564    -5.37539   0.0894378
          30    -4.63562    -5.35073   0.0897916
          31    -4.68125    -5.32914   0.0894545
          32    -4.63883    -5.30756   0.0892222
          33     -4.5663     -5.2851   0.0893013
          34    -4.54654    -5.26338   0.0892777
          35    -4.53483    -5.24256   0.0891205
          36    -4.42514    -5.21986   0.0894908
          37    -4.39752    -5.19763   0.0897896
          38    -4.34206    -5.17512   0.0902054
          39    -4.27163    -5.15195   0.0908185
          40    -4.24296    -5.12923   0.0913469
          41    -4.17061    -5.10584   0.0920625
          42    -4.07383    -5.08127   0.0930919
          43    -4.09748    -5.05839   0.0936963
          44    -4.09721    -5.03655   0.0940789
          45    -4.05998    -5.01485   0.0944581
          46    -4.05729    -4.99403   0.0946706
          47    -4.12778     -4.9756   0.0944334
          48    -4.12776    -4.95794   0.0941035
          49    -4.11421    -4.94072   0.0937451
          50    -4.07964     -4.9235   0.0934387
          51    -4.01899    -4.90576   0.0932745
          52    -3.95826    -4.88754   0.0932435
          53    -3.95834    -4.87001   0.0931179
          54    -3.93265    -4.85265   0.0929973
          55    -3.90222    -4.83537   0.0928981
          56    -3.87425    -4.81821   0.0928111
          57    -3.86516    -4.80149   0.0926767
          58    -3.80151    -4.78425   0.0926686
          59    -3.63928    -4.76484   0.0931077
          60    -3.60082    -4.74544   0.0935553
          61     -3.5365    -4.72562   0.0940974
          62    -3.49332    -4.70574   0.0946555
          63    -3.44842    -4.68579   0.0952338
          64    -3.35937    -4.66506   0.0959744
          65    -3.42534    -4.64599   0.0963744
          66    -3.59184    -4.63002   0.0962286
          67    -3.65067     -4.6154    0.095896
          68    -3.62819    -4.60088   0.0955784
          69    -3.67951    -4.58753   0.0951214
          70    -3.54366    -4.57262   0.0949243
          71    -3.47894    -4.55721   0.0948289
          72    -3.38478    -4.54093   0.0948997
          73    -3.39546    -4.52524   0.0948881
          74    -3.45294    -4.51075   0.0947058
          75    -3.33107    -4.49502   0.0947402
          76    -3.18354    -4.47776   0.0950522
          77    -3.16909    -4.46077   0.0953251
          78    -3.17226    -4.44425   0.0955236
          79    -3.04507    -4.42654   0.0959423
          80    -2.93511    -4.40789   0.0965373
