#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.00235    -6.00235           0
           2    -5.69501    -5.84868    0.108662
           3    -5.56032    -5.75256    0.106804
           4     -5.4381    -5.67395    0.105127
           5    -5.27869    -5.59489    0.109874
           6    -5.26983    -5.54072    0.104065
           7    -5.34648    -5.51297   0.0928247
           8    -5.29852    -5.48616   0.0850041
           9    -5.22275    -5.45689   0.0804402
          10    -5.18315    -5.42952   0.0769131
          11    -5.14579    -5.40373   0.0741199
          12    -5.18667    -5.38564   0.0701156
          13    -5.23722    -5.37422   0.0656451
          14    -5.26531    -5.36644   0.0614154
          15    -5.21507    -5.35635   0.0581442
          16    -5.17449    -5.34498   0.0556101
          17    -5.15208    -5.33364   0.0534842
          18    -5.13526    -5.32262   0.0516359
          19    -5.03326    -5.30739   0.0511147
          20     -5.1509    -5.29956   0.0491542
          21    -5.19627    -5.29464   0.0470589
          22    -5.11505    -5.28648   0.0456225
          23    -5.20266    -5.28284   0.0437842
          24    -5.26936    -5.28227   0.0419635
          25     -5.2379     -5.2805   0.0403224
          26    -5.27009     -5.2801   0.0387736
          27    -5.14342    -5.27504   0.0376665
          28    -5.08769    -5.26835   0.0369108
          29    -5.11169    -5.26294   0.0360311
          30    -5.22625    -5.26172   0.0348508
          31    -5.15552    -5.25829   0.0338946
          32    -5.10037    -5.25336   0.0331927
          33    -5.10518    -5.24887   0.0324891
          34    -5.18218    -5.24691   0.0315927
          35    -5.17522    -5.24486   0.0307564
          36    -5.08656    -5.24046   0.0302148
          37     -5.0936    -5.23649   0.0296577
          38    -5.01456    -5.23065   0.0294467
          39    -5.10184    -5.22735   0.0288763
          40     -5.1063    -5.22432   0.0283125
          41    -5.07565     -5.2207   0.0278532
          42    -5.08395    -5.21744   0.0273797
          43     -5.1527    -5.21594   0.0267843
          44    -5.15338    -5.21451   0.0262133
          45    -5.03497    -5.21052   0.0259326
          46    -5.02317    -5.20645   0.0256867
          47    -5.03846    -5.20288   0.0253877
          48    -5.06914    -5.20009   0.0250112
          49    -5.05609    -5.19715   0.0246728
          50    -4.94895    -5.19219   0.0246737
          51    -5.12618    -5.19089   0.0242238
          52    -5.13754    -5.18987   0.0237797
          53    -5.06351    -5.18748   0.0234502
          54    -5.13347    -5.18648   0.0230373
          55    -5.10951    -5.18508   0.0226609
          56     -5.0593    -5.18284   0.0223673
          57    -5.12352     -5.1818    0.021999
          58    -5.06494    -5.17978   0.0217118
