#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -6.7902     -6.7902           0
           2     -6.7844     -6.7873  0.00204922
           3    -6.77865    -6.78442  0.00272191
           4    -6.77253    -6.78144  0.00328542
           5    -6.76243    -6.77764  0.00429869
           6     -6.7532    -6.77357  0.00516357
           7    -6.74616    -6.76965  0.00572117
           8     -6.7355    -6.76538   0.0064034
           9    -6.72619    -6.76103   0.0070182
          10    -6.71202    -6.75613  0.00784317
          11    -6.69242    -6.75033  0.00901822
          12    -6.68331    -6.74475  0.00984536
          13     -6.6765     -6.7395    0.010394
          14    -6.67078    -6.73459   0.0107484
          15    -6.65852    -6.72952   0.0111643
          16    -6.64192    -6.72404   0.0117324
          17    -6.62814     -6.7184   0.0123241
          18    -6.61912    -6.71289   0.0128145
          19    -6.60766    -6.70735   0.0132831
          20    -6.60135    -6.70205   0.0136352
          21    -6.58972     -6.6967   0.0139958
          22    -6.58148    -6.69146   0.0143061
          23    -6.58125    -6.68667   0.0144644
          24    -6.57372    -6.68196   0.0146073
          25    -6.57827    -6.67782   0.0146001
          26    -6.57681    -6.67393   0.0145463
          27    -6.57694    -6.67034   0.0144443
          28     -6.5574    -6.66631   0.0144806
          29    -6.54344    -6.66207   0.0145879
          30    -6.53977    -6.65799   0.0146602
          31    -6.54923    -6.65448   0.0146011
          32    -6.53991     -6.6509   0.0145772
          33    -6.52701    -6.64715   0.0146109
          34    -6.52283    -6.64349   0.0146316
          35    -6.52112       -6.64   0.0146253
          36    -6.49989     -6.6361   0.0147277
          37    -6.49457    -6.63228   0.0148181
          38    -6.48476     -6.6284    0.014928
          39    -6.46833    -6.62429   0.0150989
          40    -6.46391    -6.62028   0.0152445
          41    -6.44855    -6.61609   0.0154374
          42    -6.42929    -6.61165   0.0156976
          43    -6.43534    -6.60755   0.0158589
          44    -6.43547    -6.60364   0.0159734
          45    -6.42969    -6.59977   0.0160794
          46    -6.43425    -6.59617   0.0161275
          47    -6.44798    -6.59302   0.0160896
          48    -6.44926    -6.59002   0.0160307
          49    -6.44617    -6.58709   0.0159701
          50    -6.44072    -6.58416   0.0159167
          51    -6.42865    -6.58111    0.015894
          52    -6.41562    -6.57793   0.0159038
          53    -6.41303    -6.57482   0.0159052
          54    -6.40618     -6.5717   0.0159143
          55    -6.40236    -6.56862     0.01592
          56    -6.39501    -6.56552   0.0159346
          57    -6.39355     -6.5625   0.0159381
          58    -6.38148    -6.55938    0.015966
          59    -6.34853     -6.5558   0.0160903
          60    -6.34247    -6.55225   0.0162103
          61    -6.32787    -6.54857   0.0163565
          62    -6.31704    -6.54484   0.0165135
          63    -6.30754    -6.54107   0.0166754
          64    -6.28883    -6.53713   0.0168742
          65    -6.30743    -6.53359   0.0169806
          66    -6.34863    -6.53079    0.016953
          67    -6.36276    -6.52828   0.0168845
          68    -6.35877    -6.52579   0.0168192
          69    -6.37069    -6.52354    0.016725
          70    -6.34056    -6.52093   0.0166891
          71     -6.3279    -6.51821    0.016674
          72    -6.31061    -6.51533   0.0166898
          73     -6.3143    -6.51257   0.0166868
          74    -6.32721    -6.51007   0.0166483
          75    -6.30227     -6.5073   0.0166553
          76    -6.27021    -6.50418   0.0167257
          77    -6.26722     -6.5011   0.0167892
          78    -6.26915    -6.49813   0.0168353
          79    -6.24181    -6.49488   0.0169319
          80    -6.21816    -6.49142   0.0170699
          81    -6.22297    -6.48811   0.0171779
          82    -6.25346    -6.48525   0.0172051
          83    -6.27243    -6.48268   0.0171878
          84    -6.27391     -6.4802    0.017162
          85    -6.25729    -6.47758   0.0171592
          86    -6.22957    -6.47469   0.0172003
          87    -6.22807    -6.47186   0.0172346
          88    -6.21974    -6.46899   0.0172753
          89    -6.22383    -6.46624   0.0172994
          90    -6.23019    -6.46362   0.0173049
          91    -6.21861    -6.46092   0.0173229
          92    -6.21323    -6.45823   0.0173426
          93    -6.20811    -6.45554   0.0173634
          94    -6.20471    -6.45287   0.0173825
          95    -6.19413    -6.45015   0.0174116
          96    -6.18185    -6.44735   0.0174531
          97    -6.17916    -6.44459   0.0174908
          98    -6.17055    -6.44179   0.0175344
          99    -6.17353    -6.43908   0.0175654
         100    -6.16699    -6.43636   0.0175992
         101    -6.16665    -6.43369   0.0176264
         102    -6.16049    -6.43101    0.017656
         103    -6.14271    -6.42821    0.017705
         104    -6.14781    -6.42552   0.0177389
         105     -6.1652    -6.42304   0.0177423
         106    -6.13218     -6.4203   0.0177859
         107    -6.14483    -6.41772    0.017805
         108    -6.15078    -6.41525   0.0178109
         109    -6.14694    -6.41279   0.0178168
         110    -6.11353    -6.41007   0.0178613
         111    -6.09966    -6.40727   0.0179179
         112    -6.12865    -6.40478   0.0179298
         113    -6.13081    -6.40236   0.0179343
         114    -6.14814    -6.40013   0.0179151
         115    -6.14471    -6.39791   0.0178965
         116    -6.16999    -6.39594   0.0178497
         117    -6.15937    -6.39392   0.0178113
         118    -6.13366    -6.39171   0.0177964
         119    -6.10723    -6.38932   0.0178067
         120    -6.10619    -6.38696   0.0178139
         121    -6.09586    -6.38456   0.0178284
         122     -6.0987    -6.38222   0.0178356
         123    -6.08174    -6.37977   0.0178571
         124     -6.0636    -6.37722   0.0178942
         125    -6.08809    -6.37491   0.0178999
         126    -6.10265    -6.37275   0.0178878
         127    -6.09596    -6.37057   0.0178792
         128    -6.09281     -6.3684   0.0178708
         129    -6.09049    -6.36625   0.0178616
         130    -6.10418    -6.36423   0.0178376
         131    -6.13582    -6.36249   0.0177865
         132    -6.15887    -6.36094   0.0177185
         133    -6.16116    -6.35944   0.0176488
         134    -6.14223    -6.35782   0.0175914
         135    -6.11333    -6.35601   0.0175541
         136    -6.10564    -6.35417   0.0175213
         137    -6.13371    -6.35256   0.0174671
         138     -6.1493    -6.35109   0.0174025
         139    -6.13119     -6.3495   0.0173491
         140    -6.12431     -6.3479   0.0172996
         141    -6.11353    -6.34623   0.0172565
         142    -6.10832    -6.34456   0.0172162
         143    -6.10053    -6.34285   0.0171801
         144    -6.10801    -6.34122    0.017138
         145    -6.09701    -6.33954   0.0171024
         146    -6.08324    -6.33778   0.0170751
         147    -6.06604    -6.33593   0.0170587
         148    -6.09305    -6.33429   0.0170222
         149    -6.08133    -6.33259   0.0169924
         150    -6.07099    -6.33085   0.0169684
         151    -6.06712     -6.3291   0.0169457
         152    -6.02818    -6.32712   0.0169495
         153    -6.01778     -6.3251   0.0169588
         154     -6.0248    -6.32315   0.0169605
         155    -6.03707    -6.32131   0.0169512
         156    -6.02998    -6.31944   0.0169451
         157    -6.02212    -6.31754   0.0169426
         158    -6.02992    -6.31572   0.0169329
         159    -6.03552    -6.31396   0.0169179
         160    -6.02208    -6.31214   0.0169102
         161    -6.00828    -6.31025   0.0169102
         162    -6.03076    -6.30853   0.0168935
         163    -6.02635    -6.30679   0.0168784
         164    -6.01758    -6.30503   0.0168673
         165    -6.01868     -6.3033   0.0168541
         166    -6.01651    -6.30157   0.0168409
         167    -6.02935    -6.29994   0.0168188
         168    -6.02021    -6.29827   0.0168009
         169    -6.02426    -6.29665   0.0167795
         170    -6.03278     -6.2951   0.0167525
         171    -6.01228    -6.29345   0.0167359
         172    -6.01252    -6.29181   0.0167181
         173    -6.01563    -6.29022   0.0166976
         174     -6.0018    -6.28856   0.0166837
         175    -5.95734    -6.28667   0.0166953
         176    -5.95098    -6.28476   0.0167091
         177    -5.97714    -6.28302   0.0167048
         178     -5.9871    -6.28136   0.0166935
         179    -5.99317    -6.27975   0.0166777
         180    -5.95664    -6.27795   0.0166813
         181    -5.94665    -6.27612   0.0166893
         182    -5.94144    -6.27428   0.0166986
         183    -5.94688    -6.27249   0.0167029
         184    -5.96986    -6.27085   0.0166929
         185     -6.0128    -6.26945   0.0166609
         186    -6.02718    -6.26815   0.0166221
         187    -6.02593    -6.26686   0.0165836
         188    -6.03885    -6.26564   0.0165397
         189    -6.05049    -6.26451   0.0164913
         190    -6.04615    -6.26336   0.0164445
         191    -6.05247    -6.26225   0.0163955
         192    -6.05031    -6.26115   0.0163472
         193    -6.04806    -6.26004   0.0162997
         194    -6.07206    -6.25908   0.0162445
         195    -6.06005    -6.25805   0.0161932
         196    -6.04661    -6.25698   0.0161465
         197      -6.021    -6.25578   0.0161089
         198    -6.02219     -6.2546   0.0160707
         199    -5.99098    -6.25327   0.0160444
         200    -5.98064    -6.25191    0.016022
