#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   -0.126007   -0.126007           0
           2    0.443797    0.158895    0.201456
           3    0.239683    0.185824    0.136092
           4    0.525978    0.270863    0.125864
           5    0.731667    0.363023    0.130129
           6    0.690022    0.417523    0.119309
           7    0.618672    0.446259    0.105669
           8    0.533699    0.457189   0.0930236
           9    0.477342    0.459428   0.0827146
          10    0.286576    0.442143   0.0762279
          11    0.394243    0.437788   0.0694223
          12     0.43201    0.437307   0.0636388
          13    0.391334     0.43377   0.0588417
          14    0.654124     0.44951   0.0567047
          15    0.457255    0.450026   0.0529268
          16     0.41333    0.447733   0.0496685
          17    0.645723    0.459379   0.0480929
          18    0.558091    0.464863   0.0457327
          19     0.60256     0.47211   0.0438962
          20    0.493378    0.473174   0.0417142
          21    0.629369    0.480612   0.0403855
          22    0.539324     0.48328   0.0386379
          23    0.479386    0.483111   0.0369583
          24     0.24691    0.473269   0.0367054
          25    0.547471    0.476237    0.035357
          26    0.194452      0.4654   0.0356195
          27    0.635663    0.471706    0.034854
          28    0.279201     0.46483   0.0342806
          29    0.274418    0.458265   0.0337214
          30    0.549258    0.461298   0.0327335
          31    0.700178    0.469003    0.032572
          32    0.421907    0.467532   0.0315873
          33    0.496856     0.46842   0.0306426
          34    0.500615    0.469367    0.029756
          35    0.566207    0.472134   0.0290342
          36    0.464957    0.471935   0.0282284
          37      0.3076    0.467493   0.0278126
          38     0.40357    0.465811   0.0271316
          39    0.382632    0.463678   0.0265196
          40    0.646311    0.468244   0.0262467
          41    0.515436    0.469395   0.0256317
          42    0.587908    0.472217   0.0251763
          43    0.306265    0.468357   0.0248849
          44    0.482827    0.468686   0.0243215
          45    0.530497     0.47006   0.0238197
          46    0.386969    0.468254   0.0233703
          47    0.581318    0.470659   0.0229966
          48    0.599981    0.473353   0.0226747
          49    0.715431    0.478294   0.0227438
          50     1.00917    0.488911    0.024643
          51    0.779021      0.4946   0.0248076
          52    0.382488    0.492444    0.024424
          53    0.437565    0.491408   0.0239852
          54    0.500913    0.491584   0.0235416
          55    0.226035    0.486756   0.0236035
          56    0.301214    0.483443   0.0234134
          57    0.349997    0.481102   0.0231194
          58    0.656998    0.484134   0.0229188
          59    0.534741    0.484992   0.0225464
          60    0.374947    0.483158   0.0222451
          61    0.292728    0.480036   0.0220984
          62    0.537102    0.480957   0.0217612
          63    0.336778    0.478668   0.0215357
          64    0.425154    0.477832   0.0212155
          65     1.02731    0.486285   0.0225103
          66    0.371401    0.484545   0.0222365
          67    0.428417    0.483707   0.0219204
          68    0.331399    0.481467   0.0217121
          69    0.542875    0.482357   0.0214157
          70    0.748985    0.486166   0.0214458
          71     0.42232    0.485267   0.0211626
          72    0.469111    0.485043   0.0208699
          73    0.473389    0.484883   0.0205846
          74    0.567704    0.486002   0.0203368
          75    0.486295    0.486006   0.0200657
          76     0.50131    0.486207   0.0198027
          77    0.259603    0.483264   0.0197629
          78    0.682477    0.485818   0.0196739
          79    0.417232     0.48495    0.019444
          80    0.540055    0.485639   0.0192132
          81    0.676666    0.487997   0.0191202
          82    0.629889    0.489728   0.0189651
          83    0.693463    0.492182   0.0188948
          84    0.431159    0.491456   0.0186838
          85    0.886143    0.496099   0.0190323
          86    0.529112    0.496483   0.0188148
          87    0.610312    0.497792    0.018644
          88    0.631986    0.499317   0.0184944
          89    0.527035    0.499628   0.0182892
          90    0.294722    0.497351   0.0182272
          91    0.694195    0.499514   0.0181548
          92    0.498611    0.499505   0.0179574
          93    0.332866    0.497713   0.0178535
          94    0.471585    0.497435   0.0176658
          95    0.538655    0.497869   0.0174851
          96    0.616721    0.499107   0.0173468
          97    0.520993    0.499332   0.0171694
          98    0.373202    0.498045   0.0170424
          99    0.382845    0.496882   0.0169099
         100    0.387635    0.495789   0.0167761
         101    0.502301    0.495854   0.0166101
         102    0.277443    0.493712   0.0165847
         103    0.761019    0.496308   0.0166255
         104    0.419225    0.495566   0.0164821
         105    0.486654    0.495482   0.0163254
         106    0.560137    0.496092   0.0161828
         107    0.427114    0.495447   0.0160444
         108    0.519915    0.495673   0.0158974
         109    0.603723    0.496665   0.0157824
         110     0.69041    0.498426   0.0157369
         111    0.569512    0.499066   0.0156082
         112    0.487746    0.498965   0.0154691
         113    0.609728    0.499946   0.0153633
         114    0.836313    0.502896   0.0155093
         115    0.593662    0.503685   0.0153945
         116    0.296225    0.501897   0.0153653
         117     0.19484    0.499273   0.0154565
         118    0.667946    0.500702   0.0153914
         119    0.537569    0.501012   0.0152652
         120    0.839629    0.503834   0.0153966
         121    0.638923     0.50495   0.0153098
         122     0.66976    0.506301   0.0152438
         123    0.362844    0.505135   0.0151644
         124    0.407262    0.504345   0.0150626
         125    0.294968     0.50267    0.015035
         126    0.521144    0.502817   0.0149164
         127    0.602885    0.503605   0.0148197
         128    0.460503    0.503268   0.0147077
         129    0.228816    0.501141   0.0147468
         130     0.37341    0.500158   0.0146661
         131    0.441721    0.499712   0.0145609
         132    0.899926    0.502744   0.0147629
         133    0.317573    0.501352   0.0147174
         134    0.564224    0.501821    0.014615
         135     0.57688    0.502377   0.0145173
         136    0.728057    0.504036   0.0145051
         137    0.414126     0.50338   0.0144141
         138    0.686352    0.504706   0.0143705
         139    0.629426    0.505603   0.0142951
         140    0.384897    0.504741    0.014219
         141    0.565618    0.505173   0.0141247
         142    0.582682    0.505719   0.0140357
         143    0.164963    0.503336   0.0141384
         144    0.305891    0.501964   0.0141066
         145    0.438393    0.501526   0.0140161
         146    0.275666    0.499979   0.0140052
         147    0.469883    0.499774   0.0139114
         148    0.391452    0.499042   0.0138367
         149    0.677311    0.500239   0.0137954
         150    0.277837    0.498756   0.0137829
         151    0.651377    0.499767   0.0137286
         152    0.615328    0.500527   0.0136594
         153    0.316684    0.499326   0.0136228
         154   0.0900689    0.496668   0.0137911
         155    0.439773    0.496301   0.0137071
         156    0.548896    0.496638   0.0136233
         157    0.404066    0.496049   0.0135493
         158    0.379123    0.495308   0.0134838
         159    0.527917    0.495514   0.0134005
         160     0.40401    0.494942    0.013329
         161    0.646755    0.495885   0.0132795
         162    0.597696    0.496513   0.0132124
         163    0.516157    0.496634   0.0131319
         164    0.310995    0.495502   0.0131005
         165    0.839388    0.497586   0.0131858
         166     0.73219    0.498999   0.0131819
         167    0.608054    0.499652   0.0131191
         168    0.311645    0.498533   0.0130887
         169    0.556061    0.498873   0.0130157
         170    0.531498    0.499065   0.0129405
         171    0.608715    0.499707   0.0128807
         172    0.771441    0.501286   0.0129024
         173    0.658999    0.502198     0.01286
         174    0.181906    0.500357   0.0129171
         175    0.476742    0.500222    0.012844
         176    0.540408    0.500451   0.0127731
         177    0.558331    0.500778   0.0127051
         178    0.396034    0.500189   0.0126473
         179    0.623326    0.500877   0.0125954
         180     0.47942    0.500758    0.012526
         181    0.760084    0.502191   0.0125384
         182    0.632748    0.502908     0.01249
         183    0.221647    0.501371    0.012516
         184    0.736139    0.502647   0.0125128
         185    0.434635    0.502279   0.0124506
         186    0.532145     0.50244   0.0123847
         187    0.272361     0.50121   0.0123794
         188    0.353654    0.500425   0.0123384
         189     0.35669    0.499664   0.0122966
         190    0.626052    0.500329   0.0122498
         191    0.378267     0.49969   0.0122024
         192    0.565372    0.500032   0.0121436
         193    0.713387    0.501138   0.0121309
         194     0.50899    0.501178   0.0120684
         195    0.478087     0.50106   0.0120071
         196      0.7263    0.502209   0.0120007
         197    0.663812    0.503029   0.0119678
         198    0.752546     0.50429   0.0119735
         199    0.515647    0.504347   0.0119135
         200    0.553009     0.50459   0.0118564
