#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -4.62785    -4.62785           0
           2    -4.33275     -4.4803    0.104331
           3    -4.41486    -4.45849   0.0717981
           4    -4.38716    -4.44066   0.0560196
           5    -4.39618    -4.43176   0.0455162
           6    -4.38347    -4.42371   0.0386353
           7    -4.34436    -4.41238   0.0347392
           8    -4.32412    -4.40134   0.0321008
           9    -4.40224    -4.40144   0.0285342
          10    -4.35127    -4.39643   0.0261182
          11    -4.29084    -4.38683   0.0254466
          12     -4.2593     -4.3762   0.0254487
          13    -4.35589    -4.37464    0.023539
          14    -4.31303    -4.37024   0.0222651
          15    -4.40505    -4.37256   0.0209014
          16    -4.34267    -4.37069   0.0196784
          17    -4.38576    -4.37158   0.0185408
          18     -4.3585    -4.37085    0.017525
          19    -4.47418    -4.37629    0.017426
          20    -4.31214    -4.37308   0.0168473
          21    -4.32088     -4.3706   0.0162274
          22     -4.3011    -4.36744   0.0157942
          23    -4.31523    -4.36517   0.0152697
          24    -4.33783    -4.36403   0.0146759
          25     -4.3206    -4.36229   0.0141913
          26    -4.33955    -4.36142   0.0136724
          27    -4.23653    -4.35679   0.0139264
          28    -4.40147    -4.35839   0.0135201
          29    -4.33234    -4.35749   0.0130837
          30    -4.42362    -4.35969    0.012832
          31    -4.29678    -4.35766   0.0125775
          32    -4.37665    -4.35826   0.0121984
          33    -4.30865    -4.35675    0.011921
          34    -4.38338    -4.35754   0.0115961
          35    -4.20312    -4.35312   0.0120749
          36    -4.31767    -4.35214   0.0117796
          37    -4.38691    -4.35308   0.0114987
          38    -4.33106     -4.3525   0.0112107
          39    -4.48333    -4.35586   0.0114141
          40      -4.371    -4.35623   0.0111351
          41    -4.41231     -4.3576   0.0109471
          42    -4.27222    -4.35557   0.0108736
          43    -4.29704    -4.35421   0.0107056
          44    -4.45198    -4.35643   0.0106904
          45    -4.43271    -4.35812   0.0105864
          46    -4.29433    -4.35674   0.0104467
          47    -4.36976    -4.35702   0.0102281
          48    -4.35995    -4.35708   0.0100152
          49    -4.27347    -4.35537  0.00995506
          50     -4.2995    -4.35425  0.00981848
          51    -4.35064    -4.35418  0.00962621
          52    -4.33192    -4.35375  0.00945061
          53    -4.39474    -4.35453  0.00930387
          54    -4.26816    -4.35293  0.00926805
          55    -4.38052    -4.35343  0.00911311
          56    -4.30654    -4.35259  0.00898876
          57    -4.38115    -4.35309  0.00884502
          58    -4.25215    -4.35135  0.00886209
          59    -4.38871    -4.35199  0.00873448
          60    -4.43152    -4.35331   0.0086889
          61    -4.39861    -4.35405  0.00857814
          62    -4.35666     -4.3541  0.00843989
          63    -4.35161    -4.35406  0.00830601
          64    -4.37215    -4.35434  0.00818104
          65    -4.33615    -4.35406  0.00805997
          66    -4.44376    -4.35542  0.00805163
          67    -4.38075     -4.3558  0.00794032
          68    -4.31895    -4.35525  0.00784202
          69    -4.31768    -4.35471  0.00774725
          70     -4.3888     -4.3552  0.00765186
          71    -4.36246     -4.3553  0.00754477
          72    -4.39678    -4.35588  0.00746195
          73    -4.42298    -4.35679  0.00741613
          74    -4.33938    -4.35656  0.00731964
          75    -4.38588    -4.35695  0.00723248
          76    -4.31008    -4.35633  0.00716356
          77     -4.3104    -4.35574  0.00709531
          78    -4.28851    -4.35488   0.0070565
          79    -4.50804    -4.35681  0.00722862
          80    -4.44136    -4.35787  0.00721509
          81    -4.34905    -4.35776  0.00712684
          82    -4.42951    -4.35864  0.00709344
          83    -4.34115    -4.35843  0.00701111
          84    -4.41426    -4.35909  0.00695907
          85    -4.38123    -4.35935  0.00688208
          86    -4.27959    -4.35842  0.00686427
          87    -4.33153    -4.35811  0.00679232
          88    -4.41127    -4.35872  0.00674194
          89    -4.30687    -4.35814  0.00669132
          90    -4.32508    -4.35777  0.00662704
          91    -4.40741    -4.35831  0.00657663
          92    -4.36285    -4.35836  0.00650533
          93     -4.3246      -4.358  0.00644551
          94    -4.38199    -4.35826  0.00638199
          95    -4.33501    -4.35801   0.0063195
          96    -4.36343    -4.35807  0.00625392
          97    -4.31446    -4.35762  0.00620559
          98    -4.33751    -4.35741  0.00614565
          99    -4.36425    -4.35748  0.00608396
         100    -4.37154    -4.35762  0.00602475
         101     -4.3446    -4.35749  0.00596648
         102    -4.36128    -4.35753   0.0059081
         103    -4.39546     -4.3579   0.0058622
         104    -4.39243    -4.35823  0.00581523
         105    -4.39888    -4.35862  0.00577272
         106    -4.32259    -4.35828  0.00572826
         107    -4.33647    -4.35807  0.00567835
         108    -4.39399    -4.35841   0.0056355
         109    -4.37768    -4.35858  0.00558658
         110     -4.3018    -4.35807  0.00555959
         111    -4.33448    -4.35786  0.00551356
         112    -4.31252    -4.35745  0.00547917
         113      -4.356    -4.35744   0.0054307
         114    -4.42189      -4.358  0.00541241
         115    -4.32953    -4.35776    0.005371
         116    -4.41699    -4.35827  0.00534892
         117    -4.41433    -4.35875  0.00532463
         118    -4.37955    -4.35892  0.00528242
         119     -4.3684      -4.359  0.00523863
         120    -4.33622    -4.35881  0.00519841
         121    -4.38979    -4.35907  0.00516175
         122    -4.38591    -4.35929  0.00512413
         123    -4.39357    -4.35957  0.00509004
         124    -4.38348    -4.35976  0.00505265
         125     -4.2895     -4.3592   0.0050434
         126    -4.30867     -4.3588  0.00501929
         127    -4.28474    -4.35821  0.00501352
         128    -4.27018    -4.35752  0.00502131
         129    -4.42388    -4.35804  0.00500866
         130     -4.3554    -4.35802  0.00497017
         131     -4.4438    -4.35867  0.00497518
         132    -4.35015    -4.35861  0.00493791
         133    -4.33874    -4.35846  0.00490304
         134    -4.36898    -4.35854  0.00486708
         135    -4.39549    -4.35881  0.00483872
         136    -4.34768    -4.35873  0.00480384
         137    -4.34452    -4.35863  0.00476989
         138     -4.2115    -4.35756  0.00485301
         139    -4.37068    -4.35765  0.00481902
         140    -4.41944     -4.3581  0.00480476
         141    -4.37504    -4.35822  0.00477219
         142    -4.33838    -4.35808  0.00474063
         143    -4.33389    -4.35791  0.00471049
         144    -4.27124    -4.35731  0.00471608
         145    -4.29262    -4.35686   0.0047046
         146     -4.3846    -4.35705  0.00467621
         147    -4.32599    -4.35684  0.00464918
         148    -4.35537    -4.35683  0.00461777
         149    -4.35819    -4.35684  0.00458679
         150    -4.38252    -4.35701  0.00455941
         151    -4.37448    -4.35712  0.00453068
         152    -4.30878    -4.35681  0.00451203
         153    -4.39444    -4.35705  0.00448923
         154    -4.32964    -4.35687  0.00446361
         155    -4.35372    -4.35685  0.00443486
         156    -4.38192    -4.35701  0.00440934
         157     -4.2857    -4.35656  0.00440459
         158    -4.36807    -4.35663  0.00437732
         159     -4.2844    -4.35618   0.0043733
         160    -4.35327    -4.35616    0.004346
         161    -4.39101    -4.35638   0.0043244
         162    -4.37569     -4.3565  0.00429935
         163    -4.35347    -4.35648  0.00427301
         164    -4.34253    -4.35639   0.0042478
         165     -4.3495    -4.35635  0.00422226
         166    -4.42044    -4.35674  0.00421444
         167    -4.33756    -4.35662  0.00419077
         168    -4.38433    -4.35679  0.00416907
         169    -4.43453    -4.35725   0.0041697
         170    -4.39706    -4.35748  0.00415175
         171    -4.34157    -4.35739  0.00412851
         172    -4.31572    -4.35715  0.00411161
         173     -4.4591    -4.35774  0.00412987
         174    -4.41084    -4.35804  0.00411739
         175    -4.41506    -4.35837  0.00410673
         176    -4.29503    -4.35801  0.00409914
         177    -4.34157    -4.35791  0.00407703
         178    -4.28657    -4.35751  0.00407378
         179    -4.27795    -4.35707   0.0040752
         180    -4.30757    -4.35679  0.00406183
         181    -4.26239    -4.35627  0.00407273
         182    -4.24595    -4.35567  0.00409521
         183    -4.35889    -4.35568  0.00407287
         184     -4.3274    -4.35553  0.00405363
         185    -4.33183     -4.3554  0.00403375
         186    -4.35805    -4.35542  0.00401208
         187    -4.34347    -4.35535  0.00399114
         188    -4.39687    -4.35557  0.00397601
         189    -4.35799    -4.35559    0.003955
         190    -4.28651    -4.35522  0.00395085
         191    -4.32007    -4.35504  0.00393445
         192    -4.37888    -4.35516  0.00391592
         193    -4.29729    -4.35486  0.00390709
         194     -4.4366    -4.35528  0.00390961
         195    -4.37628    -4.35539  0.00389104
         196    -4.47398      -4.356  0.00391795
         197    -4.28581    -4.35564  0.00391423
         198    -4.34641    -4.35559  0.00389474
         199    -4.31636     -4.3554  0.00388015
         200    -4.32426    -4.35524  0.00386387
