#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.84435     2.84435           0
           2     4.43757     3.64096     0.56329
           3     3.96331     3.74841    0.385638
           4     4.13764     3.84572    0.301255
           5     4.01658     3.87989    0.242935
           6     4.06308     3.91042    0.204355
           7     4.24058     3.95759    0.180523
           8     4.35829     4.00768     0.16476
           9     3.96782     4.00325    0.146513
          10     4.25722     4.02864    0.134045
          11     4.43212     4.06532    0.126778
          12     4.58964     4.10902    0.123513
          13      4.2326     4.11852    0.114377
          14     4.38515     4.13757    0.107781
          15     4.03163     4.13051    0.100827
          16     4.29805     4.14098   0.0950677
          17     4.03478     4.13473   0.0896805
          18     4.18574     4.13756    0.084743
          19     3.60772     4.10968    0.084747
          20     4.41699     4.12504   0.0818908
          21     4.36522     4.13648   0.0787859
          22     4.46878     4.15159   0.0766389
          23     4.33464     4.15954   0.0737189
          24     4.17541     4.16021   0.0706503
          25      4.3401      4.1674   0.0681897
          26     4.23272     4.16991   0.0656133
          27     4.83277     4.19446   0.0676203
          28     4.01092     4.18791   0.0655223
          29     4.36271     4.19394   0.0635395
          30     3.88186     4.18353   0.0622673
          31     4.47064      4.1928   0.0609435
          32     4.10885     4.19017   0.0590955
          33     4.54612     4.20096   0.0582808
          34     4.02556      4.1958   0.0567945
          35     4.97505     4.21806   0.0593756
          36     4.41414     4.22351   0.0579756
          37     4.17122      4.2221   0.0564259
          38     4.35303     4.22554   0.0550461
          39     3.66167     4.21108    0.055501
          40     4.16309     4.20988   0.0541265
          41     3.97487     4.20415   0.0531089
          42     4.56659     4.21278   0.0525409
          43     4.66646     4.22333   0.0523676
          44     3.75314     4.21265   0.0522564
          45     3.83851     4.20433   0.0517523
          46     4.48332      4.2104   0.0509814
          47      4.2593     4.21144   0.0499073
          48     4.16665      4.2105   0.0488763
          49     4.55584     4.21755   0.0483843
          50     4.50294     4.22326   0.0477521
          51     4.26872     4.22415   0.0468241
          52     4.29063     4.22543   0.0459411
          53       3.964      4.2205   0.0453383
          54     4.66537     4.22874    0.045241
          55     3.99042      4.2244   0.0446255
          56     4.45677     4.22855   0.0440211
          57     4.05865     4.22557   0.0433496
          58     4.77575     4.23506   0.0436277
          59     4.11361       4.233   0.0429368
          60     3.81162     4.22598   0.0427917
          61     4.09575     4.22384   0.0421434
          62     4.27535     4.22467   0.0414718
          63     4.30142     4.22589   0.0408314
          64     4.11365     4.22414   0.0402311
          65     4.23633     4.22432   0.0396126
          66     3.74646     4.21708   0.0396686
          67     4.07246     4.21493   0.0391352
          68     4.39799     4.21762   0.0386521
          69      4.4048     4.22033   0.0381871
          70     4.09982     4.21861   0.0376803
          71     4.06439     4.21644   0.0372122
          72     3.98169     4.21318   0.0368379
          73     3.86244     4.20837   0.0366452
          74     4.31677     4.20984   0.0361793
          75     4.04486     4.20764   0.0357637
          76     4.40051     4.21017   0.0353831
          77     4.44762     4.21326   0.0350576
          78     4.53309     4.21736   0.0348472
          79     3.48813     4.20813   0.0356076
          80      3.7655     4.20259   0.0355898
          81     4.19908     4.20255   0.0351505
          82     3.80093     4.19765   0.0350614
          83     4.27987     4.19864   0.0346529
          84     3.91343     4.19525   0.0344063
          85     4.06786     4.19375   0.0340342
          86     4.52199     4.19757   0.0338518
          87     4.28596     4.19858   0.0334779
          88     3.88633     4.19503    0.033285
          89     4.44347     4.19783   0.0330279
          90     4.38762     4.19993   0.0327281
          91     4.13281      4.1992   0.0323768
          92     4.19815     4.19919   0.0320249
          93     4.43242     4.20169   0.0317786
          94     4.08845     4.20049   0.0314633
          95     4.24655     4.20097   0.0311359
          96     4.25578     4.20154   0.0308168
          97     4.34842     4.20306   0.0305362
          98     4.33868     4.20444    0.030256
          99      4.1767     4.20416   0.0299517
         100     4.26493     4.20477   0.0296583
         101     4.27878      4.2055   0.0293737
         102     4.20896     4.20554   0.0290858
         103     4.01164     4.20365   0.0288642
         104     4.01902     4.20188   0.0286412
         105     4.06766      4.2006    0.028397
         106     4.36665     4.20217   0.0281723
         107     4.46839     4.20466   0.0280186
         108     4.07437     4.20345   0.0277851
         109     4.00505     4.20163   0.0275898
         110     4.49109     4.20426   0.0274642
         111     4.30959     4.20521   0.0272331
         112     4.44658     4.20736   0.0270751
         113     4.25776     4.20781   0.0268392
         114     4.01541     4.20612   0.0266568
         115     4.38058     4.20764   0.0264681
         116     3.91129     4.20508   0.0263629
         117     3.99791     4.20331    0.026197
         118     4.12914     4.20269   0.0259825
         119     4.17045     4.20241   0.0257656
         120     4.37689     4.20387   0.0255919
         121     4.11534     4.20314   0.0253909
         122     4.09353     4.20224   0.0251986
         123     3.99064     4.20052   0.0250524
         124     4.11665     4.19984   0.0248595
         125     4.52543     4.20245   0.0247967
         126     4.48697      4.2047   0.0247025
         127     4.49733     4.20701   0.0246152
         128     4.55461     4.20972   0.0245723
         129     3.82179     4.20672   0.0245651
         130     4.26198     4.20714   0.0243798
         131     3.85319     4.20444    0.024343
         132     4.22593      4.2046   0.0241591
         133     4.34102     4.20563   0.0239992
         134     4.21293     4.20568   0.0238202
         135     4.04535      4.2045   0.0236733
         136      4.3685      4.2057   0.0235299
         137     4.30108      4.2064   0.0233685
         138      4.9841     4.21203    0.023869
         139     4.10225     4.21124   0.0237104
         140     3.78016     4.20816   0.0237401
         141      3.9993     4.20668   0.0236179
         142     4.32769     4.20753   0.0234669
         143     4.34504      4.2085   0.0233225
         144       4.558     4.21092   0.0232865
         145     4.51245       4.213   0.0232186
         146     4.03947     4.21181   0.0230899
         147     4.37495     4.21292   0.0229595
         148     4.23928      4.2131   0.0228051
         149     4.30298     4.21371     0.02266
         150     4.14676     4.21326   0.0225133
         151     4.12817      4.2127   0.0223713
         152     4.40644     4.21397   0.0222604
         153     4.03176     4.21278   0.0221467
         154     4.36759     4.21378   0.0220257
         155     4.24361     4.21398   0.0218845
         156     4.12622     4.21341   0.0217514
         157     4.59553     4.21585   0.0217486
         158     4.09413     4.21508   0.0216246
         159     4.55211      4.2172   0.0215922
         160     4.23393      4.2173   0.0214575
         161     4.05933     4.21632   0.0213467
         162     4.08042     4.21548   0.0212314
         163     4.21448     4.21548   0.0211011
         164     4.24084     4.21563    0.020973
         165     4.26801     4.21595   0.0208483
         166     3.78664     4.21336   0.0208825
         167      4.2498     4.21358   0.0207586
         168     4.03163      4.2125   0.0206633
         169     3.89084     4.21059   0.0206285
         170     4.08482     4.20985   0.0205204
         171       4.373     4.21081   0.0204226
         172     4.38551     4.21182   0.0203291
         173     3.75309     4.20917   0.0203838
         174     3.87675     4.20726    0.020356
         175     3.91024     4.20556   0.0203103
         176     4.43121     4.20685   0.0202353
         177     4.30685     4.20741   0.0201289
         178     4.59882     4.20961   0.0201355
         179     4.56152     4.21158   0.0201188
         180     4.43561     4.21282   0.0200455
         181     4.62051     4.21507   0.0200609
         182     4.82338     4.21842   0.0202272
         183     4.06217     4.21756   0.0201347
         184     4.28773     4.21794   0.0200288
         185     4.28681     4.21832    0.019924
         186     4.20479     4.21824    0.019817
         187     4.29069     4.21863   0.0197149
         188     4.03368     4.21765   0.0196345
         189     4.19039      4.2175   0.0195312
         190     4.47706     4.21887   0.0194761
         191     4.32242     4.21941   0.0193817
         192     4.04781     4.21852   0.0193013
         193     4.52772     4.22012   0.0192677
         194     3.78006     4.21785   0.0193014
         195     4.07993     4.21714   0.0192154
         196     3.70214     4.21452   0.0192962
         197     4.51155     4.21602    0.019257
         198     4.20855     4.21599   0.0191598
         199     4.42593     4.21704   0.0190926
         200     4.47806     4.21835   0.0190416
