#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.05619    -5.05619           0
           2     -4.7611    -4.90865    0.104331
           3    -4.84321    -4.88683   0.0717981
           4     -4.8155      -4.869   0.0560196
           5    -4.82453    -4.86011   0.0455162
           6    -4.81181    -4.85206   0.0386353
           7    -4.77271    -4.84072   0.0347392
           8    -4.75247    -4.82969   0.0321008
           9    -4.83059    -4.82979   0.0285342
          10    -4.77961    -4.82477   0.0261182
          11    -4.71919    -4.81517   0.0254466
          12    -4.68765    -4.80455   0.0254487
          13    -4.78424    -4.80298    0.023539
          14    -4.74138    -4.79858   0.0222651
          15     -4.8334     -4.8009   0.0209014
          16    -4.77102    -4.79904   0.0196784
          17    -4.81411    -4.79992   0.0185408
          18    -4.78684     -4.7992    0.017525
          19    -4.90252    -4.80464    0.017426
          20    -4.74048    -4.80143   0.0168473
          21    -4.74923    -4.79894   0.0162274
          22    -4.72945    -4.79578   0.0157942
          23    -4.74358    -4.79351   0.0152697
          24    -4.76617    -4.79237   0.0146759
          25    -4.74895    -4.79064   0.0141913
          26    -4.76789    -4.78976   0.0136724
          27    -4.66488    -4.78514   0.0139264
          28    -4.82981    -4.78673   0.0135201
          29    -4.76069    -4.78583   0.0130837
          30    -4.85197    -4.78804    0.012832
          31    -4.72513    -4.78601   0.0125775
          32    -4.80499     -4.7866   0.0121984
          33    -4.73699     -4.7851    0.011921
          34    -4.81173    -4.78588   0.0115961
          35    -4.63147    -4.78147   0.0120749
          36    -4.74602    -4.78049   0.0117796
          37    -4.81526    -4.78143   0.0114987
          38    -4.75941    -4.78085   0.0112107
          39    -4.91168     -4.7842   0.0114141
          40    -4.79935    -4.78458   0.0111351
          41    -4.84065    -4.78595   0.0109471
          42    -4.70057    -4.78392   0.0108736
          43    -4.72539    -4.78255   0.0107056
          44    -4.88033    -4.78478   0.0106904
          45    -4.86106    -4.78647   0.0105864
          46    -4.72268    -4.78508   0.0104467
          47    -4.79811    -4.78536   0.0102281
          48    -4.78829    -4.78542   0.0100152
          49    -4.70182    -4.78372  0.00995506
          50    -4.72785     -4.7826  0.00981848
          51    -4.77898    -4.78253  0.00962621
          52    -4.76027     -4.7821  0.00945061
          53    -4.82308    -4.78287  0.00930387
          54     -4.6965    -4.78127  0.00926805
          55    -4.80887    -4.78178  0.00911311
          56    -4.73488    -4.78094  0.00898876
          57     -4.8095    -4.78144  0.00884502
          58     -4.6805     -4.7797  0.00886209
          59    -4.81705    -4.78033  0.00873448
          60    -4.85986    -4.78166   0.0086889
          61    -4.82696     -4.7824  0.00857814
          62    -4.78501    -4.78244  0.00843989
          63    -4.77996     -4.7824  0.00830601
          64     -4.8005    -4.78269  0.00818104
          65     -4.7645    -4.78241  0.00805997
          66    -4.87211    -4.78376  0.00805163
          67    -4.80909    -4.78414  0.00794032
          68     -4.7473     -4.7836  0.00784202
          69    -4.74603    -4.78306  0.00774725
          70    -4.81714    -4.78354  0.00765186
          71    -4.79081    -4.78365  0.00754477
          72    -4.82513    -4.78422  0.00746195
          73    -4.85132    -4.78514  0.00741613
          74    -4.76773    -4.78491  0.00731964
          75    -4.81423     -4.7853  0.00723248
          76    -4.73843    -4.78468  0.00716356
          77    -4.73875    -4.78408  0.00709531
          78    -4.71686    -4.78322   0.0070565
          79    -4.93639    -4.78516  0.00722862
          80     -4.8697    -4.78622  0.00721509
          81     -4.7774    -4.78611  0.00712684
          82    -4.85786    -4.78698  0.00709344
          83     -4.7695    -4.78677  0.00701111
          84    -4.84261    -4.78744  0.00695907
          85    -4.80958     -4.7877  0.00688208
          86    -4.70793    -4.78677  0.00686427
          87    -4.75987    -4.78646  0.00679232
          88    -4.83962    -4.78707  0.00674194
          89    -4.73522    -4.78648  0.00669132
          90    -4.75342    -4.78612  0.00662704
          91    -4.83576    -4.78666  0.00657663
          92     -4.7912    -4.78671  0.00650533
          93    -4.75295    -4.78635  0.00644551
          94    -4.81033     -4.7866  0.00638199
          95    -4.76336    -4.78636   0.0063195
          96    -4.79177    -4.78641  0.00625392
          97     -4.7428    -4.78596  0.00620559
          98    -4.76586    -4.78576  0.00614565
          99     -4.7926    -4.78583  0.00608396
         100    -4.79989    -4.78597  0.00602475
         101    -4.77295    -4.78584  0.00596648
         102    -4.78963    -4.78588   0.0059081
         103     -4.8238    -4.78625   0.0058622
         104    -4.82078    -4.78658  0.00581523
         105    -4.82723    -4.78696  0.00577272
         106    -4.75093    -4.78662  0.00572826
         107    -4.76481    -4.78642  0.00567835
         108    -4.82233    -4.78675   0.0056355
         109    -4.80603    -4.78693  0.00558658
         110    -4.73014    -4.78641  0.00555959
         111    -4.76282     -4.7862  0.00551356
         112    -4.74087     -4.7858  0.00547917
         113    -4.78435    -4.78578   0.0054307
         114    -4.85023    -4.78635  0.00541241
         115    -4.75787     -4.7861    0.005371
         116    -4.84534    -4.78661  0.00534892
         117    -4.84267    -4.78709  0.00532463
         118     -4.8079    -4.78727  0.00528242
         119    -4.79674    -4.78735  0.00523863
         120    -4.76457    -4.78716  0.00519841
         121    -4.81813    -4.78741  0.00516175
         122    -4.81425    -4.78763  0.00512413
         123    -4.82192    -4.78791  0.00509004
         124    -4.81183    -4.78811  0.00505265
         125    -4.71784    -4.78754   0.0050434
         126    -4.73702    -4.78714  0.00501929
         127    -4.71309    -4.78656  0.00501352
         128    -4.69852    -4.78587  0.00502131
         129    -4.85223    -4.78639  0.00500866
         130    -4.78374    -4.78637  0.00497017
         131    -4.87215    -4.78702  0.00497518
         132    -4.77849    -4.78696  0.00493791
         133    -4.76709    -4.78681  0.00490304
         134    -4.79733    -4.78688  0.00486708
         135    -4.82384    -4.78716  0.00483872
         136    -4.77602    -4.78708  0.00480384
         137    -4.77286    -4.78697  0.00476989
         138    -4.63985    -4.78591  0.00485301
         139    -4.79902      -4.786  0.00481902
         140    -4.84779    -4.78644  0.00480476
         141    -4.80339    -4.78656  0.00477219
         142    -4.76672    -4.78642  0.00474063
         143    -4.76224    -4.78625  0.00471049
         144    -4.69958    -4.78565  0.00471608
         145    -4.72097    -4.78521   0.0047046
         146    -4.81294     -4.7854  0.00467621
         147    -4.75433    -4.78518  0.00464918
         148    -4.78372    -4.78517  0.00461777
         149    -4.78654    -4.78518  0.00458679
         150    -4.81087    -4.78535  0.00455941
         151    -4.80283    -4.78547  0.00453068
         152    -4.73712    -4.78515  0.00451203
         153    -4.82278     -4.7854  0.00448923
         154    -4.75799    -4.78522  0.00446361
         155    -4.78207     -4.7852  0.00443486
         156    -4.81027    -4.78536  0.00440934
         157    -4.71404    -4.78491  0.00440459
         158    -4.79642    -4.78498  0.00437732
         159    -4.71274    -4.78453   0.0043733
         160    -4.78161    -4.78451    0.004346
         161    -4.81935    -4.78472   0.0043244
         162    -4.80403    -4.78484  0.00429935
         163    -4.78181    -4.78482  0.00427301
         164    -4.77088    -4.78474   0.0042478
         165    -4.77784     -4.7847  0.00422226
         166    -4.84879    -4.78508  0.00421444
         167    -4.76591    -4.78497  0.00419077
         168    -4.81268    -4.78513  0.00416907
         169    -4.86288    -4.78559   0.0041697
         170    -4.82541    -4.78583  0.00415175
         171    -4.76992    -4.78573  0.00412851
         172    -4.74406    -4.78549  0.00411161
         173    -4.88745    -4.78608  0.00412987
         174    -4.83918    -4.78639  0.00411739
         175    -4.84341    -4.78671  0.00410673
         176    -4.72338    -4.78635  0.00409914
         177    -4.76992    -4.78626  0.00407703
         178    -4.71492    -4.78586  0.00407378
         179    -4.70629    -4.78541   0.0040752
         180    -4.73591    -4.78514  0.00406183
         181    -4.69074    -4.78462  0.00407273
         182     -4.6743    -4.78401  0.00409521
         183    -4.78724    -4.78403  0.00407287
         184    -4.75575    -4.78388  0.00405363
         185    -4.76017    -4.78375  0.00403375
         186     -4.7864    -4.78376  0.00401208
         187    -4.77182     -4.7837  0.00399114
         188    -4.82522    -4.78392  0.00397601
         189    -4.78634    -4.78393    0.003955
         190    -4.71486    -4.78357  0.00395085
         191    -4.74841    -4.78338  0.00393445
         192    -4.80723    -4.78351  0.00391592
         193    -4.72564    -4.78321  0.00390709
         194    -4.86495    -4.78363  0.00390961
         195    -4.80462    -4.78374  0.00389104
         196    -4.90233    -4.78434  0.00391795
         197    -4.71416    -4.78399  0.00391423
         198    -4.77476    -4.78394  0.00389474
         199    -4.74471    -4.78374  0.00388015
         200     -4.7526    -4.78359  0.00386387
