#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.15993     2.15993           0
           2     3.75315     2.95654     0.56329
           3     3.27889     3.06399    0.385638
           4     3.45322      3.1613    0.301255
           5     3.33216     3.19547    0.242935
           6     3.37867       3.226    0.204355
           7     3.55617     3.27317    0.180523
           8     3.67388     3.32326     0.16476
           9      3.2834     3.31883    0.146513
          10     3.57281     3.34423    0.134045
          11      3.7477     3.38091    0.126778
          12     3.90522      3.4246    0.123513
          13     3.54819     3.43411    0.114377
          14     3.70074     3.45315    0.107781
          15     3.34721     3.44609    0.100827
          16     3.61363     3.45656   0.0950677
          17     3.35036     3.45031   0.0896805
          18     3.50132     3.45315    0.084743
          19     2.92331     3.42526    0.084747
          20     3.73257     3.44063   0.0818908
          21     3.68081     3.45206   0.0787859
          22     3.78437     3.46717   0.0766389
          23     3.65023     3.47513   0.0737189
          24     3.49099     3.47579   0.0706503
          25     3.65568     3.48298   0.0681897
          26      3.5483      3.4855   0.0656133
          27     4.14835     3.51005   0.0676203
          28      3.3265     3.50349   0.0655223
          29     3.67829     3.50952   0.0635395
          30     3.19744     3.49912   0.0622673
          31     3.78622     3.50838   0.0609435
          32     3.42443     3.50575   0.0590955
          33      3.8617     3.51654   0.0582808
          34     3.34114     3.51138   0.0567945
          35     4.29063     3.53365   0.0593756
          36     3.72972     3.53909   0.0579756
          37      3.4868     3.53768   0.0564259
          38     3.66861     3.54113   0.0550461
          39     2.97725     3.52667    0.055501
          40     3.47868     3.52547   0.0541265
          41     3.29045     3.51974   0.0531089
          42     3.88218     3.52836   0.0525409
          43     3.98205     3.53892   0.0523676
          44     3.06872     3.52823   0.0522564
          45     3.15409     3.51991   0.0517523
          46      3.7989     3.52598   0.0509814
          47     3.57488     3.52702   0.0499073
          48     3.48224     3.52609   0.0488763
          49     3.87143     3.53314   0.0483843
          50     3.81852     3.53884   0.0477521
          51     3.58431     3.53973   0.0468241
          52     3.60621     3.54101   0.0459411
          53     3.27958     3.53608   0.0453383
          54     3.98096     3.54432    0.045241
          55       3.306     3.53999   0.0446255
          56     3.77235     3.54413   0.0440211
          57     3.37424     3.54115   0.0433496
          58     4.09133     3.55064   0.0436277
          59     3.42919     3.54858   0.0429368
          60      3.1272     3.54156   0.0427917
          61     3.41133     3.53942   0.0421434
          62     3.59094     3.54025   0.0414718
          63       3.617     3.54147   0.0408314
          64     3.42923     3.53972   0.0402311
          65     3.55191     3.53991   0.0396126
          66     3.06205     3.53267   0.0396686
          67     3.38804     3.53051   0.0391352
          68     3.71357      3.5332   0.0386521
          69     3.72038     3.53591   0.0381871
          70      3.4154     3.53419   0.0376803
          71     3.37997     3.53202   0.0372122
          72     3.29728     3.52876   0.0368379
          73     3.17802     3.52395   0.0366452
          74     3.63235     3.52542   0.0361793
          75     3.36045     3.52322   0.0357637
          76     3.71609     3.52576   0.0353831
          77      3.7632     3.52884   0.0350576
          78     3.84867     3.53294   0.0348472
          79     2.80371     3.52371   0.0356076
          80     3.08108     3.51818   0.0355898
          81     3.51467     3.51813   0.0351505
          82     3.11651     3.51324   0.0350614
          83     3.59545     3.51423   0.0346529
          84     3.22901     3.51083   0.0344063
          85     3.38344     3.50933   0.0340342
          86     3.83757     3.51315   0.0338518
          87     3.60154     3.51417   0.0334779
          88     3.20191     3.51062    0.033285
          89     3.75905     3.51341   0.0330279
          90      3.7032     3.51552   0.0327281
          91     3.44839     3.51478   0.0323768
          92     3.51373     3.51477   0.0320249
          93       3.748     3.51728   0.0317786
          94     3.40403     3.51607   0.0314633
          95     3.56213     3.51656   0.0311359
          96     3.57137     3.51713   0.0308168
          97       3.664     3.51864   0.0305362
          98     3.65426     3.52003    0.030256
          99     3.49228     3.51974   0.0299517
         100     3.58051     3.52035   0.0296583
         101     3.59436     3.52109   0.0293737
         102     3.52454     3.52112   0.0290858
         103     3.32722     3.51924   0.0288642
         104      3.3346     3.51746   0.0286412
         105     3.38325     3.51618    0.028397
         106     3.68224     3.51775   0.0281723
         107     3.78398     3.52024   0.0280186
         108     3.38995     3.51903   0.0277851
         109     3.32063     3.51721   0.0275898
         110     3.80667     3.51984   0.0274642
         111     3.62517     3.52079   0.0272331
         112     3.76217     3.52295   0.0270751
         113     3.57335     3.52339   0.0268392
         114       3.331      3.5217   0.0266568
         115     3.69616     3.52322   0.0264681
         116     3.22687     3.52067   0.0263629
         117     3.31349      3.5189    0.026197
         118     3.44473     3.51827   0.0259825
         119     3.48603       3.518   0.0257656
         120     3.69248     3.51945   0.0255919
         121     3.43092     3.51872   0.0253909
         122     3.40911     3.51782   0.0251986
         123     3.30623      3.5161   0.0250524
         124     3.43223     3.51542   0.0248595
         125     3.84101     3.51803   0.0247967
         126     3.80255     3.52029   0.0247025
         127     3.81291     3.52259   0.0246152
         128     3.87019     3.52531   0.0245723
         129     3.13738      3.5223   0.0245651
         130     3.57756     3.52272   0.0243798
         131     3.16877     3.52002    0.024343
         132     3.54151     3.52019   0.0241591
         133      3.6566     3.52121   0.0239992
         134     3.52851     3.52127   0.0238202
         135     3.36094     3.52008   0.0236733
         136     3.68408     3.52128   0.0235299
         137     3.61667     3.52198   0.0233685
         138     4.29968     3.52762    0.023869
         139     3.41784     3.52683   0.0237104
         140     3.09575     3.52375   0.0237401
         141     3.31488     3.52227   0.0236179
         142     3.64327     3.52312   0.0234669
         143     3.66062     3.52408   0.0233225
         144     3.87358     3.52651   0.0232865
         145     3.82803     3.52859   0.0232186
         146     3.35505      3.5274   0.0230899
         147     3.69053     3.52851   0.0229595
         148     3.55486     3.52868   0.0228051
         149     3.61856     3.52929     0.02266
         150     3.46234     3.52884   0.0225133
         151     3.44376     3.52828   0.0223713
         152     3.72203     3.52955   0.0222604
