#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -5.5879     -5.5879           0
           2    -5.47404    -5.53097   0.0402587
           3    -5.50267    -5.52154   0.0279224
           4    -5.46993    -5.50864   0.0237358
           5    -5.42704    -5.49232   0.0239504
           6    -5.42782    -5.48157   0.0222405
           7    -5.44782    -5.47675   0.0195787
           8    -5.46325    -5.47506   0.0172039
           9    -5.46625    -5.47408   0.0153202
          10    -5.49871    -5.47654   0.0139847
          11    -5.47985    -5.47684   0.0127166
          12    -5.48425    -5.47746   0.0116719
          13    -5.48651    -5.47816   0.0107948
          14    -5.44849    -5.47604   0.0102296
          15    -5.49468    -5.47728  0.00962276
          16    -5.48077     -5.4775  0.00902382
          17      -5.454    -5.47612  0.00859826
          18    -5.47692    -5.47616  0.00812069
          19    -5.44563    -5.47456  0.00785062
          20    -5.46467    -5.47406  0.00747362
          21    -5.43524    -5.47221  0.00734279
          22    -5.47778    -5.47247  0.00701339
          23    -5.47397    -5.47253  0.00670877
          24    -5.52041    -5.47453  0.00671927
          25    -5.46088    -5.47398  0.00647263
          26    -5.52909     -5.4761  0.00656158
          27    -5.43698    -5.47465  0.00647657
          28    -5.50305    -5.47567   0.0063242
          29    -5.51648    -5.47707  0.00626076
          30     -5.4451    -5.47601   0.0061421
          31    -5.41618    -5.47408   0.0062398
          32    -5.49529    -5.47474  0.00607992
          33    -5.47218    -5.47466  0.00589618
          34    -5.46114    -5.47426  0.00573617
          35    -5.45951    -5.47384  0.00558775
          36    -5.45377    -5.47328  0.00546029
          37    -5.50584    -5.47416  0.00538314
          38    -5.47894    -5.47429  0.00524294
          39     -5.4921    -5.47475  0.00512836
          40    -5.43327    -5.47371  0.00510389
          41    -5.47171    -5.47366  0.00497964
          42    -5.43562    -5.47276  0.00494277
          43    -5.50649    -5.47354  0.00488968
          44    -5.48245    -5.47374  0.00478273
          45    -5.46949    -5.47365  0.00467739
          46    -5.47016    -5.47357  0.00457632
          47    -5.44992    -5.47307  0.00450654
          48    -5.44161    -5.47241  0.00446005
          49    -5.42581    -5.47146  0.00446928
          50    -5.36627    -5.46936  0.00484984
          51    -5.41659    -5.46832  0.00486388
          52      -5.484    -5.46863  0.00477968
          53    -5.47407    -5.46873  0.00469061
          54     -5.4619     -5.4686  0.00460544
          55    -5.51737    -5.46949  0.00460629
          56    -5.50719    -5.47016  0.00457298
          57    -5.52422    -5.47111  0.00459004
          58    -5.43818    -5.47054  0.00454587
          59    -5.45877    -5.47034   0.0044732
          60    -5.47809    -5.47047  0.00440051
          61    -5.50462    -5.47103  0.00436383
          62    -5.45984    -5.47085  0.00429717
          63    -5.50265    -5.47136  0.00425851
