#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1261      1.1261           0
           2     1.11322     1.11966  0.00455412
           3     1.09699     1.11211  0.00687624
           4     1.09323     1.10739  0.00658018
           5      1.0895     1.10381  0.00616017
           6     1.10251     1.10359  0.00513727
           7     1.09126     1.10183  0.00469567
           8     1.08967     1.10031  0.00434798
           9     1.08787     1.09893  0.00407884
          10     1.08762      1.0978  0.00382442
          11     1.09499     1.09754  0.00348528
          12     1.08553     1.09654  0.00333553
          13     1.08048     1.09531  0.00329986
          14       1.104     1.09593    0.003122
          15     1.09868     1.09611  0.00291924
          16     1.09864     1.09627  0.00274105
          17     1.09921     1.09644  0.00258527
          18     1.08708     1.09592  0.00249343
          19       1.089     1.09556  0.00238868
          20     1.08026     1.09479  0.00238855
          21     1.09161     1.09464  0.00227962
          22     1.10085     1.09492  0.00219339
          23     1.09224     1.09481  0.00210113
          24     1.08945     1.09458  0.00202541
          25     1.09856     1.09474  0.00195063
          26     1.10345     1.09508  0.00190416
          27      1.0962     1.09512  0.00183409
          28     1.08985     1.09493  0.00177822
          29     1.08088     1.09444   0.0017817
          30     1.08161     1.09402  0.00177294
          31     1.11709     1.09476   0.0018654
          32     1.10692     1.09514  0.00184538
          33      1.0982     1.09523  0.00179179
          34     1.07541     1.09465  0.00183154
          35     1.10773     1.09502  0.00181694
          36     1.09542     1.09504   0.0017665
          37     1.10321     1.09526  0.00173251
          38      1.0832     1.09494  0.00171572
          39     1.08583     1.09471  0.00168754
          40     1.09133     1.09462  0.00164746
          41     1.09216     1.09456  0.00160836
          42     1.07458     1.09409  0.00163889
          43     1.09323     1.09407   0.0016009
          44     1.10823     1.09439  0.00159653
          45     1.09452     1.09439  0.00156106
          46     1.09477      1.0944  0.00152714
          47     1.09062     1.09432  0.00149677
          48     1.09223     1.09427  0.00146622
          49     1.09534      1.0943  0.00143646
          50     1.10109     1.09443  0.00141413
          51     1.08272      1.0942  0.00140493
          52     1.09319     1.09418  0.00137805
          53     1.09589     1.09422  0.00135242
          54     1.10636     1.09444  0.00134593
          55     1.06947     1.09399  0.00139593
          56     1.10288     1.09414  0.00138001
          57      1.0969     1.09419  0.00135665
          58      1.0857     1.09405  0.00134113
          59     1.09707      1.0941  0.00131937
