#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.8082     -3.8082           0
           2     -3.8083    -3.80825 3.32033e-05
           3    -3.80704    -3.80785 0.000330642
           4    -3.80811    -3.80791 0.000254635
           5    -3.80934     -3.8082 0.000326407
           6    -3.80821     -3.8082 0.000272011
           7    -3.80892     -3.8083 0.000251722
           8    -3.80842    -3.80832 0.000220645
           9    -3.80944    -3.80844 0.000228498
          10    -3.80642    -3.80824 0.000281075
          11    -3.80844    -3.80826 0.000256101
          12     -3.8081    -3.80824 0.000235091
          13    -3.80717    -3.80816 0.000231086
          14    -3.80913    -3.80823 0.000224734
          15    -3.80884    -3.80827 0.000213424
          16    -3.80877     -3.8083 0.000202299
          17     -3.8084    -3.80831 0.000190474
          18    -3.80839    -3.80831 0.000179941
          19    -3.80947    -3.80837 0.000180521
          20    -3.80721    -3.80832 0.000180599
          21    -3.80675    -3.80824 0.000186786
          22    -3.80827    -3.80824   0.0001783
          23    -3.80871    -3.80826 0.000171699
          24    -3.80727    -3.80822 0.000169464
          25    -3.80806    -3.80821 0.000162802
          26    -3.80836    -3.80822 0.000156637
          27    -3.80938    -3.80826 0.000156604
          28    -3.80897    -3.80829 0.000153005
          29    -3.80832    -3.80829 0.000147733
          30      -3.807    -3.80825 0.000148899
          31     -3.8087    -3.80826 0.000144802
          32    -3.80812    -3.80826 0.000140344
          33    -3.80898    -3.80828 0.000137806
          34    -3.80599    -3.80821  0.00014926
          35    -3.80757    -3.80819 0.000146104
          36    -3.80794    -3.80819 0.000142219
          37    -3.80759    -3.80817 0.000139279
          38      -3.809    -3.80819 0.000137316
          39     -3.8089    -3.80821    0.000135
          40     -3.8094    -3.80824 0.000134855
          41    -3.80848    -3.80825 0.000131693
          42    -3.80754    -3.80823 0.000129624
          43    -3.80819    -3.80823 0.000126613
          44     -3.8094    -3.80825 0.000126506
          45     -3.8075    -3.80824  0.00012481
          46    -3.80788    -3.80823 0.000122343
          47    -3.80877    -3.80824 0.000120274
          48    -3.80861    -3.80825 0.000118019
          49    -3.80707    -3.80823 0.000118053
          50    -3.80917    -3.80824 0.000117181
          51    -3.80672    -3.80821 0.000118629
          52    -3.80724     -3.8082 0.000117826
          53    -3.80893    -3.80821 0.000116406
          54    -3.80905    -3.80822 0.000115281
          55    -3.80635    -3.80819 0.000118092
          56    -3.80762    -3.80818  0.00011643
          57    -3.80771    -3.80817 0.000114676
          58    -3.80917    -3.80819  0.00011397
          59    -3.81057    -3.80823 0.000118988
          60    -3.80915    -3.80824 0.000117997
          61    -3.80832    -3.80825 0.000116069
          62    -3.80871    -3.80825 0.000114434
          63    -3.80741    -3.80824 0.000113407
          64    -3.80705    -3.80822 0.000113161
          65    -3.80891    -3.80823 0.000111909
          66    -3.80937    -3.80825 0.000111539
          67    -3.80911    -3.80826 0.000110615
          68    -3.80794    -3.80826 0.000109089
          69    -3.80881    -3.80827 0.000107805
          70    -3.80938    -3.80828 0.000107439
          71    -3.80967     -3.8083 0.000107693
          72    -3.80869    -3.80831 0.000106336
          73    -3.80914    -3.80832 0.000105493
          74    -3.80775    -3.80831 0.000104348
          75    -3.80813    -3.80831 0.000102983
          76    -3.80892    -3.80832 0.000101943
          77    -3.80816    -3.80831  0.00010064
          78    -3.80784    -3.80831 9.95342e-05
          79    -3.80779     -3.8083  9.8492e-05
          80    -3.81005    -3.80832  9.9663e-05
          81    -3.80859    -3.80833 9.84888e-05
          82    -3.80913    -3.80834 9.77689e-05
          83    -3.80881    -3.80834 9.67604e-05
          84    -3.80884    -3.80835 9.57916e-05
          85    -3.80987    -3.80837 9.63239e-05
          86     -3.8077    -3.80836 9.55169e-05
          87     -3.8087    -3.80836  9.4501e-05
          88    -3.80936    -3.80837 9.40995e-05
          89    -3.80802    -3.80837  9.3128e-05
          90    -3.80699    -3.80835  9.3348e-05
          91    -3.80803    -3.80835 9.23905e-05
          92    -3.80817    -3.80835 9.14081e-05
          93     -3.8084    -3.80835 9.04268e-05
          94    -3.80882    -3.80835 8.96009e-05
          95    -3.80914    -3.80836 8.90436e-05
          96    -3.80748    -3.80835 8.85871e-05
          97    -3.80869    -3.80836 8.77408e-05
          98    -3.80749    -3.80835 8.72909e-05
          99    -3.80861    -3.80835   8.645e-05
         100    -3.80769    -3.80834 8.58371e-05
         101    -3.80775    -3.80834 8.51872e-05
         102    -3.80865    -3.80834  8.4406e-05
         103    -3.80928    -3.80835 8.40822e-05
         104    -3.80893    -3.80836 8.34563e-05
         105    -3.80941    -3.80837 8.32651e-05
         106    -3.80833    -3.80837 8.24801e-05
         107    -3.80885    -3.80837 8.18326e-05
         108    -3.81024    -3.80839  8.2883e-05
         109    -3.80954     -3.8084 8.27904e-05
         110     -3.8075    -3.80839 8.24363e-05
         111    -3.80667    -3.80837 8.31423e-05
         112    -3.80778    -3.80837 8.25664e-05
         113    -3.80905    -3.80837 8.20554e-05
         114    -3.80637    -3.80836  8.3192e-05
         115    -3.80766    -3.80835 8.26874e-05
         116    -3.80871    -3.80835 8.20319e-05
         117    -3.80758    -3.80835 8.15958e-05
         118    -3.80878    -3.80835 8.09847e-05
         119    -3.80841    -3.80835 8.03056e-05
         120    -3.80809    -3.80835 7.96655e-05
         121    -3.80761    -3.80834 7.92382e-05
         122     -3.8082    -3.80834 7.85974e-05
         123    -3.80888    -3.80835  7.8081e-05
         124    -3.80763    -3.80834 7.76644e-05
         125     -3.8085    -3.80834 7.70533e-05
         126    -3.80957    -3.80835 7.70523e-05
         127    -3.80859    -3.80835  7.6468e-05
         128    -3.80851    -3.80836 7.58807e-05
         129    -3.80947    -3.80836 7.57793e-05
         130     -3.8078    -3.80836 7.53203e-05
         131     -3.8085    -3.80836 7.47526e-05
         132    -3.80886    -3.80836 7.42821e-05
         133    -3.80908    -3.80837 7.39167e-05
         134    -3.80824    -3.80837 7.33717e-05
         135    -3.80837    -3.80837 7.28282e-05
         136    -3.80933    -3.80838 7.26317e-05
         137    -3.80985    -3.80839 7.28942e-05
