# mu = 0.841978, sigma = -0.629806
BLOCK, ACTUAL_E, E_AVE, ERR
1, -0.401402, -0.401402, 0
2, -0.484425, -0.442913, 0
3, -0.474489, -0.453439, 0.16138
4, -0.45541, -0.453931, 0.124006
5, -0.439444, -0.451034, 0.0979254
6, -0.439339, -0.449085, 0.0805169
7, -0.461537, -0.450864, 0.0687276
8, -0.442691, -0.449842, 0.0595944
9, -0.441218, -0.448884, 0.0525634
10, -0.434041, -0.4474, 0.0469319
11, -0.448804, -0.447527, 0.0425081
12, -0.449821, -0.447718, 0.0388506
13, -0.479439, -0.450158, 0.0359592
14, -0.419875, -0.447995, 0.0331516
15, -0.432672, -0.446974, 0.0308032
16, -0.42882, -0.445839, 0.0287494
17, -0.462964, -0.446846, 0.0270727
18, -0.445718, -0.446784, 0.0255247
19, -0.495472, -0.449346, 0.0242928
20, -0.450057, -0.449382, 0.02305
21, -0.41652, -0.447817, 0.0218531
22, -0.423549, -0.446714, 0.0207874
23, -0.479889, -0.448156, 0.0199302
24, -0.417482, -0.446878, 0.0190298
25, -0.435618, -0.446428, 0.018235
26, -0.493053, -0.448221, 0.0175936
27, -0.478788, -0.449353, 0.0169736
28, -0.504717, -0.45133, 0.0164323
29, -0.462017, -0.451699, 0.0158683
30, -0.46044, -0.45199, 0.01534
31, -0.476616, -0.452785, 0.0148634
32, -0.49831, -0.454207, 0.0144385
33, -0.422808, -0.453256, 0.0139656
34, -0.447589, -0.453089, 0.0135434
35, -0.444219, -0.452836, 0.0131432
36, -0.493782, -0.453973, 0.012806
37, -0.488403, -0.454904, 0.0124812
38, -0.417472, -0.453919, 0.0121228
39, -0.455089, -0.453949, 0.0118083
40, -0.442404, -0.45366, 0.0115018
41, -0.281128, -0.449452, 0.0111337
42, -0.480111, -0.450182, 0.0108827
43, -0.473966, -0.450735, 0.0106392
44, -0.434922, -0.450376, 0.0103858
45, -0.459667, -0.450582, 0.0101564
46, -0.472831, -0.451066, 0.00994345
47, -0.447669, -0.450994, 0.00972747
48, -0.435995, -0.450681, 0.00951567
49, -0.418183, -0.450018, 0.0093058
50, -0.472938, -0.450476, 0.00912676
51, -0.483496, -0.451124, 0.0089588
52, -0.464111, -0.451373, 0.00878928
53, -0.43934, -0.451146, 0.00861717
54, -0.458523, -0.451283, 0.00845824
55, -0.446612, -0.451198, 0.0083011
56, -0.423707, -0.450707, 0.0081426
57, -0.478324, -0.451192, 0.00800694
58, -0.359108, -0.449604, 0.00784262
59, -0.418243, -0.449072, 0.00769944
60, -0.462393, -0.449294, 0.00757344
61, -0.4642, -0.449539, 0.007452
62, -0.440098, -0.449387, 0.00732805
63, -0.455104, -0.449477, 0.00721194
64, -0.459916, -0.44964, 0.00710065
65, -0.497081, -0.45037, 0.00700215
66, -0.402119, -0.449639, 0.00688443
67, -0.326091, -0.447795, 0.00675679
68, -0.414074, -0.447299, 0.00664931
69, -0.403116, -0.446659, 0.00654307
70, -0.439554, -0.446557, 0.00644716
71, -0.476371, -0.446977, 0.00636155
72, -0.476108, -0.447382, 0.00627811
73, -0.422959, -0.447047, 0.00618676
74, -0.407, -0.446506, 0.0060953
75, -0.433863, -0.446338, 0.006011
76, -0.431824, -0.446147, 0.00592865
77, -0.387908, -0.44539, 0.00584169
78, -0.285539, -0.443341, 0.00574447
79, -0.441786, -0.443321, 0.00567074
80, -0.433265, -0.443196, 0.00559757
81, -0.447056, -0.443243, 0.00552835
82, -0.35765, -0.442199, 0.00544873
83, -0.451928, -0.442317, 0.00538384
84, -0.396098, -0.441766, 0.00531288
85, -0.454821, -0.44192, 0.00525159
86, -0.442526, -0.441927, 0.00519
87, -0.428852, -0.441777, 0.00512805
88, -0.460459, -0.441989, 0.00507168
89, -0.467777, -0.442279, 0.0050175
90, -0.465857, -0.442541, 0.00496422
91, -0.485525, -0.443013, 0.0049146
92, -0.419776, -0.442761, 0.004858
93, -0.468699, -0.443039, 0.00480837
94, -0.465256, -0.443276, 0.00475933
95, -0.370461, -0.442509, 0.00470136
96, -0.468899, -0.442784, 0.00465489
97, -0.41362, -0.442484, 0.00460347
98, -0.467677, -0.442741, 0.00455877
99, -0.428547, -0.442597, 0.00451088
100, -0.459894, -0.44277, 0.00446714
101, -0.415586, -0.442501, 0.00441994
102, -0.449644, -0.442571, 0.00437692
103, -0.483648, -0.44297, 0.00433812
104, -0.410022, -0.442653, 0.00429311
105, -0.47654, -0.442976, 0.00425507
106, -0.458952, -0.443127, 0.00421603
107, -0.477104, -0.443444, 0.00417939
108, -0.384505, -0.442898, 0.00413564
109, -0.465957, -0.44311, 0.00409938
110, -0.444054, -0.443118, 0.00406188
111, -0.473853, -0.443395, 0.00402757
112, -0.434081, -0.443312, 0.00399058
113, -0.473768, -0.443582, 0.00395745
114, -0.453243, -0.443666, 0.00392321
115, -0.454283, -0.443759, 0.00388963
116, -0.434456, -0.443679, 0.00385515
117, -0.414996, -0.443433, 0.00381992
118, -0.496359, -0.443882, 0.00379132
119, -0.465657, -0.444065, 0.00376079
120, -0.471824, -0.444296, 0.0037312
121, -0.477112, -0.444567, 0.00370245
122, -0.443866, -0.444562, 0.00367182
123, -0.451716, -0.44462, 0.00364222
124, -0.427287, -0.44448, 0.00361152
125, -0.409864, -0.444203, 0.00358029
126, -0.481947, -0.444503, 0.00355414
127, -0.441404, -0.444478, 0.00352576
128, -0.457744, -0.444582, 0.00349883
129, -0.341625, -0.443784, 0.00346604
130, -0.478401, -0.44405, 0.00344131
131, -0.469935, -0.444248, 0.0034164
132, -0.446304, -0.444263, 0.00339044
133, -0.465, -0.444419, 0.00336597
134, -0.487353, -0.44474, 0.00334317
135, -0.477432, -0.444982, 0.00332009
136, -0.399958, -0.444651, 0.00329319
137, -0.465439, -0.444802, 0.00327011
138, -0.40974, -0.444548, 0.00324448
139, -0.418114, -0.444358, 0.00321965
140, -0.458405, -0.444459, 0.00319721
141, -0.448962, -0.44449, 0.00317461
142, -0.463442, -0.444624, 0.00315305
143, -0.46913, -0.444795, 0.00313208
144, -0.497495, -0.445161, 0.00311288
145, -0.480555, -0.445405, 0.00309301
146, -0.454866, -0.44547, 0.00307213
147, -0.36381, -0.444915, 0.00304766
148, -0.433085, -0.444835, 0.00302639
149, -0.373984, -0.444359, 0.003003
150, -0.420649, -0.444201, 0.00298182
