TEMP, STEP, MU, SIGMA, BLOCK, EN, ERR
4, 0, 1, 1, 300, 0.665731, 0.0125326
4, 1, 1.04826, 0.523315, 300, -0.129355, 0.000501204
4, 2, 0.639924, 0.907725, 300, -0.234198, 0.00102357
4, 3, 0.303125, 0.558476, 300, 0.19716, 0.000753966
4, 4, 0.303125, 0.558476, 300, 0.19716, 0.176656
4, 5, 0.292564, 0.978552, 300, -0.243, 0.000989821
4, 6, 0.678486, 1.01476, 300, -0.040764, 0.00116189
4, 7, 0.836978, 1.18002, 300, 0.862295, 0.00412751
4, 8, 0.946452, 1.20149, 300, 1.49326, 0.00695937
4, 9, 0.689229, 0.884217, 300, -0.231829, 0.00112971
4, 10, 0.733577, 0.584533, 300, -0.417569, 0.00139956
4, 11, 0.733577, 0.584533, 300, -0.417569, 0.00100669
4, 12, 0.781552, 0.614702, 300, -0.443953, 0.00148739
4, 13, 0.781552, 0.614702, 300, -0.443953, 0.000710169
4, 14, 0.313568, 0.827883, 300, -0.195342, 0.000729384
4, 15, 0.313568, 0.827883, 300, -0.195342, 0.00256966
4, 16, 0.313568, 0.827883, 300, -0.195342, 0.00529537
4, 17, 0.589246, 0.888662, 300, -0.258528, 0.00100225
4, 18, 0.993169, 0.637587, 300, -0.27775, 0.00100288
4, 19, 0.993169, 0.637587, 300, -0.27775, 0.00313732
4, 20, 1.04053, 0.518768, 300, -0.134541, 0.000503549
4, 21, 1.22415, 0.447099, 300, 0.423893, 0.00146102
4, 22, 1.22415, 0.447099, 300, 0.423893, 0.0451807
4, 23, 1.29621, 0.380596, 300, 0.907913, 0.00308034
4, 24, 1.29621, 0.380596, 300, 0.907913, 0.0063988
4, 25, 1.29621, 0.380596, 300, 0.907913, 0.00776412
4, 26, 0.822745, 0.879652, 300, -0.130128, 0.00110896
4, 27, 0.418441, 0.621207, 300, -0.0804906, 0.000403664
4, 28, 0.709442, 0.702168, 300, -0.387892, 0.0013166
4, 29, 0.709442, 0.702168, 300, -0.387892, 0.00496852
4, 30, 0.709442, 0.702168, 300, -0.387892, 0.000955307
4, 31, 0.95492, 0.321218, 300, 1.12705, 0.0038853
4, 32, 0.95492, 0.321218, 300, 1.12705, 7.99924
4, 33, 0.95492, 0.321218, 300, 1.12705, 0.0360628
4, 34, 0.95492, 0.321218, 300, 1.12705, 0.0121158
4, 35, 0.95492, 0.321218, 300, 1.12705, 0.00781492
4, 36, 1.33779, 0.473109, 300, 0.80553, 0.00274046
4, 37, 0.919853, 0.42883, 300, 0.105267, 0.000576625
4, 38, 1.29277, 0.519007, 300, 0.594733, 0.00206561
4, 39, 1.29277, 0.519007, 300, 0.594733, 0.00979922
4, 40, 0.965953, 0.351199, 300, 0.740232, 0.00260024
4, 41, 1.19383, 0.73342, 300, 0.542447, 0.00218564
4, 42, 1.64799, 0.440455, 300, 3.22906, 0.0108329
4, 43, 1.64799, 0.440455, 300, 3.22906, 0.0315481
4, 44, 1.2842, 0.444183, 300, 0.626494, 0.00213211
4, 45, 1.73412, 0.3627, 300, 4.47346, 0.0149685
4, 46, 1.73412, 0.3627, 300, 4.47346, 0.899184
4, 47, 1.73412, 0.3627, 300, 4.47346, 0.107874
4, 48, 1.30568, 0.595904, 300, 0.761423, 0.00272125
4, 49, 0.892925, 0.521555, 300, -0.312005, 0.00105902
4, 50, 0.892925, 0.521555, 300, -0.312005, 0.0075797
4, 51, 0.892925, 0.521555, 300, -0.312005, 0.000930453
4, 52, 0.892925, 0.521555, 300, -0.312005, 0.0170649
4, 53, 0.530688, 0.544572, 300, -0.179315, 0.000649508
4, 54, 0.530688, 0.544572, 300, -0.179315, 0.0758088
4, 55, 0.124987, 0.449112, 300, 0.916998, 0.00311927
4, 56, 0.124987, 0.449112, 300, 0.916998, 0.0141787
4, 57, 0.124987, 0.449112, 300, 0.916998, 0.0102532
4, 58, 0.124987, 0.449112, 300, 0.916998, 0.0228158
4, 59, 0.225717, 0.540171, 300, 0.380793, 0.00133566
4, 60, -0.0459852, 0.916362, 300, -0.225293, 0.000798868
4, 61, -0.248274, 0.931148, 300, -0.251583, 0.0008814
4, 62, -0.0263974, 1.37241, 300, 0.490651, 0.00344261
4, 63, -0.26325, 1.23088, 300, 0.0593713, 0.00171716
4, 64, -0.26325, 1.23088, 300, 0.0593713, 0.0139281
4, 65, -0.19927, 1.64395, 300, 2.30699, 0.0108058
4, 66, -0.19927, 1.64395, 300, 2.30699, 0.0273612
4, 67, -0.19927, 1.64395, 300, 2.30699, 0.0115687
4, 68, -0.606623, 1.21805, 300, 0.388675, 0.00292407
4, 69, -0.264135, 1.33726, 300, 0.407093, 0.00310762
4, 70, 0.198822, 1.54133, 300, 1.44091, 0.00724341
4, 71, 0.681749, 1.10864, 300, 0.237263, 0.00217573
4, 72, 0.681749, 1.10864, 300, 0.237263, 0.00668118
4, 73, 0.373488, 1.33576, 300, 0.480325, 0.00349397
4, 74, 0.468658, 0.917109, 300, -0.25229, 0.000976887
4, 75, 0.169526, 0.739547, 300, -0.0377252, 0.000339464
4, 76, 0.169526, 0.739547, 300, -0.0377252, 0.0017016
4, 77, 0.169526, 0.739547, 300, -0.0377252, 0.00671981
4, 78, -0.0730515, 1.18322, 300, -0.115622, 0.00123451
4, 79, 0.102586, 1.26512, 300, 0.116264, 0.00168857
4, 80, 0.20503, 1.43811, 300, 0.778465, 0.00438938
4, 81, 0.20503, 1.43811, 300, 0.778465, 0.0136975
4, 82, 0.20503, 1.43811, 300, 0.778465, 0.0161068
4, 83, 0.20503, 1.43811, 300, 0.778465, 0.0191694
4, 84, 0.20503, 1.43811, 300, 0.778465, 0.0144498
4, 85, 0.114238, 1.4594, 300, 0.908328, 0.00468125
4, 86, -0.015821, 1.22941, 300, -0.0206799, 0.0013805
4, 87, -0.299408, 1.15413, 300, -0.104429, 0.000990463
4, 88, -0.501868, 1.32949, 300, 0.602514, 0.00360273
4, 89, -0.501868, 1.32949, 300, 0.602514, 0.0121812
4, 90, -0.501868, 1.32949, 300, 0.602514, 0.00784183
4, 91, -0.207298, 0.991011, 300, -0.250253, 0.000908486
