throws,avg,err
0, 0.456646, 0
100, 0.502985, 0.0463385
200, 0.476028, 0.0379789
300, 0.496012, 0.0334748
400, 0.495708, 0.0259311
500, 0.492961, 0.0213501
600, 0.495492, 0.0182208
700, 0.494858, 0.0157925
800, 0.501828, 0.0155744
900, 0.506394, 0.0146595
1000, 0.50445, 0.0134019
1100, 0.50699, 0.0124949
1200, 0.506744, 0.0114963
1300, 0.507175, 0.0106522
1400, 0.505479, 0.0100607
1500, 0.508615, 0.00991943
1600, 0.50896, 0.00932405
1700, 0.507601, 0.00889519
1800, 0.507688, 0.00841437
1900, 0.505419, 0.00829877
2000, 0.504399, 0.00795947
2100, 0.503605, 0.00763035
2200, 0.502794, 0.00733595
2300, 0.503193, 0.00703491
2400, 0.504293, 0.00683681
2500, 0.504593, 0.00657551
2600, 0.505569, 0.00640208
2700, 0.505949, 0.00618093
2800, 0.506554, 0.0059945
2900, 0.506531, 0.00579127
3000, 0.505764, 0.00565358
3100, 0.504886, 0.00554407
3200, 0.506219, 0.00553617
3300, 0.504607, 0.00560774
3400, 0.504065, 0.00547203
3500, 0.503789, 0.00532493
3600, 0.504829, 0.00528241
3700, 0.504561, 0.0051485
3800, 0.504497, 0.00501517
3900, 0.503659, 0.00495942
4000, 0.503773, 0.00483816
4100, 0.503827, 0.00472196
4200, 0.503877, 0.00461109
4300, 0.503199, 0.0045558
4400, 0.50301, 0.00445743
4500, 0.502786, 0.00436516
4600, 0.502452, 0.00428437
4700, 0.502301, 0.00419691
4800, 0.502522, 0.00411634
4900, 0.502191, 0.00404666
5000, 0.502344, 0.00396949
5100, 0.501825, 0.00392693
5200, 0.502225, 0.00387287
5300, 0.501589, 0.00385337
5400, 0.501251, 0.00379761
5500, 0.50102, 0.00373638
5600, 0.501545, 0.00370759
5700, 0.501032, 0.00367915
5800, 0.500675, 0.00363385
5900, 0.500854, 0.0035773
6000, 0.499879, 0.00365094
6100, 0.500704, 0.00368521
6200, 0.500697, 0.00362621
6300, 0.500935, 0.00357707
6400, 0.501261, 0.00353673
6500, 0.50124, 0.00348264
6600, 0.502142, 0.00354674
6700, 0.501995, 0.00349724
6800, 0.502402, 0.0034701
6900, 0.503536, 0.00360322
7000, 0.503753, 0.00355865
7100, 0.503759, 0.00350892
7200, 0.50398, 0.00346759
7300, 0.50309, 0.00353421
7400, 0.503112, 0.00348697
7500, 0.50356, 0.00346981
7600, 0.503015, 0.00346757
7700, 0.50354, 0.00346272
7800, 0.503935, 0.00344134
7900, 0.504052, 0.0034001
8000, 0.504752, 0.00343
8100, 0.505084, 0.00340414
8200, 0.504825, 0.00337285
8300, 0.504764, 0.003333
8400, 0.504186, 0.00334383
8500, 0.504168, 0.0033048
8600, 0.504057, 0.00326844
8700, 0.503582, 0.00326578
8800, 0.503382, 0.00323508
8900, 0.503583, 0.00320528
9000, 0.502754, 0.00327642
9100, 0.502306, 0.00327152
9200, 0.502027, 0.00324824
9300, 0.502016, 0.00321349
9400, 0.501609, 0.00320539
9500, 0.501519, 0.00317307
9600, 0.501633, 0.0031423
9700, 0.501401, 0.00311871
9800, 0.501149, 0.00309724
9900, 0.501214, 0.00306691
