throws,avg,err
0, 2.96296, 0
100, 3.08148, 0.118519
200, 3.0067, 0.101362
300, 2.95678, 0.0873454
400, 3.07654, 0.137546
500, 3.11934, 0.120185
600, 3.24514, 0.161695
700, 3.21686, 0.14286
800, 3.29304, 0.147229
900, 3.26562, 0.134509
1000, 3.26559, 0.121668
1100, 3.23155, 0.116166
1200, 3.20275, 0.11067
1300, 3.19807, 0.102568
1400, 3.22191, 0.0984144
1500, 3.31465, 0.130679
1600, 3.26015, 0.134309
1700, 3.24674, 0.127335
1800, 3.22105, 0.123156
1900, 3.20815, 0.117547
2000, 3.19391, 0.112712
2100, 3.19133, 0.107498
2200, 3.18383, 0.102991
2300, 3.18723, 0.098665
2400, 3.20858, 0.0970141
2500, 3.19913, 0.0936856
2600, 3.18108, 0.0919377
2700, 3.19446, 0.0895971
2800, 3.1969, 0.0864869
2900, 3.1891, 0.0839174
3000, 3.17522, 0.0823446
3100, 3.16858, 0.0800052
3200, 3.17797, 0.0781087
3300, 3.16426, 0.0770067
3400, 3.14758, 0.0766108
3500, 3.15471, 0.0747929
3600, 3.17492, 0.0754983
3700, 3.1773, 0.0735231
3800, 3.17324, 0.0717283
3900, 3.1617, 0.0708572
4000, 3.16589, 0.069234
4100, 3.16377, 0.0675987
4200, 3.15664, 0.0663919
4300, 3.15102, 0.065109
4400, 3.14564, 0.0638724
4500, 3.13723, 0.0630324
4600, 3.14613, 0.0623157
4700, 3.15466, 0.0615971
4800, 3.15558, 0.060334
4900, 3.15778, 0.0591557
5000, 3.15737, 0.0579856
5100, 3.15583, 0.0568806
5200, 3.14833, 0.0562981
5300, 3.14201, 0.0556061
5400, 3.14425, 0.0546317
5500, 3.13653, 0.0542001
5600, 3.13447, 0.0532807
5700, 3.12799, 0.0527535
5800, 3.13147, 0.0519684
5900, 3.13854, 0.0515815
6000, 3.1308, 0.0513152
6100, 3.1364, 0.0507909
6200, 3.12895, 0.0505313
6300, 3.13958, 0.0508596
6400, 3.13955, 0.0500711
6500, 3.13377, 0.0496432
6600, 3.13206, 0.0489267
6700, 3.12878, 0.0483133
6800, 3.13614, 0.0481729
6900, 3.14576, 0.0484445
7000, 3.1494, 0.0478959
7100, 3.15101, 0.0472534
7200, 3.14843, 0.0466727
7300, 3.15393, 0.0463653
7400, 3.15067, 0.0458592
7500, 3.14893, 0.045285
7600, 3.14582, 0.0448014
7700, 3.15107, 0.0445342
7800, 3.14801, 0.0440734
7900, 3.1464, 0.043549
8000, 3.14413, 0.0430675
8100, 3.14405, 0.0425392
8200, 3.14633, 0.0420854
8300, 3.14697, 0.0415862
8400, 3.14836, 0.0411177
8500, 3.14972, 0.0406595
8600, 3.15837, 0.0411102
8700, 3.15745, 0.0406508
8800, 3.15526, 0.0402509
8900, 3.16253, 0.0404596
9000, 3.16774, 0.0403499
9100, 3.16612, 0.0399417
9200, 3.1628, 0.0396493
9300, 3.16536, 0.0393092
9400, 3.16507, 0.0388944
9500, 3.15988, 0.0388357
9600, 3.15785, 0.0384868
9700, 3.15113, 0.038679
9800, 3.15369, 0.0383716
9900, 3.15353, 0.0379863
