throws,avg,err
0, 0.0832638, 0
10000, 0.0838018, 0.000537965
20000, 0.0834983, 0.000434249
30000, 0.0834716, 0.000308216
40000, 0.0834789, 0.000238854
50000, 0.0837509, 0.000334699
60000, 0.0837619, 0.000283087
70000, 0.0836932, 0.00025461
80000, 0.083622, 0.000235554
90000, 0.0835406, 0.000225889
100000, 0.0834496, 0.000223658
110000, 0.0834267, 0.000205453
120000, 0.0834813, 0.000196724
130000, 0.0833752, 0.000210781
140000, 0.0835256, 0.00024725
150000, 0.0835141, 0.000231569
160000, 0.083478, 0.000220503
170000, 0.0834615, 0.000208546
180000, 0.0834306, 0.000199665
190000, 0.083504, 0.000203149
200000, 0.0835327, 0.000195349
210000, 0.0835172, 0.000186903
220000, 0.083555, 0.00018256
230000, 0.0835772, 0.00017619
240000, 0.0835665, 0.000169331
250000, 0.0835295, 0.000166845
260000, 0.0835317, 0.000160562
270000, 0.0835402, 0.000154955
280000, 0.0835542, 0.000150162
290000, 0.0836178, 0.000158413
300000, 0.0835775, 0.000158421
310000, 0.0835369, 0.000158689
320000, 0.0835282, 0.000154048
330000, 0.0835291, 0.000149451
340000, 0.0835224, 0.000145276
350000, 0.0835452, 0.000143013
360000, 0.0834989, 0.000146582
370000, 0.0834776, 0.000144254
380000, 0.083458, 0.000141873
390000, 0.0834464, 0.000138767
400000, 0.0834263, 0.000136821
410000, 0.0834347, 0.000133788
420000, 0.0834389, 0.000130706
430000, 0.0834347, 0.000127767
440000, 0.0834224, 0.000125505
450000, 0.0834091, 0.00012346
460000, 0.0833847, 0.000123253
470000, 0.0833904, 0.000120795
480000, 0.0833932, 0.000118337
490000, 0.0834033, 0.000116382
500000, 0.0833935, 0.000114494
510000, 0.0833979, 0.000112354
520000, 0.0833838, 0.000111104
530000, 0.0833669, 0.00011033
540000, 0.0833906, 0.000110864
550000, 0.0834022, 0.000109481
560000, 0.0833859, 0.000108773
570000, 0.0834036, 0.00010834
580000, 0.0833993, 0.000106575
590000, 0.0833937, 0.000104932
600000, 0.0834034, 0.000103654
610000, 0.0833956, 0.000102268
620000, 0.0833884, 0.000100893
630000, 0.0834056, 0.000100787
640000, 0.0834162, 9.97899e-05
650000, 0.0834015, 9.93535e-05
660000, 0.0833988, 9.78977e-05
670000, 0.0833989, 9.64473e-05
680000, 0.0833994, 9.50405e-05
690000, 0.0833964, 9.37194e-05
700000, 0.0833865, 9.29245e-05
710000, 0.0833905, 9.17112e-05
720000, 0.0833751, 9.17439e-05
730000, 0.0833747, 9.04965e-05
740000, 0.0833837, 8.97314e-05
750000, 0.0834002, 9.0071e-05
760000, 0.0834041, 8.89787e-05
770000, 0.0833928, 8.85539e-05
780000, 0.0833894, 8.74904e-05
790000, 0.0833889, 8.63914e-05
800000, 0.0833746, 8.65064e-05
810000, 0.0833692, 8.56182e-05
820000, 0.0833721, 8.4631e-05
830000, 0.0833663, 8.38214e-05
840000, 0.0833713, 8.29832e-05
850000, 0.0833833, 8.28829e-05
860000, 0.0833755, 8.22953e-05
870000, 0.0833924, 8.30826e-05
880000, 0.0834067, 8.33871e-05
890000, 0.0834105, 8.2545e-05
900000, 0.0834046, 8.18477e-05
910000, 0.0834179, 8.20402e-05
920000, 0.0834013, 8.28363e-05
930000, 0.0834001, 8.19601e-05
940000, 0.0833943, 8.12935e-05
950000, 0.0833962, 8.04636e-05
960000, 0.0834068, 8.0327e-05
970000, 0.0834116, 7.9648e-05
980000, 0.083409, 7.88795e-05
990000, 0.0834056, 7.81647e-05
