,xpred_1layers,xpred_2layers,xpred_3layers,ypred_1layers,ypred_2layers,ypred_3layers
0,-1.0,-1.0,-1.0,3.880053,4.2473154,3.9581904
1,-0.9797979797979798,-0.9797979797979798,-0.9797979797979798,3.8703976,4.2345176,3.9581904
2,-0.9595959595959596,-0.9595959595959596,-0.9595959595959596,3.860742,4.2217197,3.9581904
3,-0.9393939393939394,-0.9393939393939394,-0.9393939393939394,3.8510866,4.208922,3.9581904
4,-0.9191919191919192,-0.9191919191919192,-0.9191919191919192,3.8414311,4.196124,3.9581904
5,-0.898989898989899,-0.898989898989899,-0.898989898989899,3.8317757,4.183326,3.9581904
6,-0.8787878787878788,-0.8787878787878788,-0.8787878787878788,3.8221202,4.170528,3.9581904
7,-0.8585858585858586,-0.8585858585858586,-0.8585858585858586,3.8124642,4.15773,3.9581904
8,-0.8383838383838383,-0.8383838383838383,-0.8383838383838383,3.8028092,4.1449323,3.9581904
9,-0.8181818181818181,-0.8181818181818181,-0.8181818181818181,3.7931533,4.1321344,3.9581904
10,-0.797979797979798,-0.797979797979798,-0.797979797979798,3.7834978,4.1193366,3.9581904
11,-0.7777777777777778,-0.7777777777777778,-0.7777777777777778,3.7738423,4.106539,3.9581904
12,-0.7575757575757576,-0.7575757575757576,-0.7575757575757576,3.7641869,4.0937405,3.9581904
13,-0.7373737373737373,-0.7373737373737373,-0.7373737373737373,3.7545314,4.0809426,3.9581904
14,-0.7171717171717171,-0.7171717171717171,-0.7171717171717171,3.744876,4.068145,3.9581904
15,-0.696969696969697,-0.696969696969697,-0.696969696969697,3.73522,4.0553465,3.9581904
16,-0.6767676767676767,-0.6767676767676767,-0.6767676767676767,3.7255645,4.0426054,3.9581904
17,-0.6565656565656566,-0.6565656565656566,-0.6565656565656566,3.715909,4.0313945,3.9581904
18,-0.6363636363636364,-0.6363636363636364,-0.6363636363636364,3.7062535,4.0201826,3.9581904
19,-0.6161616161616161,-0.6161616161616161,-0.6161616161616161,3.696598,4.0089717,3.9581904
20,-0.5959595959595959,-0.5959595959595959,-0.5959595959595959,3.6869426,3.9977608,3.9581904
21,-0.5757575757575757,-0.5757575757575757,-0.5757575757575757,3.677287,3.9865496,3.9581904
22,-0.5555555555555556,-0.5555555555555556,-0.5555555555555556,3.6676316,3.9753387,3.9581904
23,-0.5353535353535352,-0.5353535353535352,-0.5353535353535352,3.657976,3.9641273,3.9581904
24,-0.5151515151515151,-0.5151515151515151,-0.5151515151515151,3.6483202,3.952916,3.9581904
25,-0.4949494949494949,-0.4949494949494949,-0.4949494949494949,3.6386647,3.941705,3.9581904
26,-0.4747474747474747,-0.4747474747474747,-0.4747474747474747,3.6290092,3.9304936,3.9581904
27,-0.4545454545454545,-0.4545454545454545,-0.4545454545454545,3.6193538,3.9192827,3.9581904
28,-0.43434343434343425,-0.43434343434343425,-0.43434343434343425,3.6096983,3.9080713,3.9581904
29,-0.41414141414141414,-0.41414141414141414,-0.41414141414141414,3.6000426,3.8968604,3.9581904
30,-0.3939393939393939,-0.3939393939393939,-0.3939393939393939,3.5903873,3.885649,3.9581902
31,-0.3737373737373737,-0.3737373737373737,-0.3737373737373737,3.5807316,3.8744378,3.9581902
32,-0.3535353535353535,-0.3535353535353535,-0.3535353535353535,3.571076,3.863227,3.9581904
33,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,3.5614204,3.8520157,3.9581904
34,-0.31313131313131304,-0.31313131313131304,-0.31313131313131304,3.5509923,3.8408043,3.9581904
35,-0.2929292929292928,-0.2929292929292928,-0.2929292929292928,3.539882,3.8295932,3.9581904
36,-0.2727272727272727,-0.2727272727272727,-0.2727272727272727,3.5287716,3.818444,3.9581904
37,-0.2525252525252525,-0.2525252525252525,-0.2525252525252525,3.5176613,3.8086956,3.9581904
38,-0.23232323232323226,-0.23232323232323226,-0.23232323232323226,3.5065508,3.7990396,3.9581904
39,-0.21212121212121204,-0.21212121212121204,-0.21212121212121204,3.4954405,3.7871726,3.9581904
40,-0.19191919191919182,-0.19191919191919182,-0.19191919191919182,3.4843304,3.7692225,3.9581904
41,-0.1717171717171716,-0.1717171717171716,-0.1717171717171716,3.4644232,3.7504833,3.9581904
42,-0.1515151515151515,-0.1515151515151515,-0.1515151515151515,3.4429617,3.7286694,3.9581904
43,-0.13131313131313127,-0.13131313131313127,-0.13131313131313127,3.4214997,3.7057917,3.9581904
44,-0.11111111111111105,-0.11111111111111105,-0.11111111111111105,3.4000382,3.682011,3.9581904
45,-0.09090909090909083,-0.09090909090909083,-0.09090909090909083,3.3785763,3.655616,3.9547358
46,-0.07070707070707061,-0.07070707070707061,-0.07070707070707061,3.3571146,3.6283114,3.9128988
47,-0.050505050505050386,-0.050505050505050386,-0.050505050505050386,3.3354917,3.6003082,3.8706346
48,-0.030303030303030276,-0.030303030303030276,-0.030303030303030276,3.3129508,3.5693233,3.828371
49,-0.010101010101010055,-0.010101010101010055,-0.010101010101010055,3.29041,3.5349863,3.781836
50,0.010101010101010166,0.010101010101010166,0.010101010101010166,3.267869,3.4967153,3.7335997
