throws,avg,err
0, 117.677, 0
100, 114.711, 2.96615
200, 112.259, 2.99104
300, 112.506, 2.1294
400, 111.9, 1.75709
500, 112.01, 1.43882
600, 111.746, 1.24423
700, 111.731, 1.07764
800, 111.341, 1.02741
900, 111.304, 0.919694
1000, 111.182, 0.84077
1100, 110.63, 0.945387
1200, 110.714, 0.873713
1300, 110.678, 0.809717
1400, 110.665, 0.753922
1500, 110.868, 0.733932
1600, 110.987, 0.699528
1700, 110.964, 0.659903
1800, 110.959, 0.624231
1900, 110.978, 0.592519
2000, 110.781, 0.597164
2100, 110.53, 0.622241
2200, 110.581, 0.596754
2300, 110.729, 0.590188
2400, 110.923, 0.598418
2500, 110.847, 0.579935
2600, 110.936, 0.565118
2700, 110.895, 0.546071
2800, 110.945, 0.529208
2900, 110.855, 0.519113
3000, 110.772, 0.508808
3100, 110.648, 0.507998
3200, 110.745, 0.501698
3300, 110.851, 0.498108
3400, 110.943, 0.492398
3500, 110.933, 0.478628
3600, 110.928, 0.465545
3700, 110.815, 0.466891
3800, 110.706, 0.467681
3900, 110.712, 0.455886
4000, 110.644, 0.449899
4100, 110.642, 0.43906
4200, 110.594, 0.431422
4300, 110.539, 0.425042
4400, 110.483, 0.41927
4500, 110.525, 0.412211
4600, 110.54, 0.403642
4700, 110.409, 0.41646
4800, 110.363, 0.410406
4900, 110.434, 0.408315
5000, 110.388, 0.402868
5100, 110.445, 0.399055
5200, 110.412, 0.392837
5300, 110.461, 0.388689
5400, 110.42, 0.383746
5500, 110.354, 0.382695
5600, 110.365, 0.37608
5700, 110.362, 0.369549
5800, 110.343, 0.363705
5900, 110.379, 0.359367
6000, 110.345, 0.355058
6100, 110.353, 0.349379
6200, 110.388, 0.345575
6300, 110.389, 0.340134
6400, 110.523, 0.360502
6500, 110.565, 0.357489
6600, 110.511, 0.356262
6700, 110.501, 0.351111
6800, 110.483, 0.34647
6900, 110.491, 0.341587
7000, 110.475, 0.337162
7100, 110.528, 0.336708
7200, 110.52, 0.332161
7300, 110.515, 0.327684
7400, 110.58, 0.329789
7500, 110.653, 0.333532
7600, 110.65, 0.329186
7700, 110.642, 0.325032
7800, 110.658, 0.321295
7900, 110.641, 0.317715
8000, 110.635, 0.313821
8100, 110.662, 0.311096
8200, 110.629, 0.30905
8300, 110.649, 0.306014
8400, 110.64, 0.302548
8500, 110.594, 0.30245
8600, 110.656, 0.305251
8700, 110.585, 0.310056
8800, 110.618, 0.308363
8900, 110.611, 0.304994
9000, 110.623, 0.30186
9100, 110.566, 0.303959
9200, 110.63, 0.307494
9300, 110.615, 0.304589
9400, 110.548, 0.308747
9500, 110.537, 0.305721
9600, 110.521, 0.302977
9700, 110.552, 0.301531
9800, 110.537, 0.298861
9900, 110.538, 0.295859
