#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.00293     3.00293           0
           2     3.03326     3.01809   0.0107248
           3      3.1304     3.05553   0.0313919
           4     3.11398     3.07014   0.0267294
           5      3.1138     3.07887   0.0227648
           6     3.15639     3.09179   0.0223381
           7     3.19131     3.10601   0.0232344
           8     3.18952     3.11645   0.0225534
           9     3.18152     3.12368   0.0211747
          10     3.21423     3.13273   0.0209038
          11     3.25993      3.1443   0.0219699
          12     3.22969     3.15141   0.0212604
          13     3.21675     3.15644   0.0202104
          14     3.24365     3.16267   0.0197033
          15     3.31106     3.17256    0.020725
          16     3.34456     3.18331   0.0220419
          17     3.36948     3.19426   0.0233074
          18     3.32987      3.2018   0.0231982
          19     3.30001     3.20696   0.0225457
          20     3.29908     3.21157   0.0218839
          21     3.29563     3.21557   0.0212048
          22     3.25081     3.21718   0.0203013
          23     3.25587     3.21886   0.0194882
          24     3.25112      3.2202   0.0187225
          25     3.24929     3.22137   0.0180098
          26     3.23651     3.22195   0.0173265
          27     3.20354     3.22127   0.0166982
          28     3.24713     3.22219   0.0161273
          29     3.31983     3.22556   0.0159188
          30     3.25263     3.22646   0.0154137
          31     3.26913     3.22784   0.0149778
          32     3.27711     3.22938   0.0145887
          33     3.26547     3.23047   0.0141876
          34     3.24318     3.23084   0.0137752
          35     3.22998     3.23082   0.0133817
          36     3.26312     3.23172     0.01304
          37     3.26335     3.23257   0.0127156
          38     3.30155     3.23439   0.0125098
          39     3.27807     3.23551   0.0122391
          40      3.2692     3.23635   0.0119621
          41     3.28357      3.2375   0.0117257
          42     3.32799     3.23966   0.0116427
          43     3.34535     3.24211   0.0116286
          44     3.32399     3.24397   0.0115122
          45       3.313     3.24551   0.0113581
          46     3.28743     3.24642   0.0111477
          47      3.2539     3.24658   0.0109116
          48     3.26621     3.24699    0.010692
          49     3.31089     3.24829    0.010553
          50     3.30052     3.24934   0.0103935
          51     3.32242     3.25077   0.0102881
          52     3.32393     3.25218    0.010186
          53     3.29419     3.25297   0.0100246
          54     3.29858     3.25381  0.00987445
          55     3.33793     3.25534  0.00981265
          56     3.34101     3.25687  0.00975594
          57     3.29937     3.25762  0.00961323
          58     3.29064     3.25819  0.00946433
          59     3.28781     3.25869  0.00931723
          60     3.30462     3.25946  0.00919333
          61     3.30442     3.26019  0.00907212
          62     3.28898     3.26066  0.00893767
          63     3.29796     3.26125   0.0088154
          64     3.30362     3.26191  0.00870249
          65     3.27521     3.26212  0.00857101
          66     3.27493     3.26231  0.00844334
          67     3.27115     3.26244  0.00831835
          68     3.27475     3.26262    0.008198
          69     3.30008     3.26317  0.00809714
          70     3.32232     3.26401  0.00802544
          71     3.33015     3.26494  0.00796629
          72     3.32507     3.26578  0.00789929
          73     3.33457     3.26672   0.0078471
          74     3.35053     3.26785  0.00782236
          75      3.3659     3.26916  0.00782655
          76     3.32656     3.26991  0.00775992
          77     3.32964     3.27069  0.00769781
          78     3.29382     3.27099  0.00760482
          79     3.27858     3.27108  0.00750917
          80     3.29056     3.27133  0.00741925
          81     3.28401     3.27148  0.00732931
          82     3.30667     3.27191  0.00725247
          83     3.31176     3.27239  0.00718096
          84     3.27741     3.27245  0.00709573
          85     3.28068     3.27255  0.00701291
          86     3.27692      3.2726  0.00693154
          87     3.31152     3.27305   0.0068663
          88     3.30138     3.27337  0.00679582
          89     3.27055     3.27334  0.00671953
          90     3.29182     3.27354  0.00664801
          91     3.29544     3.27378  0.00657931
          92     3.27383     3.27378  0.00650779
          93     3.27651     3.27381  0.00643788
          94      3.2672     3.27374  0.00636978
          95     3.27414     3.27375  0.00630273
          96     3.25525     3.27355  0.00624002
          97     3.22991      3.2731  0.00619189
          98     3.25249     3.27289  0.00613228
          99     3.28959     3.27306  0.00607266
         100     3.30663      3.2734   0.0060212
         101     3.27411     3.27341  0.00596159
         102     3.22696     3.27295  0.00592051
         103      3.2238     3.27247  0.00588223
         104     3.23973     3.27216  0.00583409
         105     3.27243     3.27216  0.00577853
         106     3.27135     3.27215  0.00572402
         107     3.28705     3.27229  0.00567222
         108      3.2974     3.27252  0.00562446
         109     3.33037     3.27306  0.00559784
         110     3.31299     3.27342  0.00555871
         111     3.30938     3.27374  0.00551806
         112     3.29281     3.27391  0.00547142
         113     3.30089     3.27415   0.0054282
         114     3.27566     3.27416   0.0053806
         115     3.29742     3.27437  0.00533761
         116     3.27974     3.27441   0.0052918
         117     3.29153     3.27456  0.00524859
         118     3.26667     3.27449  0.00520454
         119     3.27757     3.27452  0.00516087
         120     3.27969     3.27456  0.00511804
         121     3.28694     3.27466  0.00507677
         122     3.29916     3.27486  0.00503912
         123     3.28624     3.27496    0.004999
         124     3.26002     3.27484  0.00496014
         125     3.29909     3.27503  0.00492425
         126     3.32516     3.27543  0.00490122
         127      3.2786     3.27545  0.00486269
         128     3.27239     3.27543  0.00482476
         129     3.30615     3.27567  0.00479323
         130     3.31286     3.27595  0.00476488
         131     3.30845      3.2762  0.00473497
         132     3.25739     3.27606  0.00470124
         133     3.25956     3.27594  0.00466753
         134     3.25967     3.27581  0.00463427
         135     3.26187     3.27571   0.0046011
         136     3.24826     3.27551  0.00457169
         137     3.26984     3.27547  0.00453851
         138     3.29404      3.2756  0.00450762
         139     3.32026     3.27592  0.00448662
         140     3.33338     3.27633   0.0044733
         141     3.36501     3.27696  0.00448558
         142     3.34086     3.27741   0.0044765
         143     3.34562     3.27789  0.00447053
         144     3.32546     3.27822  0.00445168
         145     3.31011     3.27844  0.00442641
         146     3.28211     3.27846  0.00439616
         147     3.26125     3.27835  0.00436781
         148     3.24387     3.27811  0.00434451
         149     3.27181     3.27807  0.00431556
         150     3.26668       3.278  0.00428745
         151     3.28693     3.27806  0.00425947
         152     3.25827     3.27793  0.00423343
         153     3.24504     3.27771  0.00421122
         154     3.25462     3.27756  0.00418654
         155     3.28417      3.2776  0.00415975
         156     3.29663     3.27773  0.00413487
         157     3.31197     3.27794  0.00411428
         158     3.26416     3.27786  0.00408917
         159     3.28757     3.27792  0.00406391
         160     3.25956      3.2778  0.00404013
         161     3.27424     3.27778  0.00401509
         162     3.22243     3.27744  0.00400482
         163      3.2333     3.27717  0.00398939
         164     3.24336     3.27696  0.00397039
         165      3.2701     3.27692  0.00394654
         166     3.25592     3.27679   0.0039248
         167      3.2735     3.27677  0.00390134
         168     3.26259     3.27669  0.00387904
         169     3.26575     3.27662  0.00385662
         170     3.30228     3.27678  0.00383689
         171      3.3379     3.27713  0.00383106
         172     3.37025     3.27767  0.00384685
         173     3.33759     3.27802  0.00384018
         174     3.28847     3.27808  0.00381857
         175     3.30599     3.27824  0.00380008
         176     3.33605     3.27857  0.00379266
         177     3.31372     3.27877  0.00377643
         178     3.29749     3.27887  0.00375668
         179        3.36     3.27933  0.00376293
         180     3.34873     3.27971  0.00376173
         181      3.3509      3.2801  0.00376145
         182     3.33246     3.28039  0.00375176
         183     3.33987     3.28072  0.00374531
         184     3.26763     3.28065  0.00372563
         185     3.25748     3.28052   0.0037076
         186     3.25044     3.28036  0.00369119
         187     3.29738     3.28045  0.00367257
         188     3.37178     3.28094  0.00368503
         189      3.3737     3.28143  0.00369808
         190     3.35504     3.28181  0.00369885
         191     3.29991     3.28191   0.0036807
         192     3.29555     3.28198  0.00366222
         193     3.27634     3.28195  0.00364336
         194     3.26371     3.28186  0.00362579
         195     3.27775     3.28184  0.00360726
         196      3.2985     3.28192  0.00358986
         197     3.29666       3.282  0.00357241
         198     3.29277     3.28205  0.00355478
         199     3.31827     3.28223  0.00354158
         200     3.32132     3.28243  0.00352926
