# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702      80.825      80.825           0
     2.54558      27.175      27.175           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702       8.045      44.435     25.7316
     2.54558      99.955      63.565     25.7316
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0           0           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966        0.04   0.0133333   0.0108866
    0.848528        0.07   0.0233333   0.0190516
     1.03709        0.24        0.08   0.0653197
     1.22565       0.165       0.055   0.0449073
     1.41421        0.49    0.163333    0.133361
     1.60278         0.4    0.133333    0.108866
     1.79134         0.9         0.3    0.244949
      1.9799       1.745    0.581667    0.474929
     2.16846        1.76    0.586667    0.479011
     2.35702       8.955     32.6083     19.6855
     2.54558      79.415     68.8483     17.6885
     2.73415      12.075       4.025      3.2864
     2.92271       1.745    0.581667    0.474929
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809        0.18       0.045   0.0389711
    0.282843       0.185     0.04625   0.0400537
    0.471405        0.21      0.0525   0.0454663
    0.659966       0.145     0.04625   0.0296529
    0.848528        0.15       0.055   0.0309233
     1.03709        0.18       0.105   0.0535607
     1.22565        0.18     0.08625   0.0432064
     1.41421        0.18      0.1675    0.100086
     1.60278        0.27      0.1675   0.0868458
     1.79134       3.725     1.15625    0.763952
      1.9799       1.935        0.92    0.461225
     2.16846        1.96        0.93    0.466342
     2.35702      17.125     28.7375     15.1399
     2.54558      62.605     67.2875     13.3351
     2.73415      15.025       6.775     3.42741
     2.92271        2.99     1.18375     0.63147
     3.11127       0.955     0.23875    0.206764
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0       0.036   0.0321994
    0.282843           0       0.037   0.0330938
    0.471405           0       0.042   0.0375659
    0.659966           0       0.037   0.0251237
    0.848528           0       0.044   0.0266233
     1.03709           0       0.084   0.0467846
     1.22565           0       0.069   0.0378523
     1.41421           0       0.134   0.0854915
     1.60278           0       0.134   0.0756624
     1.79134           0       0.925    0.645213
      1.9799           0       0.736    0.404018
     2.16846           0       0.744    0.408486
     2.35702      21.945      27.379     12.1727
     2.54558      81.385      70.107     10.9621
     2.73415        4.67       6.354     2.76766
     2.92271           0       0.947    0.547762
     3.11127           0       0.191    0.170836
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0        0.03   0.0273861
    0.282843           0   0.0308333   0.0281469
    0.471405           0       0.035   0.0319505
    0.659966           0   0.0308333     0.02168
    0.848528           0   0.0366667   0.0231741
     1.03709           0        0.07   0.0410284
     1.22565           0      0.0575   0.0332447
     1.41421           0    0.111667   0.0741027
