#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0351091  -0.0351091           0
           2   -0.066132  -0.0506206   0.0109683
           3    -0.15827  -0.0865037   0.0301971
           4   -0.151574   -0.102771   0.0266721
           5    -0.14618   -0.111453   0.0227067
           6   -0.189094   -0.124393   0.0223068
           7   -0.224622   -0.138712    0.023266
           8   -0.222248   -0.149154   0.0225797
           9   -0.214146   -0.156375   0.0211942
          10    -0.24706   -0.165443   0.0209251
          11   -0.293165   -0.177055   0.0220097
          12   -0.262448   -0.184171   0.0212949
          13   -0.249563   -0.189201   0.0202422
          14   -0.276973    -0.19547   0.0197434
          15   -0.344061   -0.205376   0.0207641
          16   -0.377949   -0.216162   0.0220908
          17    -0.40231   -0.227112   0.0233479
          18   -0.362864   -0.234654    0.023237
          19   -0.332815    -0.23982    0.022581
          20   -0.332299   -0.244444   0.0219203
          21   -0.328257   -0.248435   0.0212367
          22   -0.283652   -0.250036   0.0203316
          23   -0.288857   -0.251724   0.0195176
          24   -0.283787    -0.25306     0.01875
          25   -0.282073    -0.25422   0.0180359
          26   -0.269273   -0.254799   0.0173515
          27   -0.236309   -0.254114   0.0167223
          28   -0.280213   -0.255047   0.0161511
          29   -0.352772   -0.258416   0.0159418
          30   -0.285143   -0.259307   0.0154353
          31   -0.302029   -0.260685   0.0149988
          32   -0.310095   -0.262229   0.0146093
          33    -0.29805   -0.263315   0.0142069
          34   -0.276135   -0.263692    0.013794
          35   -0.263008   -0.263672   0.0133999
          36   -0.295826   -0.264566   0.0130574
          37   -0.296232   -0.265421   0.0127326
          38   -0.334257   -0.267233   0.0125257
          39   -0.310926   -0.268353   0.0122545
          40   -0.301885   -0.269192   0.0119768
          41   -0.316598   -0.270348   0.0117404
          42   -0.360871   -0.272503    0.011657
          43   -0.377622   -0.274948   0.0116394
          44   -0.356904    -0.27681   0.0115229
          45   -0.345731   -0.278342   0.0113682
          46     -0.3203   -0.279254   0.0111576
          47   -0.286568    -0.27941   0.0109213
          48   -0.299211   -0.279822   0.0107016
          49    -0.34381   -0.281128   0.0105625
          50   -0.333362   -0.282173   0.0104028
          51   -0.355396   -0.283609   0.0102974
          52   -0.356699   -0.285014   0.0101949
          53   -0.327185    -0.28581   0.0100335
          54   -0.331389   -0.286654  0.00988317
          55   -0.370785   -0.288184  0.00982114
          56   -0.373883   -0.289714  0.00976427
          57    -0.33209   -0.290457  0.00962123
          58   -0.323193   -0.291022  0.00947188
          59   -0.320854   -0.291527  0.00932483
          60   -0.337641   -0.292296  0.00920103
          61   -0.337231   -0.293033  0.00907964
          62   -0.321963   -0.293499  0.00894517
          63   -0.330826   -0.294092  0.00882279
          64   -0.336355   -0.294752  0.00870961
          65   -0.307974   -0.294955  0.00857799
          66   -0.308079   -0.295154  0.00845033
          67   -0.304037   -0.295287  0.00832524
          68   -0.307715    -0.29547  0.00820482
          69   -0.333141   -0.296016  0.00810405
          70   -0.355289   -0.296862  0.00803239
          71   -0.362964   -0.297793  0.00797304
          72   -0.358072   -0.298631  0.00790613
          73    -0.36758   -0.299575  0.00785404
          74   -0.383442   -0.300708  0.00782925
          75   -0.398683   -0.302015  0.00783309
          76   -0.359333   -0.302769  0.00776624
          77   -0.362766   -0.303548  0.00770437
          78   -0.326383   -0.303841  0.00761116
          79   -0.311605   -0.303939  0.00751545
          80   -0.323611   -0.304185  0.00742553
          81   -0.316968   -0.304343  0.00733553
          82   -0.339512   -0.304772   0.0072586
          83    -0.34502   -0.305257  0.00718732
          84   -0.310185   -0.305315    0.007102
          85   -0.313715   -0.305414  0.00701914
          86   -0.309888   -0.305466  0.00693771
          87   -0.344716   -0.305917  0.00687262
