#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.11923     2.11923           0
           2     2.15294     2.13608   0.0119167
           3     2.16769     2.14662   0.0117089
           4     2.20211     2.16049   0.0148814
           5     2.17977     2.16435   0.0123945
           6     2.19737     2.16985   0.0114861
           7     2.19166     2.17297   0.0102592
           8     2.20886     2.17745  0.00990956
           9     2.17223     2.17687  0.00882548
          10     2.17812       2.177  0.00794382
          11     2.17728     2.17702  0.00722169
          12     2.19173     2.17825  0.00672312
          13     2.18382     2.17868  0.00621961
          14     2.19616     2.17993  0.00589933
          15     2.20281     2.18145  0.00569987
          16     2.19777     2.18247  0.00543409
          17     2.21085     2.18414  0.00536465
          18     2.20215     2.18514  0.00515911
          19     2.20067     2.18596  0.00495193
          20     2.17367     2.18534   0.0047423
