#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96782     2.96782           0
           2     2.96713     2.96747 0.000243423
           3     2.97213     2.96903  0.00127868
           4     2.96241     2.96737  0.00172442
           5     2.96762     2.96742  0.00138023
           6      2.9673      2.9674  0.00115034
           7     2.96669      2.9673 0.000990515
           8     2.96727      2.9673 0.000866707
           9     2.96738      2.9673 0.000770452
          10     2.96717     2.96729 0.000693529
          11     2.96676     2.96724 0.000632154
          12     2.96725     2.96724 0.000579474
          13     2.96719     2.96724 0.000534913
          14     2.96667      2.9672 0.000498224
          15       2.967     2.96719  0.00046519
          16     2.96661     2.96715 0.000437505
          17     2.96717     2.96715  0.00041177
          18       2.967     2.96714 0.000388975
          19     2.96719     2.96714 0.000368511
          20     2.96679     2.96713 0.000350523
          21     2.96738     2.96714 0.000334033
          22     2.96716     2.96714 0.000318851
          23     2.96702     2.96713 0.000305033
          24     2.96734     2.96714 0.000292439
          25     2.96722     2.96715 0.000280757
          26     2.96723     2.96715 0.000269979
          27     2.96724     2.96715 0.000259998
          28     2.96692     2.96714 0.000250846
          29     2.96706     2.96714 0.000242213
          30     2.96748     2.96715  0.00023441
          31      2.9671     2.96715 0.000226854
          32     2.96702     2.96715 0.000219802
          33     2.96742     2.96715   0.0002133
          34     2.96704     2.96715 0.000207052
          35     2.96697     2.96715 0.000201198
          36      2.9673     2.96715 0.000195653
          37     2.96712     2.96715 0.000190367
          38     2.96729     2.96715 0.000185392
          39     2.96715     2.96715 0.000180638
          40     2.96731     2.96716 0.000176166
          41     2.96697     2.96715 0.000171927
          42     2.96712     2.96715 0.000167835
          43     2.96773     2.96717  0.00016447
          44     2.96708     2.96716 0.000160743
          45     2.96727     2.96717 0.000157187
          46     2.96713     2.96717 0.000153772
          47     2.96734     2.96717 0.000150543
          48       2.967     2.96717 0.000147448
          49     2.96708     2.96716 0.000144449
          50     2.96716     2.96716  0.00014156
          51     2.96703     2.96716  0.00013881
          52     2.96723     2.96716 0.000136148
          53     2.96701     2.96716  0.00013361
          54     2.96719     2.96716 0.000131137
          55     2.96715     2.96716 0.000128753
          56     2.96713     2.96716 0.000126455
          57     2.96728     2.96716 0.000124256
          58     2.96745     2.96717 0.000122214
          59     2.96695     2.96716 0.000120195
          60     2.96698     2.96716 0.000118231
          61     2.96718     2.96716 0.000116293
          62     2.96702     2.96716  0.00011444
          63     2.96714     2.96716 0.000112624
          64     2.96727     2.96716 0.000110878
          65     2.96724     2.96716 0.000109179
          66     2.96685     2.96716 0.000107628
          67     2.96711     2.96715 0.000106023
          68     2.96704     2.96715 0.000104478
          69     2.96694     2.96715 0.000103009
          70     2.96703     2.96715 0.000101551
          71     2.96719     2.96715 0.000100123
          72     2.96699     2.96715 9.87551e-05
          73     2.96699     2.96714 9.74251e-05
          74     2.96709     2.96714 9.61118e-05
          75     2.96722     2.96714 9.48358e-05
          76     2.96722     2.96715 9.35934e-05
          77     2.96687     2.96714 9.24447e-05
          78     2.96744     2.96715 9.13359e-05
          79     2.96697     2.96714 9.02068e-05
          80     2.96695     2.96714 8.91111e-05
          81     2.96705     2.96714 8.80186e-05
          82     2.96716     2.96714 8.69454e-05
          83     2.96674     2.96714 8.60345e-05
          84     2.96722     2.96714 8.50168e-05
          85     2.96696     2.96713 8.40417e-05
          86     2.96703     2.96713 8.30731e-05
          87     2.96681     2.96713 8.22023e-05
          88     2.96765     2.96714 8.14789e-05
          89     2.96721     2.96714 8.05675e-05
          90     2.96705     2.96714 7.96778e-05
          91     2.96723     2.96714 7.88096e-05
          92     2.96727     2.96714  7.7967e-05
          93     2.96711     2.96714 7.71291e-05
          94     2.96716     2.96714 7.63089e-05
          95     2.96711     2.96714 7.55064e-05
          96     2.96744     2.96714  7.4785e-05
          97     2.96717     2.96714 7.40145e-05
          98     2.96728     2.96714 7.32731e-05
          99       2.967     2.96714 7.25466e-05
         100     2.96722     2.96714 7.18251e-05
         101     2.96742     2.96714  7.1166e-05
         102     2.96737     2.96715 7.05036e-05
         103     2.96714     2.96715 6.98191e-05
         104     2.96703     2.96715 6.91566e-05
         105     2.96719     2.96715 6.84991e-05
         106     2.96731     2.96715  6.7871e-05
         107     2.96708     2.96715 6.72395e-05
         108      2.9669     2.96714  6.6657e-05
         109     2.96709     2.96714 6.60471e-05
         110     2.96741     2.96715 6.54907e-05
         111     2.96696     2.96715 6.49216e-05
         112     2.96711     2.96714 6.43426e-05
