# VELOCITY:     AVE_POFV:        ERROR:
   0.0942809           0           0
    0.282843      0.0025           0
    0.471405       0.596           0
    0.659966      1.7595           0
    0.848528      2.0185           0
     1.03709       3.639           0
     1.22565       2.742           0
     1.41421       8.177           0
     1.60278       6.401           0
     1.79134       8.429           0
      1.9799     10.6875           0
     2.16846        8.29           0
     2.35702       8.502           0
     2.54558     11.3215           0
     2.73415       6.854           0
     2.92271      6.2795           0
     3.11127      6.7305           0
     3.29983       5.513           0
     3.48839       2.748           0
     3.67696       2.197           0
     3.86552      1.1435           0
     4.05408      1.5595           0
     4.24264      0.2645           0
      4.4312       0.283           0
     4.61976      0.0965           0
     4.80833       0.026           0
     4.99689       0.003           0
     5.18545       0.307           0
     5.37401       0.379           0
     5.56257      0.0505           0
   0.0942809           0           0
    0.282843       0.042   0.0139654
    0.471405      0.3255   0.0956362
    0.659966      0.4755    0.453963
    0.848528      0.9595    0.374413
     1.03709       3.344    0.104298
     1.22565       7.429      1.6571
     1.41421       7.499    0.239709
     1.60278      5.8895    0.180843
     1.79134      6.7355    0.598743
      1.9799      12.412    0.609703
     2.16846        8.67     0.13435
     2.35702       6.533    0.696147
     2.54558     10.2155     0.39103
     2.73415      9.2875    0.860372
     2.92271      4.7305    0.547654
     3.11127       7.445    0.252614
     3.29983       3.248    0.800798
     3.48839      3.6145    0.306354
     3.67696      1.6355     0.19852
     3.86552       1.268   0.0440174
     4.05408      1.8825    0.114198
     4.24264      1.9205    0.585484
      4.4312       0.738    0.160867
     4.61976       0.131   0.0121976
     4.80833      0.0765   0.0178544
     4.99689      0.4775    0.167761
     5.18545       0.072    0.083085
     5.37401      0.0575    0.113667
     5.56257      0.0035    0.016617
   0.0942809           0           0
    0.282843       0.022  0.00931049
    0.471405       0.179   0.0997258
    0.659966      1.8765    0.366421
    0.848528       1.277    0.256191
     1.03709      5.8645    0.649581
     1.22565       4.908     1.10579
     1.41421      4.6685    0.877306
     1.60278      5.8135    0.150624
     1.79134      10.447    0.875923
      1.9799      9.4865    0.693217
     2.16846       9.757    0.358911
     2.35702       7.727    0.467587
     2.54558      7.3315    0.971078
     2.73415      7.1045    0.630995
     2.92271      5.6085    0.366188
     3.11127      5.7025    0.412921
     3.29983      5.0205    0.561563
     3.48839         3.2      0.2043
     3.67696         2.4    0.186682
     3.86552       3.839     0.71728
     4.05408       1.625   0.0804905
     4.24264      2.5845    0.563246
      4.4312        0.34    0.116854
     4.61976       0.137   0.0103037
     4.80833      0.0095   0.0164559
     4.99689       0.046    0.123707
     5.18545      0.0425    0.068328
     5.37401      0.0055   0.0953684
     5.56257      0.6275     0.16381
   0.0942809           0           0
    0.282843       0.183   0.0355147
    0.471405       0.845    0.127718
    0.659966       1.891    0.297024
    0.848528        2.42    0.289742
     1.03709      3.9285    0.493178
     1.22565       7.907     1.03769
     1.41421      7.8975    0.700941
     1.60278       8.262    0.495287
     1.79134      6.9595    0.740437
      1.9799      4.9925     1.37303
     2.16846       6.686    0.550826
     2.35702      8.1145    0.368796
     2.54558      7.5475    0.855759
     2.73415      7.6695    0.473556
     2.92271       5.125    0.288931
     3.11127        5.38     0.41071
     3.29983       4.467    0.422067
     3.48839       2.249    0.254489
     3.67696       4.148    0.469633
     3.86552       3.886    0.664604
     4.05408       1.641   0.0612559
     4.24264      1.7015    0.423125
      4.4312       1.686    0.280833
     4.61976      1.2645    0.247587
     4.80833        0.86     0.17854
     4.99689      0.2815   0.0955764
     5.18545       0.007   0.0588351
     5.37401           0   0.0783169
     5.56257           0    0.132337
   0.0942809       0.017  0.00304105
    0.282843       0.302   0.0514264
    0.471405       1.224    0.166885
    0.659966       2.511    0.298547
    0.848528      2.3005    0.257875
     1.03709       4.253    0.394683
     1.22565      7.9925    0.922264
     1.41421      7.7655    0.574759
     1.60278      6.5315    0.396375
     1.79134       6.841    0.636477
      1.9799      6.4835     1.21561
     2.16846      7.7795    0.452354
     2.35702      7.0665    0.317295
     2.54558      7.5165     0.74117
     2.73415      4.7545    0.653165
     2.92271       6.725    0.326507
     3.11127      4.4775    0.464697
     3.29983       6.004    0.424897
     3.48839      4.0015    0.276834
     3.67696       2.934    0.380565
     3.86552      2.1645    0.535779
     4.05408      2.1305   0.0947769
     4.24264       2.283     0.35881
      4.4312       2.096    0.327784
     4.61976      1.0595    0.229881
     4.80833       0.456    0.147827
     4.99689       0.121   0.0778219
     5.18545       0.209    0.050473
     5.37401           0   0.0656977
     5.56257           0    0.110169
   0.0942809      0.0055  0.00255427
    0.282843      0.2515   0.0479384
    0.471405       1.701    0.213774
    0.659966       2.537      0.2793
    0.848528      2.3915    0.233268
     1.03709       3.513     0.34538
     1.22565       7.978    0.814989
     1.41421      6.5405     0.48941
     1.60278       7.983    0.393324
     1.79134      5.2505     0.66458
      1.9799       7.263     1.04008
     2.16846      6.3465    0.474118
     2.35702      9.6655    0.412024
     2.54558       7.218     0.66214
     2.73415      6.8655    0.545835
     2.92271        7.16    0.351855
     3.11127      5.8235    0.387704
     3.29983       4.449    0.359312
     3.48839      2.1575    0.276776
     3.67696       2.801    0.317833
     3.86552       1.664    0.462624
