throws,avg,err
0, 1.5194, 0
10000, 1.49648, 0.0229232
20000, 1.51954, 0.0265958
30000, 1.50165, 0.0259611
40000, 1.51318, 0.0231795
50000, 1.50854, 0.0194855
60000, 1.50371, 0.0171629
70000, 1.4967, 0.0164316
80000, 1.49556, 0.0145365
90000, 1.49196, 0.0134911
100000, 1.497, 0.0132052
110000, 1.49745, 0.0120631
120000, 1.49375, 0.0116976
130000, 1.49305, 0.0108526
140000, 1.49675, 0.0107581
150000, 1.49465, 0.0102801
160000, 1.49052, 0.0105033
170000, 1.48752, 0.0103468
180000, 1.48871, 0.00985974
190000, 1.49217, 0.00997214
200000, 1.49285, 0.00950963
210000, 1.49259, 0.00907075
220000, 1.49079, 0.00885263
230000, 1.49321, 0.00881517
240000, 1.4942, 0.0085128
250000, 1.49928, 0.00962825
260000, 1.49956, 0.00926917
270000, 1.49749, 0.0091689
280000, 1.49547, 0.00907552
290000, 1.49575, 0.00877226
300000, 1.49545, 0.00848967
310000, 1.495, 0.00823277
320000, 1.4963, 0.00808475
330000, 1.4956, 0.00787447
340000, 1.49444, 0.00773293
350000, 1.49648, 0.00778568
360000, 1.49695, 0.00758715
370000, 1.49787, 0.00744192
380000, 1.49882, 0.00731058
390000, 1.49966, 0.00717496
400000, 1.50205, 0.00739171
410000, 1.50264, 0.00723771
420000, 1.5042, 0.0072375
430000, 1.50382, 0.00708098
440000, 1.50353, 0.00692805
450000, 1.50444, 0.00683731
460000, 1.50497, 0.00671083
470000, 1.50417, 0.00661814
480000, 1.50267, 0.00665172
490000, 1.50185, 0.00656912
500000, 1.50248, 0.00647013
510000, 1.50201, 0.00636245
520000, 1.50224, 0.00624574
530000, 1.50337, 0.00623105
540000, 1.50204, 0.00625981
550000, 1.50142, 0.00617802
560000, 1.50281, 0.00622734
570000, 1.50267, 0.00612064
580000, 1.50175, 0.00608703
590000, 1.50185, 0.00598563
600000, 1.50167, 0.00588955
610000, 1.50262, 0.00587121
620000, 1.50183, 0.00583137
630000, 1.50372, 0.00604489
640000, 1.50233, 0.00611207
650000, 1.50274, 0.00603292
660000, 1.50331, 0.00596944
670000, 1.50427, 0.00595814
680000, 1.50356, 0.0059141
690000, 1.50406, 0.00585045
700000, 1.50422, 0.00576979
710000, 1.50386, 0.00570043
720000, 1.50514, 0.0057663
730000, 1.5053, 0.00568987
740000, 1.5048, 0.00563502
750000, 1.50427, 0.00558591
760000, 1.50382, 0.00553109
770000, 1.50487, 0.00555923
780000, 1.50569, 0.00555006
790000, 1.50507, 0.00551505
800000, 1.50557, 0.00546856
810000, 1.50618, 0.0054369
820000, 1.50673, 0.00539882
830000, 1.5065, 0.00533922
840000, 1.50599, 0.00530061
850000, 1.5061, 0.00523968
860000, 1.50671, 0.00521489
870000, 1.5068, 0.0051561
880000, 1.50671, 0.00509867
890000, 1.50717, 0.00506344
900000, 1.5071, 0.00500805
910000, 1.50657, 0.00498137
920000, 1.50671, 0.00492934
930000, 1.50604, 0.00492148
940000, 1.5052, 0.00494242
950000, 1.50443, 0.00495029
960000, 1.50407, 0.00491209
970000, 1.50403, 0.00486189
980000, 1.50376, 0.0048202
990000, 1.5042, 0.00479257
