throws,avg,err
0, 1.51773, 0
10000, 1.5001, 0.0176248
20000, 1.53386, 0.0352594
30000, 1.51416, 0.0317798
40000, 1.51578, 0.0246703
50000, 1.52079, 0.0207551
60000, 1.50943, 0.0208944
70000, 1.51517, 0.0189828
80000, 1.51533, 0.016742
90000, 1.50882, 0.0163272
100000, 1.50085, 0.0167835
110000, 1.49758, 0.0156643
120000, 1.49354, 0.014965
130000, 1.48843, 0.0147691
140000, 1.4858, 0.0139983
150000, 1.48204, 0.0136233
160000, 1.47864, 0.0132405
170000, 1.47878, 0.012484
180000, 1.47842, 0.0118142
190000, 1.48023, 0.011353
200000, 1.48157, 0.0108817
210000, 1.48172, 0.0103763
220000, 1.47633, 0.0112809
230000, 1.48174, 0.0120798
240000, 1.47891, 0.0119273
250000, 1.4765, 0.0117112
260000, 1.47591, 0.0112843
270000, 1.47716, 0.0109446
280000, 1.48131, 0.0113492
290000, 1.4819, 0.0109801
300000, 1.48641, 0.0115366
310000, 1.4926, 0.0127749
320000, 1.49067, 0.0125323
330000, 1.4889, 0.012286
340000, 1.48915, 0.0119324
350000, 1.48813, 0.0116407
360000, 1.49027, 0.011522
370000, 1.49075, 0.011225
380000, 1.49287, 0.0111372
390000, 1.48946, 0.0113773
400000, 1.48915, 0.0111008
410000, 1.48866, 0.0108444
420000, 1.49073, 0.0107902
430000, 1.49016, 0.0105579
440000, 1.49009, 0.0103208
450000, 1.49007, 0.010094
460000, 1.48971, 0.00988348
470000, 1.48898, 0.00970242
480000, 1.49105, 0.00972479
490000, 1.49028, 0.00955954
500000, 1.48914, 0.00943896
510000, 1.49093, 0.00942615
520000, 1.48998, 0.00929532
530000, 1.48845, 0.00924897
540000, 1.48742, 0.00913662
550000, 1.48793, 0.00898609
560000, 1.48836, 0.00883758
570000, 1.48818, 0.00868569
580000, 1.48807, 0.00853787
590000, 1.49245, 0.00946499
600000, 1.49328, 0.00934562
610000, 1.49461, 0.00929007
620000, 1.49661, 0.00935733
630000, 1.49619, 0.00921955
640000, 1.49721, 0.00913307
650000, 1.49673, 0.00900599
660000, 1.49581, 0.00891909
670000, 1.49454, 0.00887758
680000, 1.49441, 0.00874897
690000, 1.49483, 0.00863327
700000, 1.49513, 0.00851605
710000, 1.49434, 0.00843397
720000, 1.49425, 0.00831806
730000, 1.49355, 0.00823459
740000, 1.49265, 0.00817433
750000, 1.49151, 0.00814529
760000, 1.4901, 0.00816189
770000, 1.49119, 0.0081301
780000, 1.49138, 0.0080288
790000, 1.4911, 0.00793303
800000, 1.49004, 0.00790496
810000, 1.49108, 0.0078762
820000, 1.49101, 0.00778101
830000, 1.49019, 0.00773143
840000, 1.48981, 0.00764917
850000, 1.48977, 0.00755981
860000, 1.4903, 0.007491
870000, 1.48945, 0.00745366
880000, 1.48936, 0.00737
890000, 1.48968, 0.00729459
900000, 1.49098, 0.00733083
910000, 1.4912, 0.00725386
920000, 1.49269, 0.00732924
930000, 1.49275, 0.00725111
940000, 1.49344, 0.00720686
950000, 1.49232, 0.00721765
960000, 1.49216, 0.00714466
970000, 1.49303, 0.00712495
980000, 1.49297, 0.0070529
990000, 1.49331, 0.00699046
