throws,avg,err
0, 5.16013, 0
10000, 5.2038, 0.0436717
20000, 5.08115, 0.125213
30000, 4.9986, 0.121055
40000, 4.95999, 0.101406
50000, 4.95598, 0.0828944
60000, 4.97822, 0.0735033
70000, 4.97715, 0.0636647
80000, 4.97916, 0.0561829
90000, 4.99841, 0.0538136
100000, 5.01413, 0.0511501
110000, 5.03176, 0.0499124
120000, 5.03519, 0.0460404
130000, 5.03884, 0.0427817
140000, 5.03498, 0.0400146
150000, 5.05215, 0.0411799
160000, 5.04484, 0.0393664
170000, 5.04283, 0.0371694
180000, 5.06386, 0.0409714
190000, 5.06908, 0.0392175
200000, 5.07652, 0.0380369
210000, 5.0851, 0.0372697
220000, 5.0765, 0.0366358
230000, 5.08402, 0.035873
240000, 5.09102, 0.0351116
250000, 5.0937, 0.0338403
260000, 5.10105, 0.0333831
270000, 5.07337, 0.0424362
280000, 5.06878, 0.0412033
290000, 5.07004, 0.0398261
300000, 5.06728, 0.0386192
310000, 5.07123, 0.0376019
320000, 5.07245, 0.036465
330000, 5.07095, 0.0354082
340000, 5.05497, 0.0379164
350000, 5.06284, 0.0376806
360000, 5.05348, 0.0378241
370000, 5.06378, 0.0382272
380000, 5.07007, 0.0377625
390000, 5.06147, 0.0377994
400000, 5.05522, 0.0373909
410000, 5.05639, 0.0365083
420000, 5.06374, 0.0364006
430000, 5.06912, 0.0359682
440000, 5.06574, 0.0353217
450000, 5.06363, 0.0346098
460000, 5.05655, 0.0345985
470000, 5.05049, 0.0344072
480000, 5.04881, 0.0337399
490000, 5.0671, 0.0377824
500000, 5.06814, 0.0370489
510000, 5.06475, 0.0364876
520000, 5.06777, 0.0359194
530000, 5.06645, 0.0352724
540000, 5.06998, 0.0348039
550000, 5.06415, 0.0346697
560000, 5.05603, 0.0350108
570000, 5.05566, 0.0344039
580000, 5.05757, 0.0338701
590000, 5.0639, 0.0338972
600000, 5.06173, 0.0334078
610000, 5.05546, 0.0334565
620000, 5.05636, 0.0329335
630000, 5.05332, 0.0325578
640000, 5.05022, 0.0322019
650000, 5.0525, 0.0317919
660000, 5.05234, 0.0313142
670000, 5.05529, 0.0309906
680000, 5.04818, 0.0313555
690000, 5.04952, 0.0309334
700000, 5.04473, 0.0308686
710000, 5.04348, 0.0304625
720000, 5.04276, 0.0300509
730000, 5.04764, 0.0300402
740000, 5.0436, 0.0299098
750000, 5.0414, 0.0295962
760000, 5.04572, 0.0295277
770000, 5.04569, 0.0291467
780000, 5.04729, 0.0288196
790000, 5.04796, 0.0284651
800000, 5.04694, 0.02813
810000, 5.04683, 0.0277851
820000, 5.04396, 0.0275982
830000, 5.0438, 0.0272681
840000, 5.04055, 0.027141
850000, 5.03916, 0.0268595
860000, 5.03729, 0.026615
870000, 5.03783, 0.0263163
880000, 5.03652, 0.0260515
890000, 5.03923, 0.0259025
900000, 5.03924, 0.0256163
910000, 5.03531, 0.0256389
920000, 5.03231, 0.0255395
930000, 5.03086, 0.0253079
940000, 5.03117, 0.025042
950000, 5.03008, 0.0248036
960000, 5.02889, 0.0245756
970000, 5.0267, 0.0244213
980000, 5.02884, 0.0242678
990000, 5.02951, 0.0240333
