throws,avg,err
0, 5.00605, 0
10000, 5.05455, 0.0484994
20000, 5.08877, 0.0442189
30000, 5.02714, 0.069109
40000, 5.01484, 0.054926
50000, 5.00043, 0.0471051
60000, 5.01678, 0.0430391
70000, 5.0085, 0.0381815
80000, 5.01087, 0.0337557
90000, 5.02087, 0.0318065
100000, 5.05483, 0.0445051
110000, 5.09036, 0.0539734
120000, 5.05475, 0.061099
130000, 5.05768, 0.0566425
140000, 5.06048, 0.0528059
150000, 5.06201, 0.0494191
160000, 5.04628, 0.0490134
170000, 5.03906, 0.0467722
180000, 5.06095, 0.0493619
190000, 5.05236, 0.0476099
200000, 5.04636, 0.0456823
210000, 5.05245, 0.043981
220000, 5.05159, 0.042034
230000, 5.06431, 0.0422069
240000, 5.07494, 0.0418537
250000, 5.07392, 0.0402244
260000, 5.09023, 0.0420013
270000, 5.07123, 0.0447128
280000, 5.06111, 0.0443136
290000, 5.05783, 0.0429367
300000, 5.05138, 0.0420259
310000, 5.03827, 0.0427532
320000, 5.03282, 0.0417943
330000, 5.03927, 0.0410563
340000, 5.02751, 0.041564
350000, 5.04213, 0.0429575
360000, 5.04044, 0.0418145
370000, 5.04508, 0.0409623
380000, 5.05171, 0.0404468
390000, 5.05536, 0.0395912
400000, 5.05038, 0.038934
410000, 5.04971, 0.0380015
420000, 5.05277, 0.0372332
430000, 5.05421, 0.0364056
440000, 5.04437, 0.036924
450000, 5.05162, 0.0368335
460000, 5.04769, 0.0362554
470000, 5.03908, 0.0365197
480000, 5.02881, 0.0372138
490000, 5.04003, 0.0381512
500000, 5.04853, 0.0383483
510000, 5.04824, 0.0376047
520000, 5.04906, 0.0368974
530000, 5.0469, 0.0362718
540000, 5.04032, 0.0362091
550000, 5.0366, 0.0357514
560000, 5.03083, 0.0355896
570000, 5.0316, 0.0349792
580000, 5.02914, 0.0344688
590000, 5.02952, 0.0338915
600000, 5.02402, 0.0337814
610000, 5.021, 0.0333691
620000, 5.02438, 0.0330083
630000, 5.02651, 0.0325582
640000, 5.02071, 0.0325745
650000, 5.02543, 0.0324238
660000, 5.02738, 0.0319953
670000, 5.02746, 0.0315214
680000, 5.02419, 0.0312325
690000, 5.02884, 0.0311327
700000, 5.02829, 0.0306961
710000, 5.02228, 0.0308577
720000, 5.01944, 0.0305642
730000, 5.02235, 0.0302889
740000, 5.02193, 0.0298853
750000, 5.01747, 0.0298241
760000, 5.01909, 0.0294787
770000, 5.01651, 0.0292129
780000, 5.02118, 0.0292163
790000, 5.01927, 0.0289115
800000, 5.01748, 0.0286085
810000, 5.01582, 0.0283061
820000, 5.01743, 0.0280092
830000, 5.02061, 0.0278556
840000, 5.01887, 0.0275807
850000, 5.01789, 0.0272757
860000, 5.01698, 0.0269756
870000, 5.01337, 0.0269109
880000, 5.00897, 0.0269692
890000, 5.00939, 0.0266713
900000, 5.00954, 0.026377
910000, 5.00499, 0.026482
920000, 5.00147, 0.0264305
930000, 5.0013, 0.0261484
940000, 5.006, 0.0262954
950000, 5.00374, 0.0261176
960000, 5.00585, 0.0259327
970000, 5.00305, 0.0258186
980000, 5.00454, 0.0255997
990000, 5.00584, 0.0253757
