throws,avg,err
0, 4.86328, 0
10000, 4.7285, 0.134777
20000, 5.1021, 0.381616
30000, 4.95796, 0.305929
40000, 4.8885, 0.246941
50000, 4.90784, 0.202552
60000, 4.98711, 0.188653
70000, 5.02967, 0.168829
80000, 4.9664, 0.161777
90000, 4.89119, 0.163076
100000, 4.88251, 0.147763
110000, 4.89106, 0.13516
120000, 4.87124, 0.125898
130000, 4.84874, 0.118712
140000, 4.85857, 0.110951
150000, 4.86391, 0.103923
160000, 4.83019, 0.103279
170000, 4.83853, 0.097729
180000, 4.82252, 0.093818
190000, 4.8631, 0.097817
200000, 4.88307, 0.0951606
210000, 4.9084, 0.0942035
220000, 4.89942, 0.0904617
230000, 4.9253, 0.0903937
240000, 4.92856, 0.0867638
250000, 4.93464, 0.0835816
260000, 4.92595, 0.0808942
270000, 4.91203, 0.0791857
280000, 4.91808, 0.076646
290000, 4.91193, 0.0743023
300000, 4.93064, 0.0742612
310000, 4.92966, 0.0719098
320000, 4.94277, 0.0709193
330000, 4.94175, 0.0688094
340000, 4.94616, 0.0669594
350000, 4.95266, 0.0653974
360000, 4.94906, 0.0637073
370000, 4.95033, 0.0620212
380000, 4.94986, 0.0604118
390000, 4.93194, 0.0615508
400000, 4.93387, 0.0600621
410000, 4.93904, 0.0588417
420000, 4.95622, 0.05997
430000, 4.95059, 0.0588608
440000, 4.9606, 0.0584015
450000, 4.95884, 0.0571448
460000, 4.95566, 0.0560062
470000, 4.955, 0.054831
480000, 4.95124, 0.0538315
490000, 4.96448, 0.0543803
500000, 4.97114, 0.0537183
510000, 4.96675, 0.0528582
520000, 4.96684, 0.0518514
530000, 4.95532, 0.0521718
540000, 4.95372, 0.0512394
550000, 4.96042, 0.0507601
560000, 4.96536, 0.0501067
570000, 4.96989, 0.0494431
580000, 4.96404, 0.0489497
590000, 4.98564, 0.0527528
600000, 4.99798, 0.0533279
610000, 4.99458, 0.0525706
620000, 5.00148, 0.0521884
630000, 5.00352, 0.0514067
640000, 5.01008, 0.0510332
650000, 5.01423, 0.0504248
660000, 5.01431, 0.0496665
670000, 5.01022, 0.0491018
680000, 4.99999, 0.0494544
690000, 4.99294, 0.0492496
700000, 5.00032, 0.049109
710000, 4.99618, 0.0485992
720000, 4.99936, 0.0480342
730000, 5.00039, 0.0473919
740000, 4.99816, 0.046809
750000, 4.99763, 0.046192
760000, 4.99353, 0.0457721
770000, 4.99874, 0.0454805
780000, 4.99748, 0.0449188
790000, 4.99915, 0.0443854
800000, 4.99834, 0.0438414
810000, 5.0029, 0.0435426
820000, 5.00742, 0.043252
830000, 5.00203, 0.0430731
840000, 5.00136, 0.0425686
850000, 4.99741, 0.0422556
860000, 5.00122, 0.0419408
870000, 5.0112, 0.0426463
880000, 5.01118, 0.0421644
890000, 5.01172, 0.0416967
900000, 5.0114, 0.0412372
910000, 5.01411, 0.040876
920000, 5.02558, 0.0420317
930000, 5.025, 0.0415862
940000, 5.02141, 0.0413027
950000, 5.01265, 0.0417981
960000, 5.0122, 0.0413674
970000, 5.01604, 0.0411223
980000, 5.00962, 0.0412076
990000, 5.00716, 0.0408676
