throws,avg,err
0, 3.41099, 0
10000, 3.31382, 0.0971681
20000, 3.36473, 0.075756
30000, 3.35134, 0.0552163
40000, 3.33695, 0.0451241
50000, 3.33747, 0.0368473
60000, 3.3427, 0.0315785
70000, 3.34792, 0.0278416
80000, 3.3468, 0.0245794
90000, 3.34906, 0.0221003
100000, 3.34313, 0.0208524
110000, 3.33652, 0.0201499
120000, 3.33488, 0.0186078
130000, 3.32868, 0.0183109
140000, 3.33601, 0.0185577
150000, 3.33264, 0.0176828
160000, 3.32985, 0.0168437
170000, 3.32751, 0.0160521
180000, 3.34634, 0.0241898
190000, 3.35448, 0.0243493
200000, 3.35113, 0.0234011
210000, 3.35378, 0.0224693
220000, 3.35734, 0.0217622
230000, 3.36239, 0.0214387
240000, 3.36873, 0.0215188
250000, 3.36914, 0.0206787
260000, 3.36899, 0.0198986
270000, 3.36286, 0.0201296
280000, 3.35763, 0.020116
290000, 3.35907, 0.0194874
300000, 3.36364, 0.0193938
310000, 3.36314, 0.0187845
320000, 3.35957, 0.0185539
330000, 3.35469, 0.0186484
340000, 3.35146, 0.0183933
350000, 3.35432, 0.0181025
360000, 3.35337, 0.0176322
370000, 3.35215, 0.0172055
380000, 3.35403, 0.0168641
390000, 3.35128, 0.0166656
400000, 3.3505, 0.0162729
410000, 3.35134, 0.0159028
420000, 3.35418, 0.0157864
430000, 3.35302, 0.015467
440000, 3.35213, 0.0151458
450000, 3.35532, 0.0151545
460000, 3.3562, 0.0148543
470000, 3.35369, 0.0147566
480000, 3.35195, 0.0145565
490000, 3.35199, 0.0142625
500000, 3.35173, 0.0139825
510000, 3.35298, 0.0137679
520000, 3.35331, 0.0135095
530000, 3.35349, 0.0132583
540000, 3.35433, 0.0130418
550000, 3.35296, 0.01288
560000, 3.35272, 0.0126543
570000, 3.34828, 0.0132019
580000, 3.34716, 0.0130249
590000, 3.34781, 0.0128226
600000, 3.34835, 0.0126223
610000, 3.34899, 0.0124334
620000, 3.35174, 0.0125409
630000, 3.35339, 0.0124532
640000, 3.35016, 0.0126806
650000, 3.35201, 0.012624
660000, 3.35527, 0.0128555
670000, 3.35597, 0.0126842
680000, 3.35313, 0.0128181
690000, 3.35533, 0.0128236
700000, 3.35618, 0.0126702
710000, 3.3534, 0.0127985
720000, 3.35506, 0.0127313
730000, 3.35595, 0.0125893
740000, 3.35502, 0.0124552
750000, 3.35404, 0.0123291
760000, 3.35401, 0.0121679
770000, 3.35443, 0.0120181
780000, 3.35606, 0.0119772
790000, 3.3515, 0.0126741
800000, 3.35119, 0.0125206
810000, 3.34999, 0.0124254
820000, 3.34935, 0.0122912
830000, 3.35027, 0.0121784
840000, 3.34903, 0.0120977
850000, 3.34875, 0.0119596
860000, 3.34879, 0.0118214
870000, 3.34738, 0.0117707
880000, 3.34612, 0.0117055
890000, 3.34656, 0.0115829
900000, 3.34472, 0.0116013
910000, 3.34431, 0.0114819
920000, 3.34241, 0.0115146
930000, 3.34182, 0.0114068
940000, 3.3409, 0.0113239
950000, 3.33959, 0.0112809
960000, 3.33938, 0.011166
970000, 3.33925, 0.0110523
980000, 3.33905, 0.0109419
990000, 3.33856, 0.010843
