#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.015784    0.015784           0
           2     0.00061    0.008197  0.00536482
           3    0.000756  0.00571667  0.00411012
           4   -0.018256  -0.0002765  0.00603663
           5    0.014792   0.0027372  0.00553065
           6   -0.005298    0.001398  0.00476826
           7   -0.000606  0.00111171  0.00409566
           8    -0.00585   0.0002415  0.00367499
           9     0.02119  0.00256911  0.00393533
          10      0.0033   0.0026422  0.00354248
          11   -0.008078  0.00166764  0.00335181
          12    -0.00498  0.00111367  0.00311794
          13     0.00245  0.00121646  0.00287979
          14   -0.026598-0.000770286  0.00328877
          15   -0.003364  -0.0009432  0.00307406
          16   -0.005124  -0.0012045  0.00289301
          17   -0.001788 -0.00123882  0.00272304
          18    0.010184-0.000604222  0.00264467
          19   -0.002988-0.000729684  0.00250845
          20    -0.00491  -0.0009387  0.00239172
