#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.184676    0.184676           0
           2    0.183494    0.184085 0.000417948
           3    0.181516    0.183228 0.000752576
           4    0.181469    0.182789 0.000680986
           5    0.185035    0.183238 0.000676943
           6    0.181946    0.183023 0.000597361
           7    0.184724    0.183266 0.000559295
           8    0.186569    0.183678 0.000623419
           9    0.184045    0.183719  0.00055548
          10    0.185119    0.183859 0.000517275
          11    0.181175    0.183615 0.000524646
          12    0.181107    0.183406 0.000520892
          13    0.181528    0.183262 0.000500469
          14    0.181037    0.183103 0.000489297
          15    0.182367    0.183054 0.000459132
          16    0.179641     0.18284 0.000477408
          17    0.178604    0.182591 0.000510225
          18    0.184398    0.182692 0.000491656
          19    0.180442    0.182573 0.000479826
          20     0.17983    0.182436 0.000475033
