#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     496.332     496.332           0
           2         500     498.166     1.29673
           3         500     498.777    0.998227
           4         500     499.083    0.794085
           5         500     499.266    0.656102
           6         500     499.389    0.558026
           7         500     499.476    0.485093
           8         500     499.542    0.428855
           9         500     499.592    0.384218
          10         500     499.633     0.34795
          11         500     499.667    0.317912
          12         500     499.694    0.292631
          13         500     499.718    0.271064
          14         500     499.738     0.25245
          15         500     499.755    0.236224
          16         500     499.771    0.221953
          17         500     499.784    0.209307
          18         500     499.796    0.198021
          19         500     499.807    0.187889
          20         500     499.817    0.178743
