#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.356792   -0.356792           0
           2   -0.354108    -0.35545 0.000948937
           3   -0.353116   -0.354672 0.000896514
           4   -0.354508   -0.354631 0.000673322
           5   -0.355952   -0.354895 0.000588212
           6     -0.3551   -0.354929 0.000491166
           7   -0.354076   -0.354807 0.000435865
           8   -0.354076   -0.354716 0.000390854
           9   -0.354556   -0.354698 0.000347829
          10   -0.354916    -0.35472 0.000313728
          11   -0.354444   -0.354695 0.000286208
          12    -0.35502   -0.354722 0.000263637
          13   -0.353096   -0.354597  0.00027141
          14   -0.353972   -0.354552 0.000255668
          15   -0.354864   -0.354573 0.000239467
          16   -0.353232   -0.354489 0.000238718
          17   -0.354468   -0.354488 0.000224679
          18   -0.354448   -0.354486 0.000212208
          19   -0.353944   -0.354457 0.000202946
          20   -0.354292   -0.354449 0.000192967
