#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.242205    0.242205           0
           2    0.242318    0.242262 3.98888e-05
           3    0.242089    0.242204 5.39172e-05
           4     0.24161    0.242056 0.000134968
           5     0.24136    0.241916 0.000164785
           6    0.241733    0.241886 0.000140124
           7    0.242225    0.241934 0.000128228
           8    0.242921    0.242058 0.000160958
           9    0.242569    0.242115 0.000152782
          10    0.241867     0.24209 0.000139498
          11    0.242252    0.242105 0.000127594
          12    0.241858    0.242084 0.000118611
          13    0.241885    0.242069 0.000110469
          14    0.242436    0.242095 0.000105649
          15    0.241207    0.242036 0.000114005
          16    0.241486    0.242001 0.000111935
          17     0.24244    0.242027 0.000108288
          18     0.24232    0.242043 0.000103486
          19    0.241804    0.242031  9.8803e-05
          20    0.242122    0.242035 9.39688e-05
