#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0555556   0.0555556           0
           2   0.0555556   0.0555556           0
           3   0.0555556   0.0555556           0
           4   0.0555556   0.0555556           0
           5   0.0555556   0.0555556           0
           6   0.0555556   0.0555556           0
           7   0.0555556   0.0555556 2.48906e-10
           8   0.0555556   0.0555556 2.32831e-10
           9   0.0555556   0.0555556 2.19515e-10
          10   0.0555556   0.0555556  2.0825e-10
          11   0.0555556   0.0555556 3.97117e-10
          12   0.0555556   0.0555556 3.80211e-10
          13   0.0555556   0.0555556 3.65295e-10
          14   0.0555556   0.0555556 4.31119e-10
          15   0.0555556   0.0555556   4.165e-10
          16   0.0555556   0.0555556 4.03275e-10
          17   0.0555556   0.0555556 3.91234e-10
          18   0.0555556   0.0555556 3.10441e-10
          19   0.0555556   0.0555556  3.7007e-10
          20   0.0555556   0.0555556   3.607e-10
          21   0.0555556   0.0555556 3.52007e-10
          22   0.0555556   0.0555556 3.43914e-10
          23   0.0555556   0.0555556 3.07048e-10
          24   0.0555556   0.0555556  2.6885e-10
          25   0.0555556   0.0555556 2.63418e-10
          26   0.0555556   0.0555556 2.58302e-10
          27   0.0555556   0.0555556 2.53474e-10
          28   0.0555556   0.0555556 2.15559e-10
          29   0.0555556   0.0555556  2.1181e-10
          30   0.0555556   0.0555556  2.0825e-10
          31   0.0555556   0.0555556  1.6727e-10
          32   0.0555556   0.0555556 1.64636e-10
          33   0.0555556   0.0555556 1.62122e-10
          34   0.0555556   0.0555556 1.12939e-10
          35   0.0555556   0.0555556 1.11314e-10
          36   0.0555556   0.0555556 1.09757e-10
          37   0.0555556   0.0555556           0
          38   0.0555556   0.0555556  1.0683e-10
          39   0.0555556   0.0555556 1.82647e-10
          40   0.0555556   0.0555556 2.32831e-10
          41   0.0555556   0.0555556 2.29974e-10
          42   0.0555556   0.0555556  2.6885e-10
          43   0.0555556   0.0555556 3.01281e-10
          44   0.0555556   0.0555556 2.97838e-10
          45   0.0555556   0.0555556 3.25593e-10
          46   0.0555556   0.0555556 3.22035e-10
          47   0.0555556   0.0555556 3.46344e-10
          48   0.0555556   0.0555556 3.42717e-10
          49   0.0555556   0.0555556 3.64362e-10
          50   0.0555556   0.0555556 3.72529e-10
          51   0.0555556   0.0555556 3.91234e-10
          52   0.0555556   0.0555556 3.87454e-10
          53   0.0555556   0.0555556 3.83781e-10
          54   0.0555556   0.0555556  3.9063e-10
          55   0.0555556   0.0555556 3.87062e-10
          56   0.0555556   0.0555556 4.03275e-10
          57   0.0555556   0.0555556 3.99721e-10
          58   0.0555556   0.0555556  3.9626e-10
          59   0.0555556   0.0555556 4.20015e-10
          60   0.0555556   0.0555556   4.165e-10
          61   0.0555556   0.0555556 4.13072e-10
          62   0.0555556   0.0555556 4.09727e-10
          63   0.0555556   0.0555556  4.2306e-10
          64   0.0555556   0.0555556 4.19741e-10
          65   0.0555556   0.0555556   4.165e-10
          66   0.0555556   0.0555556 4.21206e-10
          67   0.0555556   0.0555556 4.18051e-10
          68   0.0555556   0.0555556 4.14966e-10
          69   0.0555556   0.0555556 4.11948e-10
          70   0.0555556   0.0555556 4.08995e-10
          71   0.0555556   0.0555556 4.20877e-10
          72   0.0555556   0.0555556 4.10675e-10
          73   0.0555556   0.0555556 4.00503e-10
          74   0.0555556   0.0555556 3.97788e-10
          75   0.0555556   0.0555556 3.80211e-10
          76   0.0555556   0.0555556 3.62278e-10
          77   0.0555556   0.0555556 3.59918e-10
          78   0.0555556   0.0555556 3.41702e-10
          79   0.0555556   0.0555556 3.39532e-10
          80   0.0555556   0.0555556 3.29272e-10
          81   0.0555556   0.0555556 3.27233e-10
          82   0.0555556   0.0555556 2.99849e-10
          83   0.0555556   0.0555556 2.98037e-10
          84   0.0555556   0.0555556  2.6885e-10
          85   0.0555556   0.0555556 2.57542e-10
          86   0.0555556   0.0555556 2.35522e-10
          87   0.0555556   0.0555556 2.23267e-10
          88   0.0555556   0.0555556 1.85735e-10
          89   0.0555556   0.0555556 1.84688e-10
          90   0.0555556   0.0555556  1.5522e-10
          91   0.0555556   0.0555556 1.38068e-10
          92   0.0555556   0.0555556 1.37316e-10
          93   0.0555556   0.0555556 6.82879e-11
          94   0.0555556   0.0555556 6.79237e-11
          95   0.0555556   0.0555556 9.55517e-11
          96   0.0555556   0.0555556 9.50527e-11
          97   0.0555556   0.0555556 1.15814e-10
          98   0.0555556   0.0555556  1.4875e-10
          99   0.0555556   0.0555556 1.62122e-10
         100   0.0555556   0.0555556  1.6131e-10
         101   0.0555556   0.0555556  1.8534e-10
         102   0.0555556   0.0555556 1.84429e-10
         103   0.0555556   0.0555556 1.94665e-10
         104   0.0555556   0.0555556 2.14173e-10
         105   0.0555556   0.0555556 2.22629e-10
         106   0.0555556   0.0555556 2.21576e-10
         107   0.0555556   0.0555556 2.46569e-10
         108   0.0555556   0.0555556 2.45425e-10
         109   0.0555556   0.0555556 2.44297e-10
         110   0.0555556   0.0555556 2.66394e-10
         111   0.0555556   0.0555556 2.65192e-10
         112   0.0555556   0.0555556 2.71239e-10
         113   0.0555556   0.0555556 2.70037e-10
         114   0.0555556   0.0555556 2.82646e-10
         115   0.0555556   0.0555556 2.88037e-10
         116   0.0555556   0.0555556 2.86792e-10
         117   0.0555556   0.0555556 2.85564e-10
         118   0.0555556   0.0555556 2.96995e-10
         119   0.0555556   0.0555556 2.95745e-10
         120   0.0555556   0.0555556  2.9451e-10
         121   0.0555556   0.0555556 2.99338e-10
         122   0.0555556   0.0555556 3.09804e-10
         123   0.0555556   0.0555556 3.08542e-10
         124   0.0555556   0.0555556 3.12934e-10
         125   0.0555556   0.0555556  3.1168e-10
         126   0.0555556   0.0555556 3.21337e-10
         127   0.0555556   0.0555556  3.2536e-10
         128   0.0555556   0.0555556 3.24087e-10
         129   0.0555556   0.0555556 3.22828e-10
         130   0.0555556   0.0555556  3.2673e-10
         131   0.0555556   0.0555556 3.35497e-10
         132   0.0555556   0.0555556 3.34224e-10
         133   0.0555556   0.0555556 3.32965e-10
         134   0.0555556   0.0555556 3.36563e-10
         135   0.0555556   0.0555556 3.35314e-10
         136   0.0555556   0.0555556 3.38818e-10
         137   0.0555556   0.0555556  3.3758e-10
         138   0.0555556   0.0555556 3.40994e-10
         139   0.0555556   0.0555556 3.39765e-10
         140   0.0555556   0.0555556 3.38549e-10
         141   0.0555556   0.0555556 3.41875e-10
         142   0.0555556   0.0555556 3.49519e-10
         143   0.0555556   0.0555556 3.48295e-10
         144   0.0555556   0.0555556 3.38295e-10
         145   0.0555556   0.0555556 3.37127e-10
