#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     3.39993     3.39993           0
           2      4.4258     3.91287    0.362698
           3     4.65325     4.15966    0.314756
           4     4.59146     4.26761    0.253905
           5     4.58109     4.33031    0.210722
           6      4.4625     4.35234     0.17675
           7     4.46706     4.36873    0.152258
           8     4.62981     4.40136    0.136679
           9     4.37169     4.39807    0.121532
          10     4.52165     4.41042    0.110005
          11     4.31122     4.40141    0.100374
          12     4.46997     4.40712   0.0921716
          13     4.43485     4.40925   0.0851062
          14     4.36905     4.40638   0.0790756
          15     4.46271     4.41014    0.073893
          16     4.34935     4.40634   0.0693723
          17     4.67444     4.42211   0.0670602
          18     4.54467     4.42892   0.0636793
          19     4.59488     4.43765   0.0609239
          20     4.54649     4.44309   0.0581203
          21     4.34433     4.43839   0.0555426
          22     4.54508     4.44324   0.0532292
          23     4.45098     4.44358   0.0509159
          24     4.50066     4.44596     0.04885
          25     4.38421     4.44349   0.0469584
          26     4.77091     4.45608   0.0468104
          27     4.41586     4.45459   0.0451004
          28     4.76595     4.46571   0.0448396
          29     4.40283     4.46354   0.0433458
          30     4.54819     4.46636   0.0419927
          31     4.68948     4.47356   0.0412503
          32     4.50713     4.47461   0.0399745
          33     4.65959     4.48021   0.0391542
          34     4.48989      4.4805   0.0380037
          35     4.36252     4.47713    0.037067
          36     4.45425     4.47649   0.0360428
          37     4.70812     4.48275   0.0356082
          38     4.51331     4.48356   0.0346803
          39     4.53777     4.48495   0.0338189
          40     4.62652     4.48849   0.0331581
          41     4.52192      4.4893   0.0323594
          42     4.67856     4.49381   0.0319011
          43     4.41593       4.492   0.0312106
          44     4.63269     4.49519   0.0306646
          45     4.50741     4.49547   0.0299844
          46     4.63948      4.4986   0.0294956
          47     4.44874     4.49754   0.0288871
          48     4.22526     4.49186   0.0288368
          49     4.67484      4.4956   0.0284891
          50     4.41574       4.494    0.027964
          51     4.72782     4.49859    0.027789
          52     4.49545     4.49853   0.0272546
          53     4.55435     4.49958   0.0267607
          54     4.57915     4.50105   0.0263057
          55     4.59484     4.50276   0.0258826
          56     4.64306     4.50526   0.0255414
          57     4.60113     4.50694   0.0251486
          58     4.74342     4.51102   0.0250434
          59     4.74781     4.51504   0.0249384
          60     4.65179     4.51731   0.0246267
          61        4.66     4.51965   0.0243338
          62     4.76634     4.52363   0.0242645
          63     4.53127     4.52375   0.0238796
          64     4.54988     4.52416     0.02351
          65     4.55685     4.52466   0.0231537
          66     4.44313     4.52343   0.0228358
          67     4.42062     4.52189   0.0225465
          68     4.69184     4.52439    0.022353
          69     4.56204     4.52494   0.0220357
          70     4.52976     4.52501    0.021721
          71     4.67236     4.52708    0.021514
          72     4.33478     4.52441   0.0213803
          73     4.72891     4.52721   0.0212702
          74     4.58254     4.52796   0.0209959
          75     4.56931     4.52851   0.0207232
          76     4.37347     4.52647   0.0205506
          77     4.55655     4.52686   0.0202875
          78     4.71933     4.52933   0.0201769
          79     4.54358     4.52951   0.0199223
          80     4.57701     4.53011   0.0196821
          81     4.55629     4.53043   0.0194418
          82     4.45465      4.5295   0.0192266
          83     4.83607      4.5332   0.0193465
          84     4.60654     4.53407   0.0191359
          85     4.55571     4.53433   0.0189124
          86     4.62159     4.53534   0.0187197
          87     4.28953     4.53251   0.0187165
          88     4.39676     4.53097   0.0185673
          89     4.45506     4.53012   0.0183783
          90      4.5926     4.53081   0.0181872
          91     4.64252     4.53204   0.0180287
          92     4.51331     4.53184   0.0178339
          93     4.39829      4.5304   0.0176998
          94     4.60895     4.53124   0.0175313
          95     4.62712     4.53225   0.0173758
          96     4.54761     4.53241   0.0171955
          97      4.2635     4.52963   0.0172402
          98     4.56847     4.53003   0.0170689
          99     4.54944     4.53023   0.0168976
         100     4.46396     4.52956   0.0167416
         101     4.16449     4.52595   0.0169615
         102     4.76803     4.52832   0.0169605
         103     4.40407     4.52712   0.0168387
         104     4.64975      4.5283    0.016718
         105     4.59257     4.52891     0.01657
         106     4.41733     4.52785   0.0164471
         107     4.32061     4.52592    0.016407
         108     4.48762     4.52556   0.0162589
         109     4.33592     4.52382   0.0162026
         110     4.41932     4.52287   0.0160831
         111     4.40243     4.52179   0.0159748
         112     4.43003     4.52097   0.0158531
         113     4.56724     4.52138   0.0157181
         114     4.62235     4.52226   0.0156052
         115     4.36122     4.52086   0.0155322
         116     4.70129     4.52242    0.015476
         117     4.42453     4.52158   0.0153663
         118     4.44321     4.52092   0.0152504
         119     4.52273     4.52093   0.0151223
         120     4.50779     4.52082   0.0149967
         121     4.70049     4.52231    0.014946
         122     4.63175     4.52321   0.0148504
         123     4.58668     4.52372   0.0147387
         124      4.6173     4.52448   0.0146391
         125     4.18176     4.52173   0.0147765
         126      4.3994     4.52076   0.0146911
         127     4.31272     4.51913   0.0146665
         128     4.65325     4.52017   0.0145893
         129     4.48884     4.51993   0.0144782
         130     4.50077     4.51978   0.0143676
         131     4.76776     4.52168   0.0143821
         132     4.72617     4.52323   0.0143563
         133     4.37654     4.52212   0.0142907
         134     4.69261      4.5234   0.0142405
         135      4.2861     4.52164   0.0142431
         136     4.65337     4.52261   0.0141713
         137     4.42708     4.52191    0.014085
         138     4.62163     4.52263   0.0140015
         139     4.49853     4.52246   0.0139018
         140     4.75683     4.52413   0.0139029
         141     4.28684     4.52245   0.0139058
         142     4.48808     4.52221     0.01381
         143     4.47644     4.52189   0.0137171
         144     4.50794     4.52179   0.0136222
         145     4.73701     4.52327   0.0136089
         146     4.39555      4.5224   0.0135438
         147     4.16216     4.51995   0.0136715
         148     4.38905     4.51906   0.0136077
         149     4.64922     4.51994   0.0135444
         150     4.55044     4.52014   0.0134556
         151      4.4815     4.51989    0.013369
         152     4.80378     4.52175   0.0134108
         153     4.08133     4.51887   0.0136286
         154     4.63237     4.51961     0.01356
         155     4.70573     4.52081   0.0135256
         156     4.43367     4.52025   0.0134504
         157     4.59431     4.52073    0.013373
         158     4.46105     4.52035   0.0132937
         159     4.35676     4.51932   0.0132499
         160     4.29263      4.5179   0.0132426
         161     4.79466     4.51962   0.0132714
         162     4.69808     4.52072   0.0132352
         163     4.58035     4.52109    0.013159
         164     4.60316     4.52159   0.0130883
         165     4.27205     4.52008   0.0130961
         166     4.26415     4.51853   0.0131076
         167     4.46091     4.51819   0.0130336
         168     4.52424     4.51823   0.0129561
         169     4.59268     4.51867   0.0128869
         170     4.73175     4.51992    0.012872
