#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    -2717.02    -2717.02           0
           2    -2637.08    -2677.05      28.263
           3    -2612.22    -2655.44     25.8122
           4    -2623.01    -2647.33     20.5931
           5    -2617.45    -2641.35     17.3201
           6    -2631.66    -2639.74     14.5087
           7    -2634.37    -2638.97     12.4563
           8    -2615.43    -2636.03     11.2414
           9    -2637.17    -2636.15     9.99312
          10    -2628.44    -2635.38      9.0235
          11    -2646.86    -2636.43     8.26328
          12    -2629.63    -2635.86     7.59407
          13    -2633.07    -2635.65     7.01295
          14    -2642.59    -2636.14     6.52955
          15    -2636.65    -2636.18     6.09433
          16    -2646.19     -2636.8     5.74547
          17    -2615.43    -2635.54     5.54337
          18    -2627.66    -2635.11     5.25269
          19    -2623.15    -2634.48     5.01375
          20    -2622.42    -2633.87     4.79915
          21    -2637.93    -2634.07      4.5745
          22    -2622.09    -2633.52     4.39884
          23    -2629.23    -2633.34     4.21154
          24    -2626.64    -2633.06     4.04528
          25    -2638.87    -2633.29     3.89014
          26    -2606.63    -2632.26     3.87333
          27    -2632.46    -2632.27     3.72988
          28    -2608.29    -2631.41     3.69371
          29    -2640.56    -2631.73     3.57978
          30    -2624.67     -2631.5     3.46818
          31    -2613.04     -2630.9     3.40701
          32    -2627.42    -2630.79     3.30227
          33     -2617.1    -2630.38     3.22817
          34    -2628.83    -2630.33     3.13354
          35    -2644.86    -2630.75     3.07137
          36    -2634.65    -2630.85     2.98797
          37    -2606.82     -2630.2     2.97699
          38     -2624.1    -2630.04     2.90297
          39    -2625.25    -2629.92     2.83113
          40    -2622.11    -2629.73     2.76708
          41    -2625.06    -2629.61     2.70193
          42    -2609.34    -2629.13     2.68036
          43    -2636.22    -2629.29      2.6231
          44     -2614.3    -2628.95     2.58553
          45    -2631.84    -2629.02     2.52886
          46    -2612.58    -2628.66     2.49901
          47    -2630.81    -2628.71     2.44626
          48    -2653.74    -2629.23     2.45024
          49    -2612.24    -2628.88     2.42465
          50    -2633.31    -2628.97     2.37777
          51     -2605.5    -2628.51     2.37528
          52    -2631.57    -2628.57     2.33033
          53    -2630.58    -2628.61     2.28668
          54    -2620.03    -2628.45     2.24984
          55    -2624.16    -2628.37     2.21029
          56    -2617.17    -2628.17     2.17984
          57    -2619.83    -2628.02      2.1465
          58    -2607.85    -2627.68     2.13749
          59    -2610.17    -2627.38     2.12177
          60    -2616.61     -2627.2     2.09398
          61     -2610.9    -2626.93     2.07663
          62    -2601.95    -2626.53     2.08185
          63    -2628.44    -2626.56     2.04903
          64    -2622.35    -2626.49     2.01807
          65    -2623.91    -2626.45     1.98741
          66    -2634.02    -2626.57      1.9606
          67    -2638.82    -2626.75     1.93984
          68    -2615.67    -2626.59     1.91815
          69    -2620.03    -2626.49     1.89271
          70    -2627.19     -2626.5     1.86569
          71    -2614.91    -2626.34     1.84655
          72    -2642.26    -2626.56      1.8341
          73    -2612.07    -2626.36     1.81969
          74    -2622.79    -2626.31     1.79574
          75    -2621.35    -2626.25     1.77302
          76    -2642.66    -2626.46     1.76278
          77    -2626.08    -2626.46      1.7399
          78     -2612.1    -2626.27      1.7273
          79    -2628.52     -2626.3     1.70567
          80    -2620.91    -2626.24     1.68568
          81    -2626.25    -2626.24     1.66487
          82    -2633.96    -2626.33     1.64723
          83    -2598.91       -2626     1.66017
          84    -2622.22    -2625.95     1.64102
          85    -2625.11    -2625.94     1.62174
          86    -2610.16    -2625.76     1.61324
          87    -2645.79    -2625.99     1.61104
          88    -2644.29     -2626.2      1.6061
          89    -2631.21    -2626.26     1.58904
          90    -2618.97    -2626.17     1.57345
          91    -2612.78    -2626.03     1.56303
          92    -2625.18    -2626.02     1.54607
          93    -2639.63    -2626.16     1.53635
          94    -2621.53    -2626.12      1.5208
          95    -2618.38    -2626.03     1.50697
          96    -2628.69    -2626.06     1.49153
          97    -2648.71     -2626.3     1.49432
          98     -2623.2    -2626.26      1.4794
          99    -2623.39    -2626.23     1.46474
         100    -2630.52    -2626.28     1.45072
         101    -2661.02    -2626.62     1.47657
         102    -2611.31    -2626.47      1.4697
         103       -2636    -2626.56     1.45834
         104    -2618.05    -2626.48     1.44661
         105    -2613.91    -2626.36     1.43778
         106    -2636.33    -2626.46     1.42729
         107    -2648.11    -2626.66     1.42823
         108    -2633.14    -2626.72     1.41627
         109    -2639.66    -2626.84     1.40825
         110    -2636.96    -2626.93     1.39844
         111    -2639.09    -2627.04     1.39013
         112    -2632.48    -2627.09     1.37857
         113    -2624.41    -2627.06     1.36657
         114    -2610.85    -2626.92     1.36197
         115    -2641.41    -2627.05     1.35594
         116    -2610.52    -2626.91     1.35172
         117     -2635.6    -2626.98      1.3422
         118    -2634.36    -2627.04     1.33229
         119    -2621.99       -2627     1.32177
         120    -2631.77    -2627.04     1.31135
         121    -2611.38    -2626.91     1.30688
         122    -2618.14    -2626.84     1.29815
         123     -2617.2    -2626.76     1.28995
         124    -2617.22    -2626.68     1.28184
         125    -2650.95    -2626.88      1.2862
         126    -2633.61    -2626.93      1.2771
         127     -2648.2     -2627.1     1.27798
         128    -2619.42    -2627.04     1.26941
         129    -2626.91    -2627.04     1.25957
         130    -2622.98    -2627.01     1.25026
         131    -2604.66    -2626.84      1.2523
         132    -2609.92    -2626.71     1.24935
         133    -2640.56    -2626.81     1.24429
         134    -2612.06     -2626.7     1.23987
         135    -2648.23    -2626.86      1.2409
         136    -2614.53    -2626.77     1.23508
         137    -2637.22    -2626.85     1.22842
         138    -2610.31    -2626.73     1.22535
