#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1    0.333333    0.333333           0
           2    0.333333    0.333333           0
           3    0.333333    0.333333 3.72529e-09
           4    0.333333    0.333333           0
           5    0.333333    0.333333   1.666e-09
           6    0.333333    0.333333 2.63418e-09
           7    0.333333    0.333333 2.43877e-09
           8    0.333333    0.333333 2.28127e-09
           9    0.333333    0.333333  2.1508e-09
          10    0.333333    0.333333 2.35608e-09
          11    0.333333    0.333333 2.24643e-09
          12    0.333333    0.333333 2.40466e-09
          13    0.333333    0.333333 1.46118e-09
          14    0.333333    0.333333 1.40803e-09
          15    0.333333    0.333333           0
          16    0.333333    0.333333           0
          17    0.333333    0.333333           0
          18    0.333333    0.333333 1.24176e-09
          19    0.333333    0.333333 1.20864e-09
          20    0.333333    0.333333  1.4428e-09
          21    0.333333    0.333333 1.40803e-09
          22    0.333333    0.333333 1.58847e-09
          23    0.333333    0.333333 2.05516e-09
          24    0.333333    0.333333 1.70035e-09
          25    0.333333    0.333333   1.666e-09
          26    0.333333    0.333333 1.26542e-09
          27    0.333333    0.333333 1.43386e-09
          28    0.333333    0.333333 7.04014e-10
          29    0.333333    0.333333 6.91769e-10
          30    0.333333    0.333333 9.61866e-10
          31    0.333333    0.333333 6.69082e-10
          32    0.333333    0.333333 6.58545e-10
          33    0.333333    0.333333  6.4849e-10
          34    0.333333    0.333333 1.10658e-09
          35    0.333333    0.333333 8.90515e-10
          36    0.333333    0.333333  1.0754e-09
          37    0.333333    0.333333 1.22487e-09
          38    0.333333    0.333333 1.20864e-09
          39    0.333333    0.333333 1.68722e-09
          40    0.333333    0.333333 1.76706e-09
          41    0.333333    0.333333 1.74538e-09
          42    0.333333    0.333333 1.81776e-09
          43    0.333333    0.333333 1.79649e-09
          44    0.333333    0.333333 1.86265e-09
          45    0.333333    0.333333 2.07787e-09
          46    0.333333    0.333333 2.12729e-09
          47    0.333333    0.333333 2.10454e-09
          48    0.333333    0.333333 1.86265e-09
          49    0.333333    0.333333 1.91882e-09
          50    0.333333    0.333333 2.10734e-09
          51    0.333333    0.333333 2.08658e-09
          52    0.333333    0.333333 2.13002e-09
          53    0.333333    0.333333 2.10983e-09
          54    0.333333    0.333333  2.0902e-09
          55    0.333333    0.333333 2.13115e-09
          56    0.333333    0.333333 2.11204e-09
          57    0.333333    0.333333 2.09343e-09
          58    0.333333    0.333333 2.13218e-09
          59    0.333333    0.333333 2.22251e-09
          60    0.333333    0.333333 2.20391e-09
          61    0.333333    0.333333 2.18577e-09
          62    0.333333    0.333333 2.21909e-09
          63    0.333333    0.333333 2.20141e-09
          64    0.333333    0.333333 2.18415e-09
          65    0.333333    0.333333 2.16728e-09
          66    0.333333    0.333333  2.1508e-09
          67    0.333333    0.333333 2.18266e-09
          68    0.333333    0.333333 2.16655e-09
          69    0.333333    0.333333  2.1508e-09
          70    0.333333    0.333333 2.13538e-09
          71    0.333333    0.333333 2.12029e-09
          72    0.333333    0.333333 2.28127e-09
          73    0.333333    0.333333 2.22323e-09
          74    0.333333    0.333333 2.16528e-09
          75    0.333333    0.333333 2.10734e-09
          76    0.333333    0.333333 2.09343e-09
          77    0.333333    0.333333   2.036e-09
          78    0.333333    0.333333 2.02291e-09
          79    0.333333    0.333333 1.96588e-09
          80    0.333333    0.333333 1.90864e-09
          81    0.333333    0.333333 1.89682e-09
          82    0.333333    0.333333 1.83979e-09
          83    0.333333    0.333333 1.82867e-09
          84    0.333333    0.333333 1.77173e-09
          85    0.333333    0.333333 1.76128e-09
          86    0.333333    0.333333  1.7043e-09
          87    0.333333    0.333333 1.69448e-09
          88    0.333333    0.333333 1.63736e-09
          89    0.333333    0.333333 1.62813e-09
          90    0.333333    0.333333 1.57072e-09
          91    0.333333    0.333333 1.56207e-09
          92    0.333333    0.333333 1.64779e-09
          93    0.333333    0.333333 1.63891e-09
          94    0.333333    0.333333 1.58424e-09
          95    0.333333    0.333333 1.57588e-09
          96    0.333333    0.333333 1.42262e-09
          97    0.333333    0.333333 1.36379e-09
          98    0.333333    0.333333 1.35681e-09
          99    0.333333    0.333333 1.29698e-09
         100    0.333333    0.333333 1.29048e-09
         101    0.333333    0.333333 1.28407e-09
         102    0.333333    0.333333 1.22337e-09
         103    0.333333    0.333333 1.21741e-09
         104    0.333333    0.333333 1.21155e-09
         105    0.333333    0.333333 1.14965e-09
         106    0.333333    0.333333 1.14421e-09
         107    0.333333    0.333333 1.13885e-09
         108    0.333333    0.333333  1.0754e-09
         109    0.333333    0.333333 1.07045e-09
         110    0.333333    0.333333 1.23042e-09
         111    0.333333    0.333333 1.17272e-09
         112    0.333333    0.333333 1.16747e-09
         113    0.333333    0.333333  1.1623e-09
         114    0.333333    0.333333 1.15719e-09
         115    0.333333    0.333333 1.09853e-09
         116    0.333333    0.333333 1.09378e-09
         117    0.333333    0.333333  1.0891e-09
         118    0.333333    0.333333 1.02882e-09
         119    0.333333    0.333333 1.02449e-09
         120    0.333333    0.333333 1.02021e-09
         121    0.333333    0.333333 1.01599e-09
         122    0.333333    0.333333 9.53949e-10
         123    0.333333    0.333333 9.50063e-10
         124    0.333333    0.333333 9.46225e-10
         125    0.333333    0.333333 9.42432e-10
         126    0.333333    0.333333 8.78059e-10
         127    0.333333    0.333333 8.74596e-10
         128    0.333333    0.333333 8.71172e-10
         129    0.333333    0.333333 8.67789e-10
         130    0.333333    0.333333 8.64445e-10
         131    0.333333    0.333333  7.9726e-10
         132    0.333333    0.333333 7.94235e-10
         133    0.333333    0.333333 7.91243e-10
         134    0.333333    0.333333 7.88285e-10
         135    0.333333    0.333333 7.16932e-10
         136    0.333333    0.333333 7.14292e-10
         137    0.333333    0.333333  7.1168e-10
         138    0.333333    0.333333 7.09097e-10
         139    0.333333    0.333333 7.06542e-10
         140    0.333333    0.333333 7.04014e-10
         141    0.333333    0.333333 6.27452e-10
         142    0.333333    0.333333 6.25239e-10
         143    0.333333    0.333333 6.23049e-10
         144    0.333333    0.333333 6.94167e-10
         145    0.333333    0.333333 6.91769e-10
         146    0.333333    0.333333 7.55195e-10
         147    0.333333    0.333333 8.12925e-10
         148    0.333333    0.333333 8.10174e-10
         149    0.333333    0.333333 8.63201e-10
         150    0.333333    0.333333 9.12506e-10
         151    0.333333    0.333333 9.09479e-10
         152    0.333333    0.333333 9.55517e-10
         153    0.333333    0.333333 9.98874e-10
         154    0.333333    0.333333 1.08236e-09
         155    0.333333    0.333333 1.11959e-09
         156    0.333333    0.333333 1.11599e-09
         157    0.333333    0.333333 1.15148e-09
         158    0.333333    0.333333 1.18547e-09
         159    0.333333    0.333333 1.18174e-09
         160    0.333333    0.333333  1.2143e-09
         161    0.333333    0.333333 1.21052e-09
         162    0.333333    0.333333 1.24176e-09
         163    0.333333    0.333333 1.23795e-09
         164    0.333333    0.333333 1.26799e-09
         165    0.333333    0.333333 1.29698e-09
         166    0.333333    0.333333 1.29307e-09
         167    0.333333    0.333333 1.32103e-09
         168    0.333333    0.333333 1.31709e-09
         169    0.333333    0.333333 1.34409e-09
         170    0.333333    0.333333 1.34013e-09
         171    0.333333    0.333333 1.36624e-09
         172    0.333333    0.333333 1.36226e-09
         173    0.333333    0.333333 1.38753e-09
         174    0.333333    0.333333 1.38354e-09
         175    0.333333    0.333333 1.40803e-09
         176    0.333333    0.333333 1.40402e-09
         177    0.333333    0.333333 1.42778e-09
         178    0.333333    0.333333 1.42376e-09
         179    0.333333    0.333333 1.41978e-09
         180    0.333333    0.333333  1.4428e-09
         181    0.333333    0.333333 1.43881e-09
         182    0.333333    0.333333 1.46118e-09
         183    0.333333    0.333333 1.45718e-09
         184    0.333333    0.333333 1.47894e-09
         185    0.333333    0.333333 1.47494e-09
         186    0.333333    0.333333 1.49611e-09
         187    0.333333    0.333333 1.49211e-09
         188    0.333333    0.333333 1.48813e-09
         189    0.333333    0.333333 1.50872e-09
         190    0.333333    0.333333 1.50475e-09
         191    0.333333    0.333333 1.52482e-09
         192    0.333333    0.333333 1.47255e-09
         193    0.333333    0.333333 1.46873e-09
         194    0.333333    0.333333 1.41527e-09
         195    0.333333    0.333333 1.33387e-09
         196    0.333333    0.333333 1.35681e-09
         197    0.333333    0.333333 1.30027e-09
         198    0.333333    0.333333 1.29698e-09
         199    0.333333    0.333333 1.23864e-09
         200    0.333333    0.333333 1.14821e-09
