#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.01573    -5.01573           0
           2    -4.94139    -4.97856   0.0262821
           3    -4.91805    -4.95839   0.0240457
           4     -4.9282    -4.95084   0.0191828
           5    -4.92297    -4.94527    0.016136
           6    -4.93631    -4.94378   0.0135155
           7    -4.93885    -4.94307    0.011603
           8    -4.92107    -4.94032   0.0104735
           9    -4.94149    -4.94045   0.0093106
          10     -4.9333    -4.93974  0.00840696
          11    -4.95055    -4.94072  0.00769997
          12    -4.93441    -4.94019  0.00707623
          13    -4.93764       -4.94  0.00653464
          14    -4.94656    -4.94047  0.00608466
          15      -4.941     -4.9405  0.00567912
          16    -4.94992    -4.94109  0.00535461
          17    -4.92107    -4.93991  0.00516753
          18    -4.93256     -4.9395  0.00489655
          19    -4.92833    -4.93892  0.00467401
          20    -4.92765    -4.93835  0.00447414
          21    -4.94219    -4.93854  0.00426482
          22    -4.92733    -4.93803  0.00410124
          23    -4.93404    -4.93785  0.00392659
          24    -4.93161    -4.93759  0.00377159
          25    -4.94307    -4.93781  0.00362709
          26    -4.91278    -4.93685  0.00361307
          27    -4.93706    -4.93686  0.00347926
          28    -4.91435    -4.93605  0.00344663
          29    -4.94466    -4.93635  0.00334052
          30    -4.92976    -4.93613  0.00323639
          31    -4.91882    -4.93557  0.00317978
          32    -4.93234    -4.93547  0.00308201
          33    -4.92264    -4.93508  0.00301304
          34    -4.93366    -4.93504  0.00292471
          35    -4.94868    -4.93543  0.00286699
          36    -4.93912    -4.93553  0.00278918
          37    -4.91296    -4.93492  0.00277969
          38    -4.92922    -4.93477  0.00271058
          39    -4.93031    -4.93466   0.0026435
          40    -4.92735    -4.93448  0.00258371
          41    -4.93013    -4.93437  0.00252287
          42    -4.91534    -4.93392  0.00250316
          43    -4.94059    -4.93407  0.00244976
          44    -4.92001    -4.93375  0.00241485
          45    -4.93648    -4.93381  0.00236195
          46    -4.91839    -4.93348  0.00233428
          47    -4.93552    -4.93352  0.00228502
          48    -4.95698    -4.93401  0.00228907
          49    -4.91807    -4.93368  0.00226536
          50    -4.93787    -4.93377   0.0022216
          51    -4.91172    -4.93334  0.00221971
          52    -4.93624    -4.93339  0.00217773
          53    -4.93531    -4.93343  0.00213694
          54    -4.92539    -4.93328  0.00210254
          55    -4.92928    -4.93321  0.00206557
          56    -4.92271    -4.93302  0.00203717
          57    -4.92521    -4.93288  0.00200603
          58    -4.91393    -4.93255  0.00199787
          59    -4.91612    -4.93228  0.00198334
          60    -4.92218    -4.93211   0.0019574
          61    -4.91681    -4.93186  0.00194132
          62    -4.90837    -4.93148   0.0019466
          63    -4.93329    -4.93151  0.00191592
          64    -4.92758    -4.93145  0.00188696
          65    -4.92905    -4.93141  0.00185829
          66    -4.93852    -4.93152  0.00183326
          67    -4.94303    -4.93169  0.00181393
          68    -4.92129    -4.93154  0.00179368
          69     -4.9254    -4.93145  0.00176989
          70    -4.93212    -4.93146  0.00174464
          71    -4.92058     -4.9313  0.00172678
          72    -4.94625    -4.93151  0.00171523
          73    -4.91791    -4.93132  0.00170183
          74    -4.92799    -4.93128  0.00167942
          75    -4.92664    -4.93122  0.00165817
          76    -4.94662    -4.93142  0.00164869
          77    -4.93108    -4.93142  0.00162728
          78    -4.91794    -4.93124  0.00161557
          79    -4.93337    -4.93127  0.00159534
          80    -4.92623    -4.93121  0.00157664
          81    -4.93124    -4.93121  0.00155718
          82    -4.93848     -4.9313  0.00154071
          83    -4.90551    -4.93098  0.00155316
          84    -4.92746    -4.93094  0.00153524
          85    -4.93017    -4.93093   0.0015172
          86    -4.91611    -4.93076  0.00150932
          87    -4.94955    -4.93098  0.00150734
          88    -4.94815    -4.93117   0.0015028
          89     -4.9359    -4.93123  0.00148685
          90     -4.9244    -4.93115  0.00147226
          91    -4.91858    -4.93101  0.00146255
          92    -4.93024      -4.931  0.00144668
          93    -4.94378    -4.93114  0.00143764
          94     -4.9268    -4.93109  0.00142308
          95    -4.92385    -4.93102  0.00141015
          96    -4.93353    -4.93104   0.0013957
          97    -4.95228    -4.93126  0.00139838
