#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.68916     1.68916           0
           2     1.66983     1.67949  0.00683118
           3     1.64549     1.66816   0.0103144
           4     1.63985     1.66108  0.00987027
           5     1.63425     1.65572  0.00924026
           6     1.65377     1.65539  0.00770591
           7      1.6369     1.65275  0.00704351
           8      1.6345     1.65047  0.00652197
           9      1.6318     1.64839  0.00611826
          10     1.63144      1.6467  0.00573662
          11     1.64248     1.64631  0.00522793
          12     1.62829     1.64481   0.0050033
          13     1.62072     1.64296  0.00494979
          14       1.656     1.64389    0.004683
          15     1.64801     1.64417  0.00437886
          16     1.64795      1.6444  0.00411157
          17     1.64881     1.64466   0.0038779
          18     1.63062     1.64388  0.00374014
          19     1.63349     1.64333  0.00358302
          20     1.62039     1.64219  0.00358283
          21     1.63741     1.64196  0.00341943
          22     1.65127     1.64238  0.00329009
          23     1.63836     1.64221   0.0031517
          24     1.63417     1.64187  0.00303812
          25     1.64783     1.64211  0.00292594
          26     1.65518     1.64261  0.00285624
          27     1.64431     1.64268  0.00275114
          28     1.63477     1.64239  0.00266734
          29     1.62132     1.64167  0.00267255
          30     1.62241     1.64103  0.00265941
          31     1.67563     1.64214  0.00279811
          32     1.66038     1.64271  0.00276808
          33      1.6473     1.64285  0.00268769
          34     1.61311     1.64198  0.00274731
          35      1.6616     1.64254   0.0027254
          36     1.64314     1.64255  0.00264975
          37     1.65481     1.64288  0.00259876
          38      1.6248     1.64241  0.00257358
          39     1.62875     1.64206  0.00253131
          40     1.63699     1.64193  0.00247119
          41     1.63825     1.64184  0.00241255
          42     1.61188     1.64113  0.00245833
          43     1.63984      1.6411  0.00240135
          44     1.66234     1.64158   0.0023948
          45     1.64178     1.64159  0.00234159
          46     1.64215      1.6416  0.00229071
          47     1.63593     1.64148  0.00224515
          48     1.63834     1.64141  0.00219933
          49     1.64301     1.64144  0.00215469
          50     1.65163     1.64165   0.0021212
          51     1.62408      1.6413  0.00210739
          52     1.63978     1.64127  0.00206707
          53     1.64383     1.64132  0.00202863
          54     1.65953     1.64166   0.0020189
          55     1.60421     1.64098  0.00209389
          56     1.65432     1.64122  0.00207002
          57     1.64535     1.64129  0.00203497
          58     1.62855     1.64107  0.00201169
          59      1.6456     1.64115  0.00197906
          60     1.64419      1.6412  0.00194673
          61     1.63782     1.64114   0.0019156
          62     1.64706     1.64124  0.00188707
          63     1.65186     1.64141  0.00186464
          64      1.6159     1.64101  0.00187761
          65     1.62844     1.64081  0.00185865
          66     1.62565     1.64058  0.00184462
          67     1.65912     1.64086  0.00183773
          68     1.64122     1.64087  0.00181071
          69     1.63622      1.6408  0.00178572
          70     1.63205     1.64067  0.00176458
          71     1.64053     1.64067  0.00173972
          72     1.67184     1.64111  0.00176858
          73     1.66318     1.64141  0.00177002
          74     1.62582      1.6412  0.00175858
          75     1.64557     1.64126   0.0017361
          76     1.63642     1.64119  0.00171442
          77     1.65255     1.64134  0.00169849
          78     1.62157     1.64109  0.00169551
          79     1.65521     1.64126  0.00168344
          80     1.67952     1.64174  0.00172898
          81     1.63531     1.64166  0.00170946
          82     1.64196     1.64167  0.00168861
          83     1.66603     1.64196  0.00169359
          84      1.6444     1.64199  0.00167368
          85     1.67008     1.64232   0.0016863
          86     1.63376     1.64222  0.00166962
          87     1.64762     1.64228  0.00165159
          88      1.6322     1.64217  0.00163679
          89     1.65204     1.64228  0.00162215
          90     1.63917     1.64224  0.00160449
          91     1.65492     1.64238   0.0015929
          92     1.65575     1.64253   0.0015822
          93     1.63244     1.64242   0.0015689
          94     1.65511     1.64256  0.00155801
          95      1.6399     1.64253  0.00154186
          96     1.66461     1.64276  0.00154286
          97     1.62392     1.64256  0.00153913
          98     1.66193     1.64276  0.00153607
          99       1.655     1.64288  0.00152552
         100     1.64162     1.64287  0.00151031
