#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.19481     1.19481           0
           2     1.33574     1.26527   0.0498274
           3     1.52851     1.35302   0.0789689
           4     1.48261     1.38542   0.0655368
           5     1.46285      1.4009   0.0542282
           6      1.4763     1.41347   0.0466234
           7     1.46957     1.42148   0.0406458
           8     1.49838      1.4311    0.036684
           9     1.50541     1.43935   0.0335244
          10      1.5075     1.44617   0.0308569
          11     1.43746     1.44538   0.0280619
          12     1.51556     1.45122   0.0263258
          13      1.6135     1.46371   0.0270989
          14      1.3534     1.45583   0.0262838
          15      1.5022     1.45892   0.0247127
          16     1.43616      1.4575   0.0232091
          17     1.45166     1.45715   0.0218463
          18     1.49926     1.45949   0.0207575
          19     1.48034     1.46059    0.019694
          20     1.53095     1.46411   0.0190209
          21     1.49517     1.46559   0.0181725
          22     1.33312     1.45957   0.0183169
          23     1.40386     1.45714   0.0176799
          24     1.52753     1.46008   0.0171847
          25     1.39404     1.45744   0.0166991
          26     1.43675     1.45664   0.0160758
          27     1.43894     1.45598   0.0154938
          28     1.48514     1.45703   0.0149753
          29     1.48418     1.45796   0.0144882
          30     1.54501     1.46086   0.0142929
          31     1.39537     1.45875   0.0139871
          32     1.38065     1.45631   0.0137613
          33      1.4644     1.45656   0.0133464
          34     1.58937     1.46046   0.0135135
          35     1.45839      1.4604   0.0131275
          36      1.4794     1.46093   0.0127735
          37     1.44339     1.46046    0.012437
          38     1.47205     1.46076   0.0121135
          39       1.555     1.46318   0.0120415
          40     1.46356     1.46319   0.0117405
          41     1.51786     1.46452   0.0115296
          42     1.65068     1.46895    0.012077
          43     1.44142     1.46831   0.0118131
          44     1.33972     1.46539   0.0119007
          45     1.49243     1.46599   0.0116514
          46     1.42496      1.4651   0.0114322
          47     1.55981     1.46711   0.0113652
          48     1.44886     1.46673   0.0111348
          49     1.47332     1.46687   0.0109083
          50      1.4065     1.46566   0.0107568
          51     1.60438     1.46838   0.0108843
          52     1.53977     1.46975   0.0107612
          53     1.41456     1.46871   0.0106085
          54     1.35809     1.46666    0.010608
          55     1.67081     1.47038   0.0110454
          56     1.43417     1.46973   0.0108671
          57     1.48797     1.47005   0.0106811
          58     1.44107     1.46955   0.0105087
          59     1.41569     1.46864   0.0103701
          60     1.44141     1.46818   0.0102072
          61     1.52311     1.46908   0.0100795
          62     1.50897     1.46973  0.00993746
          63     1.47757     1.46985   0.0097805
          64      1.6577     1.47279   0.0100585
          65     1.49042     1.47306  0.00990739
          66     1.53049     1.47393  0.00979542
          67     1.35724     1.47219  0.00980284
          68     1.49214     1.47248  0.00966307
          69     1.48049      1.4726  0.00952372
          70     1.41663      1.4718  0.00942117
          71     1.40647     1.47088   0.0093333
          72     1.38499     1.46968  0.00927959
          73     1.42756     1.46911   0.0091704
          74     1.46141       1.469  0.00904706
          75     1.48127     1.46917  0.00892791
          76     1.47714     1.46927  0.00881106
          77     1.37527     1.46805   0.0087808
          78     1.45978     1.46794  0.00866886
          79     1.50469     1.46841   0.0085716
          80     1.31704     1.46652  0.00867078
          81     1.48418     1.46673  0.00856647
          82     1.40188     1.46594  0.00849843
          83     1.37761     1.46488  0.00846242
          84      1.4277     1.46444  0.00837325
          85     1.27621     1.46222  0.00856257
          86     1.49203     1.46257  0.00847002
          87      1.3872      1.4617  0.00841684
          88     1.46539     1.46174   0.0083213
          89     1.44752     1.46159  0.00822934
          90     1.51315     1.46216  0.00815782
          91     1.45079     1.46203  0.00806913
          92     1.41104     1.46148  0.00800043
          93     1.51006       1.462  0.00793144
          94     1.42795     1.46164  0.00785533
          95     1.37087     1.46068  0.00783053
          96     1.39852     1.46004  0.00777569
          97     1.59183     1.46139  0.00781335
          98     1.43785     1.46115  0.00773731
          99     1.38043     1.46034    0.007702
         100     1.49323     1.46067    0.007632
         101     1.43409      1.4604  0.00756097
         102     1.48515     1.46065  0.00749073
         103     1.34855     1.45956  0.00749666
         104     1.55622     1.46049  0.00748196
         105      1.3791     1.45971  0.00745076
         106       1.489     1.45999  0.00738559
         107     1.47575     1.46014  0.00731803
         108     1.33905     1.45902  0.00733566
         109      1.3353     1.45788  0.00735564
         110     1.43471     1.45767  0.00729178
         111     1.57933     1.45877    0.007308
         112     1.33963      1.4577  0.00731976
         113     1.31918     1.45648  0.00735693
         114      1.6011     1.45775  0.00740096
         115     1.46645     1.45782    0.007337
         116     1.31096     1.45655  0.00738217
         117     1.45876     1.45657   0.0073191
         118     1.54797     1.45735  0.00729794
         119     1.54296     1.45807  0.00727198
         120     1.47807     1.45823  0.00721329
         121     1.43716     1.45806  0.00715578
         122      1.4326     1.45785  0.00710017
         123     1.53506     1.45848  0.00707014
         124     1.55003     1.45922  0.00705156
         125     1.42444     1.45894  0.00700064
         126     1.31387     1.45779  0.00703912
         127     1.39932     1.45733  0.00699873
         128     1.37745      1.4567  0.00697182
         129     1.60353     1.45784  0.00701007
         130     1.49721     1.45814  0.00696268
         131     1.45203      1.4581  0.00690969
         132     1.51996     1.45857  0.00687322
         133     1.39865     1.45812  0.00683629
         134     1.34236     1.45725  0.00683963
         135     1.31845     1.45622  0.00686581
         136     1.40646     1.45586  0.00682507
         137     1.40043     1.45545  0.00678723
         138     1.49327     1.45573  0.00674358
         139      1.4751     1.45587   0.0066965
         140      1.4401     1.45575  0.00664962
         141     1.40615      1.4554  0.00661176
         142     1.53332     1.45595  0.00658792
         143      1.1314     1.45368  0.00692177
         144      1.3258     1.45279  0.00693043
         145     1.56461     1.45356   0.0069254
         146     1.29925     1.45251  0.00695816
         147     1.44158     1.45243  0.00691122
         148     1.42476     1.45225  0.00686706
         149      1.3724     1.45171  0.00684184
         150     1.38637     1.45127  0.00681009
         151     1.39144     1.45088   0.0067765
         152     1.41001     1.45061  0.00673726
         153     1.50871     1.45099  0.00670392
         154       1.456     1.45102  0.00666046
         155     1.38596      1.4506   0.0066307
         156     1.40586     1.45032   0.0065944
         157     1.42832     1.45018  0.00655389
         158      1.4303     1.45005  0.00651361
         159     1.33718     1.44934  0.00651122
         160     1.31852     1.44852  0.00652166
         161     1.32654     1.44776  0.00652501
         162     1.47813     1.44795  0.00648743
         163      1.3681     1.44746   0.0064661
         164      1.5865     1.44831  0.00648201
         165     1.35169     1.44772  0.00646913
         166      1.3526     1.44715  0.00645549
         167     1.37395     1.44671   0.0064317
         168     1.52347     1.44717  0.00640962
         169     1.54439     1.44774  0.00639746
         170     1.52762     1.44821  0.00637706
         171      1.5963     1.44908  0.00639829
         172     1.40677     1.44883  0.00636582
         173     1.43932     1.44878  0.00632926
         174     1.54744     1.44935  0.00631823
         175     1.40929     1.44912  0.00628627
         176     1.48425     1.44932  0.00625372
         177      1.4329     1.44922  0.00621908
         178     1.32918     1.44855   0.0062206
         179     1.35073       1.448  0.00620981
         180     1.46652     1.44811  0.00617616
         181     1.38017     1.44773  0.00615343
         182      1.4862     1.44794  0.00612325
         183     1.29141     1.44709  0.00614925
         184     1.45245     1.44712   0.0061159
         185     1.52642     1.44755  0.00609784
         186     1.43161     1.44746  0.00606566
         187     1.45901     1.44752  0.00603354
         188     1.47381     1.44766  0.00600307
         189     1.65802     1.44877  0.00607361
         190     1.40822     1.44856  0.00604539
         191     1.50775     1.44887  0.00602168
         192     1.40486     1.44864  0.00599468
         193     1.62276     1.44954  0.00603112
         194     1.41256     1.44935  0.00600305
         195     1.29603     1.44857  0.00602353
         196     1.39133     1.44827  0.00599987
         197     1.61733     1.44913  0.00603047
         198     1.39758     1.44887  0.00600563
         199     1.48377     1.44905  0.00597801
         200     1.38864     1.44875  0.00595575
