# mu = 1, sigma = 1
BLOCK, ACTUAL_E, E_AVE, ERR
1, 0.375317, 0.375317, 0
2, 0.31028, 0.342798, 0
3, 0.108511, 0.264703, 0.109472
4, 0.264952, 0.264765, 0.0791699
5, 0.267876, 0.265387, 0.0615255
6, 0.842182, 0.36152, 0.0793013
7, 1.33615, 0.500753, 0.101436
8, 0.0941159, 0.449923, 0.0824211
9, 0.548435, 0.460869, 0.0716391
10, 1.61204, 0.575986, 0.0818394
11, 1.21366, 0.633956, 0.0787668
12, 0.000871628, 0.581199, 0.0689263
13, 0.542573, 0.578228, 0.0620126
14, 0.127969, 0.546066, 0.0553798
15, 0.0797193, 0.514977, 0.0498286
16, 0.993055, 0.544857, 0.047881
17, -0.183787, 0.501995, 0.0437658
18, 0.10303, 0.47983, 0.0401137
19, -0.218315, 0.443086, 0.0370598
20, 0.440687, 0.442966, 0.0346124
21, 0.504819, 0.445911, 0.0325546
22, 0.444302, 0.445838, 0.0306264
23, 1.11242, 0.47482, 0.0304332
24, 0.447025, 0.473662, 0.0287742
25, 1.50055, 0.514737, 0.0297226
26, 1.09219, 0.536947, 0.0292369
27, 0.163054, 0.523099, 0.0276289
28, 2.53041, 0.594789, 0.0314994
29, 0.925706, 0.6062, 0.0304611
30, -0.0968115, 0.582766, 0.0289428
31, 0.835282, 0.590912, 0.0279676
32, -0.162998, 0.567352, 0.0266728
33, -0.0839723, 0.547615, 0.0254623
34, 0.115062, 0.534893, 0.0243403
35, -0.0492774, 0.518202, 0.0232954
36, 1.2036, 0.537241, 0.0230276
37, 0.473452, 0.535517, 0.0221899
38, 0.685919, 0.539475, 0.0215136
39, 0.241941, 0.531846, 0.0207059
40, 1.47147, 0.555337, 0.020785
41, 0.363441, 0.550656, 0.0200691
42, 0.644336, 0.552887, 0.0194956
43, 0.510483, 0.551901, 0.0189004
44, 0.34026, 0.547091, 0.0182907
45, -0.150694, 0.531584, 0.0176882
46, 0.548937, 0.531961, 0.0172004
47, -0.0904802, 0.518718, 0.0166533
48, -0.0622612, 0.506614, 0.0161332
49, 1.25743, 0.521937, 0.0160723
50, 0.0858667, 0.513216, 0.0155905
51, 0.588042, 0.514683, 0.0152171
52, 0.268406, 0.509947, 0.0147939
53, 0.299503, 0.505976, 0.0143946
54, 0.960191, 0.514387, 0.0142052
55, 1.34358, 0.529464, 0.0142129
56, 0.736499, 0.533161, 0.0139438
57, 1.20229, 0.5449, 0.0138662
58, 0.312859, 0.540899, 0.0135251
59, 0.344965, 0.537578, 0.0132022
60, 0.381449, 0.534976, 0.0128974
61, -0.402019, 0.519615, 0.0126103
62, 0.31028, 0.516239, 0.0123207
63, 1.36644, 0.529734, 0.0123394
64, 0.433112, 0.528225, 0.0120792
65, 0.417051, 0.526514, 0.0118266
66, 0.554353, 0.526936, 0.0116036
67, 0.38923, 0.524881, 0.0113654
68, -0.0448724, 0.516502, 0.0111148
69, 0.134815, 0.51097, 0.0108751
70, 1.50486, 0.525169, 0.0109533
71, 0.969467, 0.531427, 0.0108449
72, 1.50197, 0.544906, 0.0109046
73, 0.543884, 0.544892, 0.0107157
74, -0.362067, 0.532636, 0.0105147
75, 1.02568, 0.53921, 0.010426
76, 1.45832, 0.551304, 0.0104582
77, 0.412267, 0.549498, 0.0102722
78, 0.615347, 0.550342, 0.010114
79, 0.216509, 0.546116, 0.00992638
80, 0.908793, 0.55065, 0.00982333
81, 1.08989, 0.557307, 0.00975786
82, 0.206577, 0.55303, 0.00958306
83, 2.06611, 0.57126, 0.00980515
84, 2.11705, 0.589662, 0.0100214
85, 1.43308, 0.599585, 0.0100151
86, 0.11461, 0.593945, 0.00984123
87, 0.585678, 0.59385, 0.00969827
88, 2.00601, 0.609898, 0.00984249
89, 0.193713, 0.605221, 0.00967907
90, 0.585967, 0.605007, 0.00954229
91, 1.35946, 0.613298, 0.0095162
92, 0.561855, 0.612739, 0.0093825
93, 0.105821, 0.607288, 0.00923172
94, 0.783746, 0.609165, 0.00912509
95, 1.31815, 0.616628, 0.00909428
96, 1.81505, 0.629112, 0.0091605
97, 1.22137, 0.635218, 0.00910981
98, 0.479475, 0.633629, 0.00898379
99, 0.981647, 0.637144, 0.00890392
100, 0.843882, 0.639211, 0.00881098
101, -0.0101203, 0.632782, 0.00868006
102, -0.0532779, 0.626056, 0.00855253
103, 0.65358, 0.626323, 0.00845107
104, -0.0674616, 0.619652, 0.00832939
105, 0.955842, 0.622854, 0.00825857
106, 0.265606, 0.619484, 0.00814517
107, 2.4989, 0.637049, 0.00834655
108, 0.183175, 0.632846, 0.00823209
109, 1.07104, 0.636866, 0.00817351
110, 1.73612, 0.646859, 0.00820282
111, 0.29287, 0.64367, 0.00809569
112, 0.225921, 0.63994, 0.00798939
113, 0.305488, 0.636981, 0.00788729
